clip_range,ratios_min,ratios_mean,num_epochs,ratios_max,learning_rate,approx_TV,num_agents
0.3,0.9004378318786621,0.99847412109375,14,1.1154866218566895,0.0001,0.0815168172121048,5
0.3,0.8930676579475403,0.9983548521995544,15,1.124821662902832,0.0001,0.08787234127521515,5
0.3,0.8857054114341736,0.9982348084449768,16,1.134283185005188,0.0001,0.09427380561828613,5
0.3,0.8783551454544067,0.9981138110160828,17,1.1438831090927124,0.0001,0.10072067379951477,5
0.3,0.8710176944732666,0.9979918599128723,18,1.1536080837249756,0.0001,0.10720910131931305,5
0.3,0.8636967539787292,0.9978694915771484,19,1.163462519645691,0.0001,0.11374126374721527,5
0.3,0.8563935160636902,0.9977465271949768,20,1.1734591722488403,0.0001,0.12031669914722443,5
0.3,0.849109947681427,0.9976231455802917,21,1.1836938858032227,0.0001,0.1269352287054062,5
0.3,0.8418661952018738,0.9974989891052246,22,1.1940641403198242,0.0001,0.13362133502960205,5
0.3,0.8346527814865112,0.9973741173744202,23,1.204572319984436,0.0001,0.1403650939464569,5
0.3,0.8274617791175842,0.9972482323646545,24,1.2152222394943237,0.0001,0.14715740084648132,5
0.3,0.8202932476997375,0.9971213340759277,25,1.2260187864303589,0.0001,0.15399883687496185,5
0.3,0.8131437301635742,0.9969936609268188,26,1.2369650602340698,0.0001,0.16089236736297607,5
0.3,0.8059967160224915,0.9968650937080383,27,1.2480676174163818,0.0001,0.16783621907234192,5
0.3,0.7988651394844055,0.9967353343963623,28,1.2592663764953613,0.0001,0.17483368515968323,5
0.3,0.7917500734329224,0.9966047406196594,29,1.2706083059310913,0.0001,0.1818886697292328,5
0.3,0.7846511006355286,0.9964733719825745,30,1.2821217775344849,0.0001,0.18900151550769806,5
0.3,0.7775660157203674,0.9963412880897522,31,1.2938036918640137,0.0001,0.19617010653018951,5
0.3,0.7704960107803345,0.9962081909179688,32,1.3056689500808716,0.0001,0.20339751243591309,5
0.3,0.763437032699585,0.9960745573043823,33,1.3177106380462646,0.0001,0.21069343388080597,5
