num_agents,approx_TV,ratios_max,ratios_mean,clip_range,ratios_min,num_epochs,learning_rate
5,0.0,1.0,1.0,0.4,1.0,0,0.0001
5,0.005901306867599487,1.0084338188171387,0.9998273849487305,0.4,0.9916337728500366,1,0.0001
5,0.012287527322769165,1.0175840854644775,0.9996412992477417,0.4,0.9826890826225281,2,0.0001
5,0.018932830542325974,1.0271492004394531,0.9994480609893799,0.4,0.9734607338905334,3,0.0001
5,0.025751907378435135,1.037020206451416,0.9992503523826599,0.4,0.9640535116195679,4,0.0001
5,0.03269568085670471,1.0471454858779907,0.9990495443344116,0.4,0.9545493125915527,5,0.0001
5,0.039735373109579086,1.057497262954712,0.9988461136817932,0.4,0.9449821710586548,6,0.0001
5,0.0468524768948555,1.0680549144744873,0.998640239238739,0.4,0.93537437915802,7,0.0001
5,0.05403263121843338,1.0787978172302246,0.9984322786331177,0.4,0.9257498383522034,8,0.0001
5,0.06126682087779045,1.089725375175476,0.9982227683067322,0.4,0.9161120653152466,9,0.0001
5,0.06854978948831558,1.1008305549621582,0.9980120658874512,0.4,0.9064713716506958,10,0.0001
5,0.07587622851133347,1.112108588218689,0.9977999329566956,0.4,0.8968364596366882,11,0.0001
5,0.08324321359395981,1.1235556602478027,0.9975864887237549,0.4,0.8872202038764954,12,0.0001
5,0.09064819663763046,1.135169267654419,0.9973720908164978,0.4,0.8776306509971619,13,0.0001
5,0.09808856248855591,1.146948218345642,0.99715656042099,0.4,0.8680652976036072,14,0.0001
5,0.10556328296661377,1.1588959693908691,0.996940553188324,0.4,0.8585233092308044,15,0.0001
5,0.11309163272380829,1.1710174083709717,0.9967232942581177,0.4,0.8490055203437805,16,0.0001
5,0.12065635621547699,1.1833720207214355,0.9965049624443054,0.4,0.8395084142684937,17,0.0001
5,0.12825560569763184,1.1959428787231445,0.9962854385375977,0.4,0.8300333023071289,18,0.0001
5,0.1358899623155594,1.2087138891220093,0.9960651397705078,0.4,0.820568323135376,19,0.0001
5,0.14355917274951935,1.221686840057373,0.9958440065383911,0.4,0.8111279010772705,20,0.0001
5,0.15126460790634155,1.2348430156707764,0.9956220984458923,0.4,0.801713228225708,21,0.0001
5,0.15900805592536926,1.2481327056884766,0.9953989386558533,0.4,0.7923251390457153,22,0.0001
5,0.16678977012634277,1.2616212368011475,0.9951750040054321,0.4,0.7829674482345581,23,0.0001
5,0.17460954189300537,1.2753231525421143,0.9949498772621155,0.4,0.7736430168151855,24,0.0001
5,0.18246862292289734,1.2892379760742188,0.9947237372398376,0.4,0.7643504738807678,25,0.0001
5,0.19036757946014404,1.3033729791641235,0.9944966435432434,0.4,0.7550897002220154,26,0.0001
5,0.1983090192079544,1.3177379369735718,0.9942684769630432,0.4,0.7458586692810059,27,0.0001
5,0.2062920182943344,1.332338809967041,0.9940391778945923,0.4,0.7366578578948975,28,0.0001
5,0.21431748569011688,1.3471823930740356,0.9938084483146667,0.4,0.7274846434593201,29,0.0001
5,0.22238697111606598,1.3622782230377197,0.9935762286186218,0.4,0.7183374166488647,30,0.0001
5,0.23050066828727722,1.3776326179504395,0.9933427572250366,0.4,0.7092156410217285,31,0.0001
5,0.23866067826747894,1.393254041671753,0.9931078553199768,0.4,0.7001169323921204,32,0.0001
5,0.246866375207901,1.4091413021087646,0.992871880531311,0.4,0.6910387277603149,33,0.0001
5,0.255121111869812,1.425300121307373,0.9926343560218811,0.4,0.6819798946380615,34,0.0001
5,0.2634265720844269,1.4417383670806885,0.9923954010009766,0.4,0.6729444265365601,35,0.0001
5,0.27178138494491577,1.4584636688232422,0.9921550750732422,0.4,0.6639289855957031,36,0.0001
5,0.28018784523010254,1.475485920906067,0.9919132590293884,0.4,0.6549296379089355,37,0.0001
5,0.2886483669281006,1.4928126335144043,0.9916697144508362,0.4,0.6459460258483887,38,0.0001
5,0.2971816062927246,1.5104566812515259,0.9914249777793884,0.4,0.6369627118110657,39,0.0001
5,0.30583131313323975,1.5284253358840942,0.9911789298057556,0.4,0.6280009150505066,40,0.0001
5,0.314543217420578,1.5467227697372437,0.9909312725067139,0.4,0.6190634965896606,41,0.0001
5,0.3233183026313782,1.5653533935546875,0.9906821250915527,0.4,0.6101111769676208,42,0.0001
5,0.3321598768234253,1.5843231678009033,0.9904310703277588,0.4,0.6011793613433838,43,0.0001
5,0.3410695195198059,1.6036372184753418,0.990178644657135,0.4,0.5922680497169495,44,0.0001
5,0.35003992915153503,1.6232470273971558,0.9899250268936157,0.4,0.5834980010986328,45,0.0001
5,0.35907381772994995,1.6431635618209839,0.9896696209907532,0.4,0.5748212933540344,46,0.0001
5,0.3681430220603943,1.6632516384124756,0.989413321018219,0.4,0.5664410591125488,47,0.0001
5,0.3771706223487854,1.6833336353302002,0.9891579747200012,0.4,0.5585528016090393,48,0.0001
5,0.3861573040485382,1.7034282684326172,0.9889035820960999,0.4,0.551105260848999,49,0.0001
5,0.3951314687728882,1.7235302925109863,0.9886505603790283,0.4,0.5440853834152222,50,0.0001
5,0.4042322635650635,1.743422508239746,0.9884000420570374,0.4,0.5375940203666687,51,0.0001
5,0.41328513622283936,1.7631627321243286,0.9881516695022583,0.4,0.5315474271774292,52,0.0001
5,0.42223936319351196,1.7826769351959229,0.9879071116447449,0.4,0.5259450674057007,53,0.0001
5,0.43109697103500366,1.801970362663269,0.9876661896705627,0.4,0.5207200646400452,54,0.0001
5,0.4398654103279114,1.8210432529449463,0.9874289631843567,0.4,0.5158148407936096,55,0.0001
5,0.44849660992622375,1.8398849964141846,0.9871966242790222,0.4,0.5112483501434326,56,0.0001
