approx_TV,num_agents,ratios_max,learning_rate,ratios_min,clip_range,ratios_mean,num_epochs
0.0,5,1.0,0.0002,1.0,0.1,1.0,0
0.008396096527576447,5,1.0093419551849365,0.0002,0.989391028881073,0.1,0.999937891960144,1
0.017560042440891266,5,1.0196796655654907,0.0002,0.9779340028762817,0.1,0.999871551990509,2
0.02713916078209877,5,1.0306295156478882,0.0002,0.9661267995834351,0.1,0.9998043179512024,3
0.03697272762656212,5,1.0420347452163696,0.0002,0.9541763067245483,0.1,0.999737024307251,4
0.046978484839200974,5,1.0538278818130493,0.0002,0.942170262336731,0.1,0.9996703863143921,5
0.05710072070360184,5,1.0659586191177368,0.0002,0.9301674365997314,0.1,0.9996041655540466,6
0.0673045963048935,5,1.0783761739730835,0.0002,0.9180949330329895,0.1,0.9995380640029907,7
0.07759455591440201,5,1.0910998582839966,0.0002,0.9059301018714905,0.1,0.9994732737541199,8
0.08796674013137817,5,1.1041219234466553,0.0002,0.8939512372016907,0.1,0.9994094371795654,9
0.09818167984485626,5,1.1172947883605957,0.0002,0.8832471966743469,0.1,0.9993568062782288,10
0.1078500971198082,5,1.1299614906311035,0.0002,0.8754306435585022,0.1,0.9993302226066589,11
0.11683907359838486,5,1.1418191194534302,0.0002,0.8706451058387756,0.1,0.9993332028388977,12
0.12511177361011505,5,1.152740478515625,0.0002,0.8683346509933472,0.1,0.9993600249290466,13
0.1327950358390808,5,1.162811517715454,0.0002,0.8661292195320129,0.1,0.9994041323661804,14
0.13985738158226013,5,1.171899437904358,0.0002,0.8625681400299072,0.1,0.9994614720344543,15
0.14653584361076355,5,1.1800310611724854,0.0002,0.8545942902565002,0.1,0.9995299577713013,16
0.15265071392059326,5,1.187320590019226,0.0002,0.8476427793502808,0.1,0.9995995759963989,17
0.15794745087623596,5,1.1938434839248657,0.0002,0.8420814275741577,0.1,0.9996631145477295,18
0.1634151041507721,5,1.19972825050354,0.0002,0.8383459448814392,0.1,0.9997063279151917,19
0.16975992918014526,5,1.2051544189453125,0.0002,0.836324155330658,0.1,0.9997268319129944,20
0.1748860478401184,5,1.2098345756530762,0.0002,0.83595210313797,0.1,0.9997214674949646,21
0.17866310477256775,5,1.2137255668640137,0.0002,0.8369840383529663,0.1,0.9996893405914307,22
0.18134614825248718,5,1.2166810035705566,0.0002,0.8383489847183228,0.1,0.9996389150619507,23
0.1831289529800415,5,1.2187482118606567,0.0002,0.8397200703620911,0.1,0.9995749592781067,24
0.18421131372451782,5,1.2199329137802124,0.0002,0.8414556384086609,0.1,0.9995047450065613,25
0.18526634573936462,5,1.2203437089920044,0.0002,0.8433389663696289,0.1,0.9994287490844727,26
0.18780776858329773,5,1.2199127674102783,0.0002,0.8447058796882629,0.1,0.9993600249290466,27
0.18995250761508942,5,1.2187234163284302,0.0002,0.8457544445991516,0.1,0.9993007779121399,28
0.19166332483291626,5,1.2169464826583862,0.0002,0.8466114401817322,0.1,0.9992537498474121,29
0.19300512969493866,5,1.2148652076721191,0.0002,0.8472995162010193,0.1,0.9992209672927856,30
0.1942829042673111,5,1.2127127647399902,0.0002,0.8478628993034363,0.1,0.9992011189460754,31
0.196489155292511,5,1.2108104228973389,0.0002,0.8482332825660706,0.1,0.9991947412490845,32
0.19857940077781677,5,1.2092634439468384,0.0002,0.8486335277557373,0.1,0.9991931319236755,33
0.20038571953773499,5,1.2082747220993042,0.0002,0.8492925763130188,0.1,0.9991971254348755,34
0.20213735103607178,5,1.2078334093093872,0.0002,0.850232720375061,0.1,0.999201238155365,35
0.20366424322128296,5,1.2078953981399536,0.0002,0.8514471054077148,0.1,0.9992011189460754,36
0.20490595698356628,5,1.2084628343582153,0.0002,0.8505133986473083,0.1,0.99919593334198,37
0.2056497484445572,5,1.2098451852798462,0.0002,0.8471888899803162,0.1,0.9991788268089294,38
0.20582211017608643,5,1.211957573890686,0.0002,0.8442740440368652,0.1,0.9991481304168701,39
0.20558857917785645,5,1.214470624923706,0.0002,0.8416578769683838,0.1,0.9991087913513184,40
0.20497868955135345,5,1.2171179056167603,0.0002,0.8393211364746094,0.1,0.9990658760070801,41
0.20424725115299225,5,1.2199891805648804,0.0002,0.8372655510902405,0.1,0.9990234375,42
0.2034449726343155,5,1.2229063510894775,0.0002,0.835412323474884,0.1,0.9989814162254333,43
0.2049785703420639,5,1.2255319356918335,0.0002,0.8337746858596802,0.1,0.9989367723464966,44
0.20676445960998535,5,1.2278379201889038,0.0002,0.8323216438293457,0.1,0.9988922476768494,45
0.20838114619255066,5,1.2299022674560547,0.0002,0.8311617374420166,0.1,0.9988451600074768,46
0.20969954133033752,5,1.231766939163208,0.0002,0.8302687406539917,0.1,0.9987971186637878,47
0.21086075901985168,5,1.2337183952331543,0.0002,0.8295214176177979,0.1,0.9987455606460571,48
0.2118511199951172,5,1.2356626987457275,0.0002,0.8288534283638,0.1,0.9986916184425354,49
0.21255595982074738,5,1.2374879121780396,0.0002,0.8282661437988281,0.1,0.9986407160758972,50
0.21317888796329498,5,1.2393789291381836,0.0002,0.8278710246086121,0.1,0.9985892176628113,51
0.2137802243232727,5,1.2414230108261108,0.0002,0.8276188969612122,0.1,0.9985347390174866,52
0.2143472284078598,5,1.243478775024414,0.0002,0.8275607824325562,0.1,0.9984786510467529,53
0.21481531858444214,5,1.2454818487167358,0.0002,0.8275653719902039,0.1,0.9984304904937744,54
0.21508993208408356,5,1.2476091384887695,0.0002,0.8275344371795654,0.1,0.9983934760093689,55
0.21539898216724396,5,1.2498773336410522,0.0002,0.8274288177490234,0.1,0.9983648657798767,56
