clip_range,num_epochs,ratios_max,ratios_min,ratios_mean,approx_TV,learning_rate,num_agents
0.5,0,1.0,1.0,1.0,0.0,0.0004,5
0.5,1,1.0187594890594482,0.978818953037262,0.9998761415481567,0.01677080988883972,0.0004,5
0.5,2,1.0397741794586182,0.956234872341156,0.9997477531433105,0.03505709022283554,0.0004,5
0.5,3,1.0622649192810059,0.933297336101532,0.9996199607849121,0.05407632142305374,0.0004,5
0.5,4,1.08588707447052,0.9101065993309021,0.9994930028915405,0.07351721823215485,0.0004,5
0.5,5,1.1105644702911377,0.8869808912277222,0.9993693232536316,0.09328494966030121,0.0004,5
0.5,6,1.1363263130187988,0.8641661405563354,0.9992495775222778,0.11329092085361481,0.0004,5
0.5,7,1.1632778644561768,0.8419197201728821,0.9991371035575867,0.13339228928089142,0.0004,5
0.5,8,1.1915055513381958,0.8203817009925842,0.999027669429779,0.15348592400550842,0.0004,5
0.5,9,1.2210700511932373,0.7992554306983948,0.998921275138855,0.17372067272663116,0.0004,5
0.5,10,1.2520437240600586,0.7785689830780029,0.9988196492195129,0.1941073089838028,0.0004,5
0.5,11,1.2847248315811157,0.758543848991394,0.9987240433692932,0.21477407217025757,0.0004,5
0.5,12,1.318928599357605,0.7387700080871582,0.998633623123169,0.2356749027967453,0.0004,5
0.5,13,1.3549470901489258,0.7191037535667419,0.9985499382019043,0.2568160891532898,0.0004,5
0.5,14,1.393015742301941,0.6987655758857727,0.9984723329544067,0.278351366519928,0.0004,5
0.5,15,1.4333891868591309,0.6786622405052185,0.9983986020088196,0.3005964756011963,0.0004,5
0.5,16,1.4760175943374634,0.6590077877044678,0.9983318448066711,0.3232262134552002,0.0004,5
0.5,17,1.5210636854171753,0.6395405530929565,0.9982703924179077,0.3464890122413635,0.0004,5
0.5,18,1.5686416625976562,0.619513750076294,0.9982151985168457,0.3713201582431793,0.0004,5
0.5,19,1.6189351081848145,0.5985156297683716,0.9981644153594971,0.3968315124511719,0.0004,5
0.5,20,1.6706219911575317,0.577547550201416,0.99811851978302,0.4225863814353943,0.0004,5
0.5,21,1.723129391670227,0.556799590587616,0.9980754852294922,0.44853854179382324,0.0004,5
0.5,22,1.7756550312042236,0.5363650321960449,0.9980380535125732,0.47495508193969727,0.0004,5
0.5,23,1.828548789024353,0.5162829160690308,0.9980056285858154,0.5018128752708435,0.0004,5
0.5,24,1.8813666105270386,0.4965631067752838,0.9979775547981262,0.5288863778114319,0.0004,5
0.5,25,1.9339314699172974,0.4774821400642395,0.9979555010795593,0.5558954477310181,0.0004,5
0.5,26,1.9858101606369019,0.4596104621887207,0.9979444146156311,0.5827358961105347,0.0004,5
0.5,27,2.036672353744507,0.4430437684059143,0.9979469180107117,0.6092362403869629,0.0004,5
0.5,28,2.086293935775757,0.4279960095882416,0.9979641437530518,0.6352753043174744,0.0004,5
0.5,29,2.1343374252319336,0.4146716296672821,0.9979892373085022,0.6604538559913635,0.0004,5
