learning_rate,num_agents,ratios_mean,clip_range,ratios_min,approx_TV,ratios_max,num_epochs
0.0005,5,1.0,0.5,1.0,0.0,1.0,0
0.0005,5,0.9998456835746765,0.5,0.9735625982284546,0.020950261503458023,1.0234917402267456,1
0.0005,5,0.9996874332427979,0.5,0.9455384612083435,0.04376446455717087,1.0499520301818848,2
0.0005,5,0.9995302557945251,0.5,0.9171689748764038,0.06743026524782181,1.078385829925537,3
0.0005,5,0.9993768334388733,0.5,0.8885734677314758,0.09166088700294495,1.108436107635498,4
0.0005,5,0.999228835105896,0.5,0.8604422807693481,0.11625995486974716,1.140099048614502,5
0.0005,5,0.9990910887718201,0.5,0.8332483768463135,0.14098504185676575,1.1735665798187256,6
0.0005,5,0.9989569783210754,0.5,0.8068317770957947,0.16578026115894318,1.2089377641677856,7
0.0005,5,0.9988290071487427,0.5,0.7810554504394531,0.19080744683742523,1.2463423013687134,8
0.0005,5,0.9987093806266785,0.5,0.7561593055725098,0.21621261537075043,1.2860888242721558,9
0.0005,5,0.9985982179641724,0.5,0.73166823387146,0.24196858704090118,1.328182578086853,10
0.0005,5,0.9984961152076721,0.5,0.7074291110038757,0.2680818438529968,1.3729703426361084,11
0.0005,5,0.998400092124939,0.5,0.6826953887939453,0.2950167655944824,1.4209202527999878,12
0.0005,5,0.9983134269714355,0.5,0.6583559513092041,0.3226863145828247,1.4721877574920654,13
0.0005,5,0.9982354640960693,0.5,0.6344245672225952,0.3510144054889679,1.526895523071289,14
0.0005,5,0.9981658458709717,0.5,0.6095121502876282,0.38151276111602783,1.5852456092834473,15
0.0005,5,0.9981043338775635,0.5,0.5838463306427002,0.4129703640937805,1.647630214691162,16
0.0005,5,0.9980477690696716,0.5,0.5584111213684082,0.4448721408843994,1.7121269702911377,17
0.0005,5,0.997998833656311,0.5,0.5334701538085938,0.47714313864707947,1.7768200635910034,18
0.0005,5,0.9979578256607056,0.5,0.5090652704238892,0.510223388671875,1.8424015045166016,19
0.0005,5,0.9979230761528015,0.5,0.48521119356155396,0.5435245037078857,1.9080220460891724,20
0.0005,5,0.9978998899459839,0.5,0.4629000723361969,0.5766529440879822,1.9729728698730469,21
0.0005,5,0.9978945851325989,0.5,0.44236046075820923,0.6094014644622803,2.036862850189209,22
0.0005,5,0.9979084134101868,0.5,0.42380478978157043,0.641658365726471,2.0994396209716797,23
0.0005,5,0.9979367256164551,0.5,0.40773817896842957,0.6727975010871887,2.1598827838897705,24
0.0005,5,0.9979722499847412,0.5,0.3938409090042114,0.7024431228637695,2.2173376083374023,25
0.0005,5,0.9980019330978394,0.5,0.38225293159484863,0.7303342819213867,2.271745204925537,26
0.0005,5,0.9980105757713318,0.5,0.37265223264694214,0.7564005851745605,2.323056221008301,27
0.0005,5,0.9979778528213501,0.5,0.36464551091194153,0.7799292802810669,2.3697357177734375,28
0.0005,5,0.99791419506073,0.5,0.3584079444408417,0.800822377204895,2.4112460613250732,29
0.0005,5,0.9978010058403015,0.5,0.3536851406097412,0.8185637593269348,2.4469995498657227,30
0.0005,5,0.9976456165313721,0.5,0.350408136844635,0.8330012559890747,2.476747512817383,31
0.0005,5,0.9974503517150879,0.5,0.34837082028388977,0.844237208366394,2.501530647277832,32
0.0005,5,0.9972162246704102,0.5,0.34755855798721313,0.8518831729888916,2.5214695930480957,33
0.0005,5,0.9969476461410522,0.5,0.3480609059333801,0.8578126430511475,2.534907341003418,34
0.0005,5,0.9966551661491394,0.5,0.3498193919658661,0.8631923794746399,2.5393636226654053,35
0.0005,5,0.996344268321991,0.5,0.352601557970047,0.8651599884033203,2.536560535430908,36
0.0005,5,0.996019721031189,0.5,0.3559167683124542,0.8641711473464966,2.527104616165161,37
0.0005,5,0.9956845045089722,0.5,0.35754069685935974,0.8605937361717224,2.5115039348602295,38
0.0005,5,0.9953678250312805,0.5,0.35987523198127747,0.8547885417938232,2.4910502433776855,39
0.0005,5,0.99507075548172,0.5,0.3627032935619354,0.8517752885818481,2.4667444229125977,40
0.0005,5,0.9948009252548218,0.5,0.3658437430858612,0.8687548637390137,2.441006660461426,41
0.0005,5,0.9945360422134399,0.5,0.36835163831710815,0.8846235871315002,2.415773391723633,42
0.0005,5,0.9942697286605835,0.5,0.3700798749923706,0.8994870781898499,2.3931047916412354,43
0.0005,5,0.9940127730369568,0.5,0.3708811104297638,0.9132153391838074,2.375234842300415,44
0.0005,5,0.9937624335289001,0.5,0.37079480290412903,0.9262798428535461,2.3621957302093506,45
0.0005,5,0.99351567029953,0.5,0.3698134124279022,0.9386173486709595,2.354321002960205,46
0.0005,5,0.9932576417922974,0.5,0.3677019476890564,0.950545072555542,2.353911876678467,47
0.0005,5,0.9929991960525513,0.5,0.36514320969581604,0.9626036882400513,2.358639717102051,48
0.0005,5,0.9927366375923157,0.5,0.3622075915336609,0.9739751815795898,2.368075132369995,49
0.0005,5,0.992473840713501,0.5,0.35933560132980347,0.9845112562179565,2.3798234462738037,50
0.0005,5,0.9922301173210144,0.5,0.3570043444633484,0.9950447678565979,2.3932971954345703,51
0.0005,5,0.9919764995574951,0.5,0.3548789620399475,1.0045366287231445,2.4078662395477295,52
0.0005,5,0.9917072057723999,0.5,0.35313764214515686,1.0130845308303833,2.4229235649108887,53
0.0005,5,0.9914262890815735,0.5,0.351877897977829,1.020702600479126,2.4371471405029297,54
0.0005,5,0.9911478757858276,0.5,0.3514970541000366,1.0269172191619873,2.450277328491211,55
0.0005,5,0.9908597469329834,0.5,0.35168641805648804,1.031794548034668,2.4617927074432373,56
0.0005,5,0.9905985593795776,0.5,0.35283321142196655,1.036466121673584,2.471815347671509,57
0.0005,5,0.9903555512428284,0.5,0.3511815071105957,1.0433467626571655,2.480302572250366,58
