learning_rate,approx_TV,clip_range,ratios_max,num_epochs,ratios_mean,ratios_min,num_agents
0.0004,0.0,0.2,1.0,0,1.0,1.0,5
0.0004,0.014548901468515396,0.2,1.023573637008667,1,0.9997196197509766,0.978509783744812,5
0.0004,0.03061090037226677,0.2,1.0500434637069702,2,0.9994101524353027,0.9553393125534058,5
0.0004,0.04761239141225815,0.2,1.0783531665802002,3,0.9990841746330261,0.9315190315246582,5
0.0004,0.06531112641096115,0.2,1.1081305742263794,4,0.9987462759017944,0.9075086712837219,5
0.0004,0.08357395231723785,0.2,1.13937509059906,5,0.9983986020088196,0.883503794670105,5
0.0004,0.10234556347131729,0.2,1.1719467639923096,6,0.9980422854423523,0.859626054763794,5
0.0004,0.12159507721662521,0.2,1.2058151960372925,7,0.9976775050163269,0.8358556032180786,5
0.0004,0.14127719402313232,0.2,1.2410112619400024,8,0.9973059892654419,0.8123023509979248,5
0.0004,0.16137869656085968,0.2,1.2773873805999756,9,0.9969280362129211,0.7891256213188171,5
0.0004,0.18177834153175354,0.2,1.3144454956054688,10,0.9965470433235168,0.7674748301506042,5
0.0004,0.20252428948879242,0.2,1.351883888244629,11,0.9961696863174438,0.74760502576828,5
0.0004,0.22337505221366882,0.2,1.38863205909729,12,0.9958112835884094,0.7319644093513489,5
0.0004,0.24410055577754974,0.2,1.4245582818984985,13,0.9954744577407837,0.7204985022544861,5
0.0004,0.26463350653648376,0.2,1.4581815004348755,14,0.9951580166816711,0.7132901549339294,5
0.0004,0.285203218460083,0.2,1.4889472723007202,15,0.9948492646217346,0.7005003690719604,5
0.0004,0.30573558807373047,0.2,1.5168440341949463,16,0.994552493095398,0.6854180693626404,5
0.0004,0.32620152831077576,0.2,1.5418760776519775,17,0.9942644238471985,0.671951174736023,5
0.0004,0.34657230973243713,0.2,1.5638954639434814,18,0.9939824342727661,0.660368025302887,5
0.0004,0.3668537735939026,0.2,1.5827431678771973,19,0.9937047362327576,0.6509460806846619,5
0.0004,0.3868456482887268,0.2,1.5985636711120605,20,0.9934369921684265,0.6439030170440674,5
0.0004,0.4072330594062805,0.2,1.6115622520446777,21,0.9931772947311401,0.6392155289649963,5
0.0004,0.4273988604545593,0.2,1.6221612691879272,22,0.9929208755493164,0.6366337537765503,5
0.0004,0.44679394364356995,0.2,1.6307328939437866,23,0.9926660060882568,0.6358827352523804,5
0.0004,0.464743047952652,0.2,1.6375982761383057,24,0.9924234747886658,0.6369155049324036,5
0.0004,0.4808644652366638,0.2,1.6427733898162842,25,0.9922023415565491,0.6395407915115356,5
0.0004,0.4949795603752136,0.2,1.6465550661087036,26,0.9920031428337097,0.6431313753128052,5
0.0004,0.5074177980422974,0.2,1.6484520435333252,27,0.9918224811553955,0.6471279859542847,5
0.0004,0.5184247493743896,0.2,1.648367166519165,28,0.9916566014289856,0.6512590050697327,5
0.0004,0.528150200843811,0.2,1.6459764242172241,29,0.9915040135383606,0.6553067564964294,5
0.0004,0.5367884635925293,0.2,1.641348123550415,30,0.9913626313209534,0.6584827899932861,5
0.0004,0.5446809530258179,0.2,1.6347764730453491,31,0.9912286996841431,0.6609117388725281,5
0.0004,0.5533255934715271,0.2,1.6267380714416504,32,0.991094708442688,0.6628628373146057,5
0.0004,0.5650234222412109,0.2,1.6179412603378296,33,0.9909548163414001,0.6647125482559204,5
0.0004,0.5772693157196045,0.2,1.6089707612991333,34,0.9908007383346558,0.6665420532226562,5
0.0004,0.5900329351425171,0.2,1.5998986959457397,35,0.9906306862831116,0.6684520244598389,5
0.0004,0.6033557653427124,0.2,1.5913299322128296,36,0.990451991558075,0.6708036065101624,5
0.0004,0.6173083782196045,0.2,1.5832818746566772,37,0.9902620315551758,0.6706675291061401,5
0.0004,0.6318516135215759,0.2,1.575685739517212,38,0.9900546073913574,0.6701181530952454,5
0.0004,0.6467800140380859,0.2,1.5905416011810303,39,0.9898374676704407,0.6688027381896973,5
0.0004,0.6616232395172119,0.2,1.6087183952331543,40,0.9896256923675537,0.6642074584960938,5
0.0004,0.6761882901191711,0.2,1.6251479387283325,41,0.9894271492958069,0.6599262952804565,5
0.0004,0.6904915571212769,0.2,1.6399897336959839,42,0.9892443418502808,0.6557435393333435,5
0.0004,0.7044501304626465,0.2,1.65370774269104,43,0.9890771508216858,0.6518020033836365,5
0.0004,0.718061625957489,0.2,1.665879249572754,44,0.9889180064201355,0.6482248902320862,5
0.0004,0.7311908602714539,0.2,1.6761820316314697,45,0.9887581467628479,0.6450104117393494,5
0.0004,0.743622362613678,0.2,1.6850632429122925,46,0.9885923862457275,0.6421704292297363,5
0.0004,0.7548613548278809,0.2,1.692487120628357,47,0.988420844078064,0.6398558616638184,5
0.0004,0.7649511098861694,0.2,1.6980884075164795,48,0.9882441759109497,0.6380761861801147,5
0.0004,0.7739964127540588,0.2,1.7016198635101318,49,0.988059937953949,0.6368381381034851,5
0.0004,0.7823646664619446,0.2,1.7032595872879028,50,0.9878559112548828,0.6356752514839172,5
0.0004,0.7902345657348633,0.2,1.7028164863586426,51,0.9876385927200317,0.6340838074684143,5
0.0004,0.7976064682006836,0.2,1.6999183893203735,52,0.9874199032783508,0.6320211887359619,5
0.0004,0.8048359155654907,0.2,1.695513367652893,53,0.987205445766449,0.6294947266578674,5
0.0004,0.8116340637207031,0.2,1.689728021621704,54,0.987000048160553,0.6265712976455688,5
0.0004,0.8178306818008423,0.2,1.6828969717025757,55,0.9868093132972717,0.6228154897689819,5
0.0004,0.823180079460144,0.2,1.6754868030548096,56,0.9866400957107544,0.6187517642974854,5
