learning_rate,approx_TV,ratios_max,num_epochs,ratios_mean,ratios_min,num_agents,clip_range
0.0004,0.0,1.0,0,1.0,1.0,5,0.3
0.0004,0.014548901468515396,1.023573637008667,1,0.9997196197509766,0.978509783744812,5,0.3
0.0004,0.03061090037226677,1.0500434637069702,2,0.9994101524353027,0.9553393125534058,5,0.3
0.0004,0.04761239141225815,1.0783531665802002,3,0.9990841746330261,0.9315190315246582,5,0.3
0.0004,0.06531112641096115,1.1081305742263794,4,0.9987462759017944,0.9075086712837219,5,0.3
0.0004,0.08357395231723785,1.13937509059906,5,0.9983986020088196,0.883503794670105,5,0.3
0.0004,0.10234556347131729,1.1719467639923096,6,0.9980422854423523,0.859626054763794,5,0.3
0.0004,0.12159507721662521,1.2058151960372925,7,0.9976775050163269,0.8358556032180786,5,0.3
0.0004,0.14127719402313232,1.2410112619400024,8,0.9973059892654419,0.8123023509979248,5,0.3
0.0004,0.16137869656085968,1.2773873805999756,9,0.9969280362129211,0.7891256213188171,5,0.3
0.0004,0.18184292316436768,1.314980387687683,10,0.9965440034866333,0.7662956714630127,5,0.3
0.0004,0.20273399353027344,1.353747844696045,11,0.9961557984352112,0.7438214421272278,5,0.3
0.0004,0.22420674562454224,1.3938490152359009,12,0.9957616329193115,0.7216492891311646,5,0.3
0.0004,0.24616886675357819,1.4350701570510864,13,0.9953614473342896,0.6997197270393372,5,0.3
0.0004,0.2686411440372467,1.4773238897323608,14,0.9949561357498169,0.6785755157470703,5,0.3
0.0004,0.29162487387657166,1.520331859588623,15,0.9945465326309204,0.6587933897972107,5,0.3
0.0004,0.31503841280937195,1.563742756843567,16,0.9941391944885254,0.6404380798339844,5,0.3
0.0004,0.3387795090675354,1.606857180595398,17,0.9937406182289124,0.6245613098144531,5,0.3
0.0004,0.3627591133117676,1.6493786573410034,18,0.9933546185493469,0.6119522452354431,5,0.3
0.0004,0.3868786692619324,1.69027841091156,19,0.9929856657981873,0.5984510183334351,5,0.3
0.0004,0.411325603723526,1.7289339303970337,20,0.9926208853721619,0.581136167049408,5,0.3
0.0004,0.4361560344696045,1.7644262313842773,21,0.9922590255737305,0.5652438998222351,5,0.3
0.0004,0.4614873230457306,1.796851396560669,22,0.9918995499610901,0.5505108833312988,5,0.3
0.0004,0.4869736433029175,1.8265800476074219,23,0.9915446043014526,0.5367805361747742,5,0.3
0.0004,0.5126363039016724,1.8531715869903564,24,0.9911879897117615,0.5240990519523621,5,0.3
0.0004,0.5382701754570007,1.8766694068908691,25,0.9908331036567688,0.5127309560775757,5,0.3
0.0004,0.5639045834541321,1.8971763849258423,26,0.9904772043228149,0.5025595426559448,5,0.3
0.0004,0.5894086360931396,1.9146214723587036,27,0.9901247024536133,0.49390581250190735,5,0.3
0.0004,0.6148662567138672,1.928985834121704,28,0.9897748827934265,0.4867093861103058,5,0.3
0.0004,0.6398316025733948,1.939769983291626,29,0.9894328713417053,0.4810544550418854,5,0.3
0.0004,0.6644952893257141,1.9475868940353394,30,0.9890974164009094,0.4771035313606262,5,0.3
0.0004,0.6885677576065063,1.9528924226760864,31,0.9887726306915283,0.4747753143310547,5,0.3
0.0004,0.7113722562789917,1.9559571743011475,32,0.9884575009346008,0.47381389141082764,5,0.3
0.0004,0.7326333522796631,1.9574270248413086,33,0.9881535172462463,0.47402745485305786,5,0.3
0.0004,0.7524255514144897,1.9580509662628174,34,0.9878599643707275,0.47511357069015503,5,0.3
0.0004,0.7713291645050049,1.9582040309906006,35,0.9875761866569519,0.47680720686912537,5,0.3
0.0004,0.7890337109565735,1.9578624963760376,36,0.9873062372207642,0.47906532883644104,5,0.3
0.0004,0.8058377504348755,1.9571549892425537,37,0.9870476722717285,0.48180297017097473,5,0.3
0.0004,0.8218491077423096,1.9557654857635498,38,0.986799418926239,0.4849797785282135,5,0.3
0.0004,0.8378473520278931,1.9534211158752441,39,0.9865705370903015,0.4883590638637543,5,0.3
0.0004,0.8545418977737427,1.950106143951416,40,0.9863556623458862,0.49179738759994507,5,0.3
0.0004,0.8723229169845581,1.9452940225601196,41,0.9861600995063782,0.4951900541782379,5,0.3
0.0004,0.889960527420044,1.9397594928741455,42,0.9859696626663208,0.49814853072166443,5,0.3
0.0004,0.9076371192932129,1.9335458278656006,43,0.9857809543609619,0.5008354187011719,5,0.3
0.0004,0.9253906607627869,1.9272997379302979,44,0.9855862855911255,0.5033109188079834,5,0.3
0.0004,0.9433890581130981,1.9213732481002808,45,0.9853854179382324,0.5058791041374207,5,0.3
0.0004,0.9616323113441467,1.9156928062438965,46,0.9851632714271545,0.5062650442123413,5,0.3
0.0004,0.9800422191619873,1.9138774871826172,47,0.9849128127098083,0.4994237720966339,5,0.3
0.0004,0.9988893866539001,1.918022632598877,48,0.9846370220184326,0.4923442602157593,5,0.3
0.0004,1.0183601379394531,1.9231890439987183,49,0.9843401908874512,0.48496389389038086,5,0.3
0.0004,1.0380899906158447,1.928572416305542,50,0.984025239944458,0.4773991107940674,5,0.3
0.0004,1.0581092834472656,1.9343377351760864,51,0.9836970567703247,0.46979406476020813,5,0.3
0.0004,1.0781298875808716,1.9389342069625854,52,0.9833675026893616,0.46216797828674316,5,0.3
0.0004,1.0979716777801514,1.9545419216156006,53,0.9830469489097595,0.45466774702072144,5,0.3
0.0004,1.1171492338180542,1.9691706895828247,54,0.9827429056167603,0.4472808241844177,5,0.3
0.0004,1.1350785493850708,1.9826431274414062,55,0.9824619293212891,0.44023141264915466,5,0.3
0.0004,1.1515274047851562,1.9945461750030518,56,0.9822102189064026,0.43372735381126404,5,0.3
