ratios_mean,ratios_min,num_agents,approx_TV,clip_range,ratios_max,learning_rate,num_epochs
1.0,1.0,5,0.0,0.1,1.0,0.0001,0
0.9999940991401672,0.9953691959381104,5,0.0032776296138763428,0.1,1.0053391456604004,0.0001,1
0.9999880194664001,0.9902299046516418,5,0.006905399262905121,0.1,1.0112234354019165,0.0001,2
0.9999815821647644,0.9848264455795288,5,0.010713756084442139,0.1,1.0174235105514526,0.0001,3
0.9999749064445496,0.9792529344558716,5,0.014641880989074707,0.1,1.0238423347473145,0.0001,4
0.9999680519104004,0.973549485206604,5,0.01865536719560623,0.1,1.0304309129714966,0.0001,5
0.9999610185623169,0.967741072177887,5,0.02276218682527542,0.1,1.0371681451797485,0.0001,6
0.9999537467956543,0.9618234038352966,5,0.02694457769393921,0.1,1.0440356731414795,0.0001,7
0.9999462366104126,0.9558440446853638,5,0.031174510717391968,0.1,1.0510227680206299,0.0001,8
0.9999386668205261,0.9498180747032166,5,0.035429827868938446,0.1,1.0581209659576416,0.0001,9
0.9999313354492188,0.9437503814697266,5,0.03970275819301605,0.1,1.0653210878372192,0.0001,10
0.9999238848686218,0.9376627206802368,5,0.04402103275060654,0.1,1.0726178884506226,0.0001,11
0.9999163746833801,0.931561291217804,5,0.04839303344488144,0.1,1.0800069570541382,0.0001,12
0.9999086260795593,0.9254485368728638,5,0.052794307470321655,0.1,1.0875080823898315,0.0001,13
0.999900758266449,0.9193331003189087,5,0.05723132938146591,0.1,1.0951075553894043,0.0001,14
0.9998928308486938,0.9132199287414551,5,0.061700157821178436,0.1,1.102796196937561,0.0001,15
0.9998849630355835,0.9071125984191895,5,0.06619645655155182,0.1,1.1105748414993286,0.0001,16
0.9998770356178284,0.9010159373283386,5,0.07072599977254868,0.1,1.1184422969818115,0.0001,17
0.9998689889907837,0.8949335813522339,5,0.0752890408039093,0.1,1.126400351524353,0.0001,18
0.9998610019683838,0.8892008662223816,5,0.0798899307847023,0.1,1.134438395500183,0.0001,19
0.999853789806366,0.8839747309684753,5,0.08455049246549606,0.1,1.1424180269241333,0.0001,20
0.9998480677604675,0.8794122934341431,5,0.08922082930803299,0.1,1.1502832174301147,0.0001,21
0.9998441338539124,0.8755272030830383,5,0.09392822533845901,0.1,1.157924771308899,0.0001,22
0.9998418688774109,0.8723390102386475,5,0.09864248335361481,0.1,1.1653097867965698,0.0001,23
0.999841570854187,0.8699811697006226,5,0.10336374491453171,0.1,1.1723823547363281,0.0001,24
0.9998432397842407,0.8684741854667664,5,0.10812471061944962,0.1,1.1790910959243774,0.0001,25
0.9998471140861511,0.867165744304657,5,0.113138847053051,0.1,1.1854324340820312,0.0001,26
0.9998544454574585,0.8648957014083862,5,0.1183430477976799,0.1,1.19118070602417,0.0001,27
0.9998655319213867,0.8633115887641907,5,0.12373428046703339,0.1,1.1962774991989136,0.0001,28
0.9998797178268433,0.8624061942100525,5,0.12927812337875366,0.1,1.2008326053619385,0.0001,29
0.9998965263366699,0.8620883822441101,5,0.13492867350578308,0.1,1.2048749923706055,0.0001,30
0.9999152421951294,0.8623079657554626,5,0.14063727855682373,0.1,1.2084981203079224,0.0001,31
0.9999350905418396,0.8630039095878601,5,0.14634323120117188,0.1,1.211774230003357,0.0001,32
0.9999557137489319,0.86398845911026,5,0.15199661254882812,0.1,1.2147971391677856,0.0001,33
0.9999768733978271,0.8652541041374207,5,0.1575792133808136,0.1,1.2176178693771362,0.0001,34
0.9999973773956299,0.8635016679763794,5,0.16308662295341492,0.1,1.2204198837280273,0.0001,35
1.0000154972076416,0.8596784472465515,5,0.16839376091957092,0.1,1.2232764959335327,0.0001,36
1.0000306367874146,0.8560479879379272,5,0.1734931319952011,0.1,1.2263145446777344,0.0001,37
1.0000430345535278,0.8526158332824707,5,0.1783343255519867,0.1,1.2295536994934082,0.0001,38
1.00005042552948,0.8494496941566467,5,0.18277031183242798,0.1,1.2331640720367432,0.0001,39
1.0000529289245605,0.8465268611907959,5,0.18679732084274292,0.1,1.2371703386306763,0.0001,40
1.000050663948059,0.8438458442687988,5,0.19038188457489014,0.1,1.241510033607483,0.0001,41
1.0000439882278442,0.8413915038108826,5,0.19354720413684845,0.1,1.2461611032485962,0.0001,42
1.0000334978103638,0.8391251564025879,5,0.19634407758712769,0.1,1.2510477304458618,0.0001,43
1.0000197887420654,0.8370237350463867,5,0.1988021433353424,0.1,1.256076455116272,0.0001,44
1.0000042915344238,0.8350167274475098,5,0.20101287961006165,0.1,1.2611750364303589,0.0001,45
0.9999876618385315,0.8330971002578735,5,0.20303961634635925,0.1,1.2663315534591675,0.0001,46
0.9999701380729675,0.8312835097312927,5,0.20489400625228882,0.1,1.2715950012207031,0.0001,47
0.9999526739120483,0.8296146392822266,5,0.20661118626594543,0.1,1.276871919631958,0.0001,48
0.9999351501464844,0.8281604647636414,5,0.20867466926574707,0.1,1.2822669744491577,0.0001,49
0.9999183416366577,0.8269103765487671,5,0.21133330464363098,0.1,1.2877486944198608,0.0001,50
0.999902606010437,0.8257872462272644,5,0.21393904089927673,0.1,1.2931013107299805,0.0001,51
0.9998894333839417,0.8246455192565918,5,0.21657057106494904,0.1,1.2980413436889648,0.0001,52
0.9998786449432373,0.8234833478927612,5,0.2191486954689026,0.1,1.3026202917099,0.0001,53
0.9998703598976135,0.8222737312316895,5,0.2217007279396057,0.1,1.3068116903305054,0.0001,54
0.9998647570610046,0.8209959268569946,5,0.2245931625366211,0.1,1.3105721473693848,0.0001,55
0.9998617172241211,0.8196409940719604,5,0.22771184146404266,0.1,1.3138878345489502,0.0001,56
