ratios_min,clip_range,ratios_mean,approx_TV,num_agents,ratios_max,num_epochs,learning_rate
1.0,0.5,1.0,0.0,5,1.0,0,0.0003
0.9828055500984192,0.5,0.9999622702598572,0.017067670822143555,5,1.011751651763916,1,0.0003
0.9643992781639099,0.5,0.9999226331710815,0.03578319400548935,5,1.0246697664260864,2,0.0003
0.9455357789993286,0.5,0.9998815059661865,0.05547451972961426,5,1.038217306137085,3,0.0003
0.9264996647834778,0.5,0.9998400211334229,0.0759759172797203,5,1.0522884130477905,4,0.0003
0.907434344291687,0.5,0.9997988343238831,0.09720596671104431,5,1.0667963027954102,5,0.0003
0.8884574770927429,0.5,0.9997587203979492,0.1190708577632904,5,1.0816848278045654,6,0.0003
0.8696083426475525,0.5,0.9997209906578064,0.1415134072303772,5,1.096924066543579,7,0.0003
0.8508336544036865,0.5,0.9996845722198486,0.16464358568191528,5,1.1125329732894897,8,0.0003
0.8321573734283447,0.5,0.9996501207351685,0.18839921057224274,5,1.1289290189743042,9,0.0003
0.8136612772941589,0.5,0.9996170997619629,0.21278835833072662,5,1.1466193199157715,10,0.0003
0.7953665852546692,0.5,0.9995848536491394,0.23782610893249512,5,1.1648091077804565,11,0.0003
0.7772461175918579,0.5,0.9995543360710144,0.26358190178871155,5,1.1834309101104736,12,0.0003
0.7593101859092712,0.5,0.9995259046554565,0.28998392820358276,5,1.2026557922363281,13,0.0003
0.741558849811554,0.5,0.9994997382164001,0.31704023480415344,5,1.2224899530410767,14,0.0003
0.7239854335784912,0.5,0.9994753003120422,0.3448653221130371,5,1.24289071559906,15,0.0003
0.7065919041633606,0.5,0.9994540810585022,0.37357741594314575,5,1.2639660835266113,16,0.0003
0.6893726587295532,0.5,0.9994348883628845,0.4031767249107361,5,1.2857182025909424,17,0.0003
0.6723408699035645,0.5,0.9994175434112549,0.4336204528808594,5,1.308178424835205,18,0.0003
0.6554924249649048,0.5,0.9994028210639954,0.46494683623313904,5,1.331400752067566,19,0.0003
0.6388451457023621,0.5,0.9993898868560791,0.4972513020038605,5,1.3553751707077026,20,0.0003
0.6223852634429932,0.5,0.9993785619735718,0.5304409861564636,5,1.3801429271697998,21,0.0003
0.6061362624168396,0.5,0.9993693828582764,0.5645986795425415,5,1.4057323932647705,22,0.0003
0.5901024341583252,0.5,0.9993616342544556,0.5997493267059326,5,1.4321846961975098,23,0.0003
0.5742522478103638,0.5,0.9993571639060974,0.635869026184082,5,1.459537148475647,24,0.0003
0.5585988759994507,0.5,0.999355673789978,0.6729291677474976,5,1.4877792596817017,25,0.0003
0.5431347489356995,0.5,0.9993575811386108,0.7109682559967041,5,1.5169575214385986,26,0.0003
0.5278099179267883,0.5,0.999359130859375,0.7493155002593994,5,1.546011209487915,27,0.0003
0.5125231742858887,0.5,0.9993506073951721,0.7865138649940491,5,1.5728474855422974,28,0.0003
0.4972630739212036,0.5,0.9993274211883545,0.8215638399124146,5,1.5960865020751953,29,0.0003
0.4824053645133972,0.5,0.9992899298667908,0.8546953201293945,5,1.6160155534744263,30,0.0003
0.46824514865875244,0.5,0.9992207288742065,0.8839804530143738,5,1.6300582885742188,31,0.0003
0.4548138380050659,0.5,0.9991062879562378,0.9074981212615967,5,1.6467276811599731,32,0.0003
0.44225868582725525,0.5,0.9989457130432129,0.9259108304977417,5,1.6759203672409058,33,0.0003
0.43044936656951904,0.5,0.9987421631813049,0.9399150609970093,5,1.7055739164352417,34,0.0003
0.4192533493041992,0.5,0.998492419719696,0.9502461552619934,5,1.7353806495666504,35,0.0003
0.4091496765613556,0.5,0.9982099533081055,0.9585299491882324,5,1.769443154335022,36,0.0003
0.40008631348609924,0.5,0.9979084730148315,0.9660574197769165,5,1.807124376296997,37,0.0003
0.39207935333251953,0.5,0.9976005554199219,0.9734167456626892,5,1.8462891578674316,38,0.0003
0.3850162625312805,0.5,0.9972931146621704,0.9804883599281311,5,1.887057900428772,39,0.0003
0.378773033618927,0.5,0.9970005750656128,0.9879231452941895,5,1.9301022291183472,40,0.0003
0.37336865067481995,0.5,0.9967243671417236,0.9953153133392334,5,1.9744049310684204,41,0.0003
0.36865103244781494,0.5,0.9964601993560791,1.0022400617599487,5,2.0200319290161133,42,0.0003
0.36449554562568665,0.5,0.9962105751037598,1.0087281465530396,5,2.0669822692871094,43,0.0003
0.36090630292892456,0.5,0.9959803819656372,1.0149139165878296,5,2.115908622741699,44,0.0003
0.35780438780784607,0.5,0.995769202709198,1.0198725461959839,5,2.164795398712158,45,0.0003
0.355103999376297,0.5,0.9955778121948242,1.0238664150238037,5,2.2126781940460205,46,0.0003
0.35267773270606995,0.5,0.9954052567481995,1.0276687145233154,5,2.2595736980438232,47,0.0003
0.3504956066608429,0.5,0.9952512383460999,1.0312612056732178,5,2.305185556411743,48,0.0003
0.3487233519554138,0.5,0.9951165318489075,1.0345864295959473,5,2.3492648601531982,49,0.0003
0.34620925784111023,0.5,0.994991660118103,1.0364882946014404,5,2.391911268234253,50,0.0003
0.34361159801483154,0.5,0.9948597550392151,1.036136269569397,5,2.433497190475464,51,0.0003
0.3419269025325775,0.5,0.994717538356781,1.0335476398468018,5,2.4740049839019775,52,0.0003
0.3410210907459259,0.5,0.9945607781410217,1.02933931350708,5,2.513610363006592,53,0.0003
0.3407871723175049,0.5,0.994381844997406,1.0232436656951904,5,2.5528745651245117,54,0.0003
0.3410566449165344,0.5,0.9941850900650024,1.016656756401062,5,2.592003345489502,55,0.0003
0.3417239785194397,0.5,0.9939747452735901,1.0105934143066406,5,2.6330626010894775,56,0.0003
