learning_rate,ratios_max,num_epochs,approx_TV,ratios_mean,ratios_min,clip_range,num_agents
0.0001,1.0,0,0.0,0.9999999403953552,1.0,0.5,5
0.0001,1.0054885149002075,1,0.0076308473944664,0.9999995231628418,0.9949530363082886,0.5,5
0.0001,1.011460781097412,2,0.01589849591255188,0.999998927116394,0.9894684553146362,0.5,5
0.0001,1.0176912546157837,3,0.02449515461921692,0.9999985098838806,0.9837769865989685,0.5,5
0.0001,1.024094581604004,4,0.03330390155315399,0.9999979138374329,0.9779598712921143,0.5,5
0.0001,1.0306262969970703,5,0.04225790500640869,0.9999972581863403,0.9720708727836609,0.5,5
0.0001,1.0372689962387085,6,0.05131501704454422,0.9999962449073792,0.966139554977417,0.5,5
0.0001,1.043990969657898,7,0.0604575052857399,0.9999955296516418,0.9601884484291077,0.5,5
0.0001,1.050779938697815,8,0.06966664642095566,0.999994695186615,0.9542354345321655,0.5,5
0.0001,1.0576298236846924,9,0.07892405241727829,0.9999938607215881,0.9482923150062561,0.5,5
0.0001,1.0645335912704468,10,0.08821973204612732,0.9999932050704956,0.9423664212226868,0.5,5
0.0001,1.0714833736419678,11,0.09754637628793716,0.9999925494194031,0.9364650249481201,0.5,5
0.0001,1.0784754753112793,12,0.10689349472522736,0.9999921321868896,0.9305940866470337,0.5,5
0.0001,1.0855138301849365,13,0.11626403778791428,0.9999912977218628,0.9247546792030334,0.5,5
0.0001,1.09260094165802,14,0.12564989924430847,0.9999903440475464,0.9189501404762268,0.5,5
0.0001,1.0997228622436523,15,0.13505089282989502,0.9999894499778748,0.9131796360015869,0.5,5
0.0001,1.1068774461746216,16,0.1444571316242218,0.9999881386756897,0.9074499607086182,0.5,5
0.0001,1.114147424697876,17,0.1538640260696411,0.999987006187439,0.9017640948295593,0.5,5
0.0001,1.121904969215393,18,0.16327016055583954,0.9999857544898987,0.8961241245269775,0.5,5
0.0001,1.1297696828842163,19,0.17267575860023499,0.999984622001648,0.8905458450317383,0.5,5
0.0001,1.1377440690994263,20,0.18207666277885437,0.9999836087226868,0.8850293755531311,0.5,5
0.0001,1.1458312273025513,21,0.19146010279655457,0.9999825954437256,0.8795777559280396,0.5,5
0.0001,1.1540353298187256,22,0.20082801580429077,0.9999818205833435,0.874180018901825,0.5,5
0.0001,1.1623635292053223,23,0.2101897895336151,0.9999812245368958,0.8688362836837769,0.5,5
0.0001,1.1708252429962158,24,0.21954579651355743,0.9999807476997375,0.8632926344871521,0.5,5
0.0001,1.1794129610061646,25,0.22890973091125488,0.9999805688858032,0.8575683832168579,0.5,5
0.0001,1.1881340742111206,26,0.2382703423500061,0.9999803900718689,0.8518497943878174,0.5,5
0.0001,1.197006344795227,27,0.24762722849845886,0.9999801516532898,0.8461029529571533,0.5,5
0.0001,1.206018328666687,28,0.2569621503353119,0.9999799132347107,0.8403517007827759,0.5,5
0.0001,1.2151694297790527,29,0.2662656307220459,0.9999796152114868,0.8346054553985596,0.5,5
0.0001,1.2244678735733032,30,0.2755603790283203,0.999979555606842,0.8288654685020447,0.5,5
0.0001,1.23391592502594,31,0.2848466634750366,0.9999794363975525,0.8231307864189148,0.5,5
0.0001,1.2435171604156494,32,0.2941206693649292,0.9999792575836182,0.8173995018005371,0.5,5
0.0001,1.253275752067566,33,0.30338793992996216,0.9999792575836182,0.8116708397865295,0.5,5
0.0001,1.263197422027588,34,0.31264859437942505,0.9999789595603943,0.8059511780738831,0.5,5
0.0001,1.2732841968536377,35,0.3219032883644104,0.9999787211418152,0.8002327084541321,0.5,5
0.0001,1.2835402488708496,36,0.3311498761177063,0.9999784231185913,0.7945155501365662,0.5,5
0.0001,1.2939724922180176,37,0.3403882682323456,0.999978244304657,0.7887957096099854,0.5,5
0.0001,1.3045815229415894,38,0.3496192693710327,0.9999783039093018,0.7830694913864136,0.5,5
0.0001,1.315379023551941,39,0.3588441014289856,0.9999787211418152,0.7773425579071045,0.5,5
0.0001,1.3263671398162842,40,0.36806508898735046,0.9999793171882629,0.7716118693351746,0.5,5
0.0001,1.3375457525253296,41,0.3772848844528198,0.9999797940254211,0.7658761143684387,0.5,5
0.0001,1.3489141464233398,42,0.3865029215812683,0.9999805688858032,0.7601434588432312,0.5,5
0.0001,1.3605097532272339,43,0.3957132399082184,0.9999816417694092,0.7544112205505371,0.5,5
0.0001,1.3723093271255493,44,0.4049232602119446,0.9999826550483704,0.7486781477928162,0.5,5
0.0001,1.3843169212341309,45,0.4141334891319275,0.999984085559845,0.7429329752922058,0.5,5
0.0001,1.39653480052948,46,0.42334651947021484,0.9999857544898987,0.7371837496757507,0.5,5
0.0001,1.408967137336731,47,0.4325636625289917,0.9999874830245972,0.7314364910125732,0.5,5
0.0001,1.421617865562439,48,0.441788911819458,0.9999894499778748,0.7256831526756287,0.5,5
0.0001,1.4344899654388428,49,0.45102861523628235,0.9999915361404419,0.7199140191078186,0.5,5
0.0001,1.4475839138031006,50,0.4602763056755066,0.9999939799308777,0.7141409516334534,0.5,5
0.0001,1.4609040021896362,51,0.4695267081260681,0.9999969005584717,0.7083628177642822,0.5,5
0.0001,1.4744285345077515,52,0.4787887632846832,1.0000001192092896,0.702582061290741,0.5,5
0.0001,1.4881861209869385,53,0.48806750774383545,1.000003457069397,0.6967974305152893,0.5,5
0.0001,1.502186894416809,54,0.49735456705093384,1.0000073909759521,0.6910058856010437,0.5,5
0.0001,1.5155960321426392,55,0.5066723823547363,1.0000114440917969,0.6853010654449463,0.5,5
0.0001,1.528398871421814,56,0.5160223841667175,1.0000156164169312,0.6796771883964539,0.5,5
