clip_range,ratios_mean,num_epochs,learning_rate,approx_TV,ratios_min,num_agents,ratios_max
0.2,1.0,0,0.0005,0.0,1.0,5,1.0
0.2,0.9998456835746765,1,0.0005,0.020950261503458023,0.9735625982284546,5,1.0234917402267456
0.2,0.9996874332427979,2,0.0005,0.04376446455717087,0.9455384612083435,5,1.0499520301818848
0.2,0.9995302557945251,3,0.0005,0.06743026524782181,0.9171689748764038,5,1.078385829925537
0.2,0.9993768334388733,4,0.0005,0.09166088700294495,0.8885734677314758,5,1.108436107635498
0.2,0.999228835105896,5,0.0005,0.11625995486974716,0.8604422807693481,5,1.140099048614502
0.2,0.9990910887718201,6,0.0005,0.14098504185676575,0.8332483768463135,5,1.1735665798187256
0.2,0.9989569783210754,7,0.0005,0.16578026115894318,0.8068317770957947,5,1.2089377641677856
0.2,0.9988290071487427,8,0.0005,0.19080744683742523,0.7810554504394531,5,1.2463423013687134
0.2,0.9987502098083496,9,0.0005,0.21511617302894592,0.7605552077293396,5,1.2838748693466187
0.2,0.9987461566925049,10,0.0005,0.23799267411231995,0.747158944606781,5,1.3192569017410278
0.2,0.9988039135932922,11,0.0005,0.25935977697372437,0.7379879355430603,5,1.3522567749023438
0.2,0.9989041686058044,12,0.0005,0.27928516268730164,0.7325943112373352,5,1.3830034732818604
0.2,0.9990315437316895,13,0.0005,0.2976325750350952,0.7221679091453552,5,1.4112271070480347
0.2,0.9991714954376221,14,0.0005,0.31411033868789673,0.7057340145111084,5,1.4368557929992676
0.2,0.9992820024490356,15,0.0005,0.3283967971801758,0.6928436160087585,5,1.45943021774292
0.2,0.9993539452552795,16,0.0005,0.3399814963340759,0.6837916374206543,5,1.4791855812072754
0.2,0.9993651509284973,17,0.0005,0.3517380952835083,0.6790907382965088,5,1.4944385290145874
0.2,0.999323308467865,18,0.0005,0.36158841848373413,0.6778271198272705,5,1.5047268867492676
0.2,0.9992335438728333,19,0.0005,0.3688931167125702,0.6792213320732117,5,1.510780930519104
0.2,0.9990854859352112,20,0.0005,0.37366724014282227,0.6814020872116089,5,1.5132710933685303
0.2,0.9989101886749268,21,0.0005,0.37640050053596497,0.6851255893707275,5,1.5122904777526855
0.2,0.9987220764160156,22,0.0005,0.37851178646087646,0.6895327568054199,5,1.5081989765167236
0.2,0.9985307455062866,23,0.0005,0.3816388249397278,0.6921209692955017,5,1.5016882419586182
0.2,0.9983405470848083,24,0.0005,0.3846055269241333,0.696303129196167,5,1.4941599369049072
0.2,0.9981695413589478,25,0.0005,0.3914797008037567,0.7016903758049011,5,1.485906720161438
0.2,0.9980263710021973,26,0.0005,0.3993416428565979,0.7071320414543152,5,1.4776464700698853
0.2,0.9979227781295776,27,0.0005,0.40570327639579773,0.7111297249794006,5,1.4701039791107178
0.2,0.997840940952301,28,0.0005,0.41013988852500916,0.7118574976921082,5,1.4642693996429443
0.2,0.9977795481681824,29,0.0005,0.4128381907939911,0.7030186057090759,5,1.4606297016143799
0.2,0.9977235794067383,30,0.0005,0.41363295912742615,0.6945565342903137,5,1.4591429233551025
0.2,0.9976480603218079,31,0.0005,0.4152648150920868,0.687333345413208,5,1.4616886377334595
0.2,0.9975528717041016,32,0.0005,0.41673630475997925,0.6813623309135437,5,1.4675694704055786
0.2,0.997433602809906,33,0.0005,0.41875433921813965,0.6766459345817566,5,1.4756232500076294
0.2,0.9972936511039734,34,0.0005,0.4216243028640747,0.6728206872940063,5,1.4855562448501587
0.2,0.9971393346786499,35,0.0005,0.42446210980415344,0.669634222984314,5,1.4964947700500488
0.2,0.9969756603240967,36,0.0005,0.42803436517715454,0.6665917634963989,5,1.5077192783355713
0.2,0.9968016743659973,37,0.0005,0.4326404631137848,0.6637137532234192,5,1.5183736085891724
0.2,0.9966288805007935,38,0.0005,0.4381888210773468,0.6608607172966003,5,1.5281720161437988
0.2,0.996462345123291,39,0.0005,0.443338006734848,0.6578221917152405,5,1.5375486612319946
0.2,0.9963038563728333,40,0.0005,0.44764649868011475,0.65431147813797,5,1.5459511280059814
0.2,0.9961445927619934,41,0.0005,0.4514615535736084,0.6504854559898376,5,1.5531355142593384
0.2,0.9959716796875,42,0.0005,0.454610675573349,0.6467786431312561,5,1.5597981214523315
0.2,0.9957855939865112,43,0.0005,0.4572301506996155,0.6428676843643188,5,1.5659340620040894
0.2,0.9955862760543823,44,0.0005,0.4597535729408264,0.6390232443809509,5,1.571438193321228
0.2,0.9953893423080444,45,0.0005,0.46256929636001587,0.6347858309745789,5,1.576667308807373
0.2,0.9952042102813721,46,0.0005,0.4657552242279053,0.6300005912780762,5,1.580918550491333
0.2,0.9950499534606934,47,0.0005,0.46900880336761475,0.6246442794799805,5,1.5856993198394775
0.2,0.9949344992637634,48,0.0005,0.47193655371665955,0.6190847158432007,5,1.590850830078125
0.2,0.9948519468307495,49,0.0005,0.4737013280391693,0.6130868196487427,5,1.5969434976577759
0.2,0.9947875738143921,50,0.0005,0.4748044013977051,0.6068891286849976,5,1.6036677360534668
0.2,0.9947333931922913,51,0.0005,0.4766439199447632,0.6006034016609192,5,1.6105611324310303
0.2,0.9946771264076233,52,0.0005,0.4797342121601105,0.5941408276557922,5,1.6178909540176392
0.2,0.9946277141571045,53,0.0005,0.4827163815498352,0.5875657200813293,5,1.6244416236877441
0.2,0.9945682883262634,54,0.0005,0.4850925803184509,0.5816821455955505,5,1.6303361654281616
0.2,0.9945014119148254,55,0.0005,0.48649340867996216,0.5763049125671387,5,1.6342973709106445
0.2,0.9944490790367126,56,0.0005,0.48706161975860596,0.5711978077888489,5,1.6358331441879272
0.2,0.9944077730178833,57,0.0005,0.4877406656742096,0.5666972398757935,5,1.634786605834961
0.2,0.9943881630897522,58,0.0005,0.4894547164440155,0.5627188086509705,5,1.6322592496871948
