num_agents,approx_TV,ratios_max,num_epochs,learning_rate,ratios_mean,clip_range,ratios_min
5,0.0,1.0,0,0.0003,1.0,0.1,1.0
5,0.017067670822143555,1.011751651763916,1,0.0003,0.9999622702598572,0.1,0.9828055500984192
5,0.03578319400548935,1.0246697664260864,2,0.0003,0.9999226331710815,0.1,0.9643992781639099
5,0.05547451972961426,1.038217306137085,3,0.0003,0.9998815059661865,0.1,0.9455357789993286
5,0.0759759172797203,1.0522884130477905,4,0.0003,0.9998400211334229,0.1,0.9264996647834778
5,0.09720596671104431,1.0667963027954102,5,0.0003,0.9997988343238831,0.1,0.907434344291687
5,0.1190708577632904,1.0816848278045654,6,0.0003,0.9997587203979492,0.1,0.8884574770927429
5,0.14163333177566528,1.0967739820480347,7,0.0003,0.9997259974479675,0.1,0.872539758682251
5,0.1649928092956543,1.112395167350769,8,0.0003,0.9997006058692932,0.1,0.8598285913467407
5,0.18739446997642517,1.127724051475525,9,0.0003,0.9996729493141174,0.1,0.8502886295318604
5,0.20354682207107544,1.1417289972305298,10,0.0003,0.9996142983436584,0.1,0.8437982797622681
5,0.21264444291591644,1.1567792892456055,11,0.0003,0.9995124936103821,0.1,0.8398648500442505
5,0.21635660529136658,1.1715317964553833,12,0.0003,0.9993772506713867,0.1,0.8379283547401428
5,0.2159646600484848,1.185815691947937,13,0.0003,0.9992241859436035,0.1,0.8381606936454773
5,0.21260172128677368,1.1990916728973389,14,0.0003,0.9990713000297546,0.1,0.83706134557724
5,0.20895586907863617,1.211334228515625,15,0.0003,0.9989384412765503,0.1,0.8350911140441895
5,0.2047165334224701,1.2220282554626465,16,0.0003,0.9988292455673218,0.1,0.8342728018760681
5,0.20080523192882538,1.2312833070755005,17,0.0003,0.9987440705299377,0.1,0.8346201777458191
5,0.19777387380599976,1.2391401529312134,18,0.0003,0.9986883997917175,0.1,0.835824728012085
5,0.19587191939353943,1.2454673051834106,19,0.0003,0.9986581206321716,0.1,0.835077166557312
5,0.1949576735496521,1.2505067586898804,20,0.0003,0.9986439347267151,0.1,0.835460901260376
5,0.19511401653289795,1.254334807395935,21,0.0003,0.9986429810523987,0.1,0.8375059366226196
5,0.19630500674247742,1.2573511600494385,22,0.0003,0.9986486434936523,0.1,0.8409105539321899
5,0.1983415186405182,1.2598252296447754,23,0.0003,0.998652458190918,0.1,0.8418993353843689
5,0.20099763572216034,1.2616599798202515,24,0.0003,0.9986535310745239,0.1,0.8415675759315491
5,0.20376326143741608,1.263118863105774,25,0.0003,0.9986477494239807,0.1,0.8391526937484741
5,0.20648017525672913,1.2643814086914062,26,0.0003,0.9986311793327332,0.1,0.8366358280181885
5,0.2094111293554306,1.2654601335525513,27,0.0003,0.9986048936843872,0.1,0.8340874314308167
5,0.21229207515716553,1.2663706541061401,28,0.0003,0.9985706806182861,0.1,0.8314172625541687
5,0.21464970707893372,1.2678720951080322,29,0.0003,0.9985265731811523,0.1,0.8286384344100952
5,0.21629516780376434,1.2699735164642334,30,0.0003,0.9984709620475769,0.1,0.8258939385414124
5,0.217143714427948,1.2725721597671509,31,0.0003,0.9984100461006165,0.1,0.8230056166648865
5,0.21723634004592896,1.2758429050445557,32,0.0003,0.9983404874801636,0.1,0.8199686408042908
5,0.21661077439785004,1.2797012329101562,33,0.0003,0.998258113861084,0.1,0.817348301410675
5,0.21515709161758423,1.2841078042984009,34,0.0003,0.9981632828712463,0.1,0.8153921365737915
5,0.21400585770606995,1.2888883352279663,35,0.0003,0.9980601668357849,0.1,0.8140334486961365
5,0.21374517679214478,1.2938928604125977,36,0.0003,0.9979531764984131,0.1,0.8133775591850281
5,0.2140594720840454,1.299013376235962,37,0.0003,0.9978457093238831,0.1,0.81327885389328
5,0.2149563431739807,1.3040571212768555,38,0.0003,0.9977371096611023,0.1,0.8136630654335022
5,0.21662233769893646,1.3092365264892578,39,0.0003,0.99763423204422,0.1,0.8138324022293091
5,0.21876931190490723,1.3147876262664795,40,0.0003,0.9975364804267883,0.1,0.8137415647506714
5,0.22150865197181702,1.3207058906555176,41,0.0003,0.9974437355995178,0.1,0.8116673827171326
5,0.224631667137146,1.3268731832504272,42,0.0003,0.9973578453063965,0.1,0.8091698288917542
5,0.22766584157943726,1.3331985473632812,43,0.0003,0.9972785115242004,0.1,0.8064447641372681
5,0.23034200072288513,1.3395181894302368,44,0.0003,0.9972054958343506,0.1,0.8035091161727905
5,0.23231133818626404,1.345596432685852,45,0.0003,0.9971360564231873,0.1,0.8005287051200867
5,0.23411814868450165,1.351250171661377,46,0.0003,0.997069239616394,0.1,0.79774409532547
5,0.23588813841342926,1.3561393022537231,47,0.0003,0.9970077276229858,0.1,0.7953216433525085
5,0.23764601349830627,1.3603712320327759,48,0.0003,0.9969495534896851,0.1,0.7932685613632202
5,0.23956185579299927,1.363911747932434,49,0.0003,0.9968965649604797,0.1,0.7914516925811768
5,0.24204719066619873,1.3667658567428589,50,0.0003,0.9968512654304504,0.1,0.7895688414573669
5,0.24500542879104614,1.3692495822906494,51,0.0003,0.9968118071556091,0.1,0.7874500751495361
5,0.24804821610450745,1.3713397979736328,52,0.0003,0.9967731237411499,0.1,0.7849400043487549
5,0.25117039680480957,1.3727192878723145,53,0.0003,0.9967373609542847,0.1,0.7821919322013855
5,0.25416654348373413,1.3733723163604736,54,0.0003,0.9967047572135925,0.1,0.7792916893959045
5,0.2567085921764374,1.3733153343200684,55,0.0003,0.9966744780540466,0.1,0.7764180898666382
5,0.25843948125839233,1.3728445768356323,56,0.0003,0.9966437220573425,0.1,0.7734959721565247
