clip_range,num_agents,ratios_mean,num_epochs,ratios_max,approx_TV,ratios_min,learning_rate
0.5,5,1.0,0,1.0,0.0,1.0,0.0005
0.5,5,0.999737560749054,1,1.0277372598648071,0.029670409858226776,0.950853168964386,0.0005
0.5,5,0.999459445476532,2,1.0579973459243774,0.06148349493741989,0.9003984332084656,0.0005
0.5,5,0.9991732239723206,3,1.08989679813385,0.09438592195510864,0.8497734069824219,0.0005
0.5,5,0.9988831877708435,4,1.1230213642120361,0.128068745136261,0.7995239496231079,0.0005
0.5,5,0.9985911250114441,5,1.1571390628814697,0.1626657396554947,0.7499086260795593,0.0005
0.5,5,0.998298168182373,6,1.1921230554580688,0.19788412749767303,0.7012472748756409,0.0005
0.5,5,0.9980049133300781,7,1.2280151844024658,0.2337491363286972,0.6543338894844055,0.0005
0.5,5,0.997710108757019,8,1.2656306028366089,0.27014970779418945,0.6092530488967896,0.0005
0.5,5,0.9974138736724854,9,1.3049479722976685,0.307020366191864,0.5661452412605286,0.0005
0.5,5,0.9971175193786621,10,1.3461469411849976,0.3443559408187866,0.5251230001449585,0.0005
0.5,5,0.9968202710151672,11,1.3889367580413818,0.3822619318962097,0.48618084192276,0.0005
0.5,5,0.9965245723724365,12,1.4332460165023804,0.4205929636955261,0.4499119818210602,0.0005
0.5,5,0.9962441325187683,13,1.477882981300354,0.45793527364730835,0.4194723665714264,0.0005
0.5,5,0.9959798455238342,14,1.5223711729049683,0.4940544664859772,0.3943050801753998,0.0005
0.5,5,0.9957292675971985,15,1.5668567419052124,0.5315666198730469,0.3734992444515228,0.0005
0.5,5,0.9954901337623596,16,1.611276626586914,0.5694543719291687,0.3563503324985504,0.0005
0.5,5,0.9952678680419922,17,1.654138445854187,0.6071636080741882,0.3427017629146576,0.0005
0.5,5,0.9950656294822693,18,1.6949386596679688,0.6441999673843384,0.3314153850078583,0.0005
0.5,5,0.994876503944397,19,1.733627438545227,0.6802935004234314,0.32080772519111633,0.0005
0.5,5,0.9946940541267395,20,1.7834985256195068,0.7152884006500244,0.3119315803050995,0.0005
0.5,5,0.9945134520530701,21,1.8401916027069092,0.7491087913513184,0.30482420325279236,0.0005
0.5,5,0.9943459033966064,22,1.8975545167922974,0.7807859182357788,0.29940471053123474,0.0005
0.5,5,0.994190514087677,23,1.953926682472229,0.8101754784584045,0.2955699563026428,0.0005
0.5,5,0.9940460324287415,24,2.010329484939575,0.8375218510627747,0.29282379150390625,0.0005
0.5,5,0.9939160346984863,25,2.066044807434082,0.8624345064163208,0.2913205325603485,0.0005
0.5,5,0.9938103556632996,26,2.1199615001678467,0.8843368291854858,0.2910855710506439,0.0005
0.5,5,0.993728756904602,27,2.1710376739501953,0.9027591943740845,0.29215601086616516,0.0005
0.5,5,0.9936704635620117,28,2.217519521713257,0.9179075956344604,0.2944103479385376,0.0005
0.5,5,0.9936578869819641,29,2.25685977935791,0.9276675581932068,0.2982129752635956,0.0005
0.5,5,0.9936869740486145,30,2.287348985671997,0.9325876832008362,0.30339789390563965,0.0005
0.5,5,0.9937366843223572,31,2.311281681060791,0.9345228672027588,0.30942481756210327,0.0005
0.5,5,0.9938041567802429,32,2.3272571563720703,0.9345163106918335,0.31603527069091797,0.0005
0.5,5,0.993874728679657,33,2.3365323543548584,0.932845413684845,0.3228565752506256,0.0005
0.5,5,0.9939379096031189,34,2.3402440547943115,0.9298864006996155,0.3296452760696411,0.0005
0.5,5,0.9939882755279541,35,2.3410441875457764,0.9264883995056152,0.33612194657325745,0.0005
0.5,5,0.9940211176872253,36,2.3411705493927,0.9220981597900391,0.3424323797225952,0.0005
0.5,5,0.9940244555473328,37,2.3419570922851562,0.9186884760856628,0.3483147621154785,0.0005
0.5,5,0.993998110294342,38,2.343381643295288,0.915590763092041,0.3536255359649658,0.0005
0.5,5,0.9939467310905457,39,2.346432685852051,0.9127823114395142,0.35835060477256775,0.0005
0.5,5,0.9938600659370422,40,2.3556203842163086,0.911919355392456,0.36185741424560547,0.0005
0.5,5,0.9937388300895691,41,2.370023012161255,0.9129816293716431,0.3638750910758972,0.0005
0.5,5,0.9935914278030396,42,2.3872275352478027,0.9156155586242676,0.36462900042533875,0.0005
0.5,5,0.993424117565155,43,2.4068214893341064,0.9197368621826172,0.3639984726905823,0.0005
0.5,5,0.9932502508163452,44,2.428527355194092,0.9245314598083496,0.362225204706192,0.0005
0.5,5,0.9930867552757263,45,2.446549654006958,0.928486704826355,0.359841912984848,0.0005
0.5,5,0.992928683757782,46,2.4622802734375,0.9322323203086853,0.3569689393043518,0.0005
0.5,5,0.992780864238739,47,2.472646713256836,0.9347927570343018,0.3541457951068878,0.0005
0.5,5,0.9926379919052124,48,2.4787790775299072,0.9365009069442749,0.35173875093460083,0.0005
0.5,5,0.9924919009208679,49,2.481426954269409,0.9371891021728516,0.3498605191707611,0.0005
0.5,5,0.9923169016838074,50,2.4827749729156494,0.9387447834014893,0.3480277955532074,0.0005
0.5,5,0.9921197891235352,51,2.4836654663085938,0.9409606456756592,0.3463095724582672,0.0005
0.5,5,0.9919087886810303,52,2.5111467838287354,0.943543553352356,0.34492307901382446,0.0005
0.5,5,0.9916831851005554,53,2.5472593307495117,0.9459662437438965,0.34396621584892273,0.0005
0.5,5,0.9914613962173462,54,2.583249568939209,0.9468900561332703,0.3437362313270569,0.0005
0.5,5,0.9912349581718445,55,2.619448184967041,0.9468119144439697,0.34393084049224854,0.0005
0.5,5,0.9910112023353577,56,2.6545870304107666,0.9452633261680603,0.3448500633239746,0.0005
