clip_range,num_epochs,ratios_max,approx_TV,num_agents,ratios_mean,ratios_min,learning_rate
0.4,0,1.0,0.0,5,1.0,1.0,0.0005
0.4,1,1.0234917402267456,0.020950261503458023,5,0.9998456835746765,0.9735625982284546,0.0005
0.4,2,1.0499520301818848,0.04376446455717087,5,0.9996874332427979,0.9455384612083435,0.0005
0.4,3,1.078385829925537,0.06743026524782181,5,0.9995302557945251,0.9171689748764038,0.0005
0.4,4,1.108436107635498,0.09166088700294495,5,0.9993768334388733,0.8885734677314758,0.0005
0.4,5,1.140099048614502,0.11625995486974716,5,0.999228835105896,0.8604422807693481,0.0005
0.4,6,1.1735665798187256,0.14098504185676575,5,0.9990910887718201,0.8332483768463135,0.0005
0.4,7,1.2089377641677856,0.16578026115894318,5,0.9989569783210754,0.8068317770957947,0.0005
0.4,8,1.2463423013687134,0.19080744683742523,5,0.9988290071487427,0.7810554504394531,0.0005
0.4,9,1.2860888242721558,0.21621261537075043,5,0.9987093806266785,0.7561593055725098,0.0005
0.4,10,1.328182578086853,0.24196858704090118,5,0.9985982179641724,0.73166823387146,0.0005
0.4,11,1.3729703426361084,0.2680818438529968,5,0.9984961152076721,0.7074291110038757,0.0005
0.4,12,1.4209202527999878,0.2950167655944824,5,0.998400092124939,0.6826953887939453,0.0005
0.4,13,1.4721877574920654,0.3226863145828247,5,0.9983134269714355,0.6583559513092041,0.0005
0.4,14,1.526895523071289,0.3510144054889679,5,0.9982354640960693,0.6344245672225952,0.0005
0.4,15,1.5825790166854858,0.3808261752128601,5,0.9981641173362732,0.6096587777137756,0.0005
0.4,16,1.6384186744689941,0.41068410873413086,5,0.9980975985527039,0.5843560695648193,0.0005
0.4,17,1.69414484500885,0.44037991762161255,5,0.9980524778366089,0.5610305666923523,0.0005
0.4,18,1.7487155199050903,0.4693905711174011,5,0.9980354905128479,0.5401461124420166,0.0005
0.4,19,1.80157470703125,0.49814528226852417,5,0.9980583786964417,0.522789716720581,0.0005
0.4,20,1.8526562452316284,0.5261556506156921,5,0.9981104135513306,0.5084842443466187,0.0005
0.4,21,1.9012501239776611,0.5527493357658386,5,0.9981775283813477,0.4974459111690521,0.0005
0.4,22,1.9470933675765991,0.5779956579208374,5,0.9982500672340393,0.4890533983707428,0.0005
0.4,23,1.9898349046707153,0.6013187170028687,5,0.9983220100402832,0.48284435272216797,0.0005
0.4,24,2.0290348529815674,0.622403621673584,5,0.9983681440353394,0.4785830080509186,0.0005
0.4,25,2.0634799003601074,0.6410137414932251,5,0.9983829855918884,0.47605615854263306,0.0005
0.4,26,2.092958927154541,0.6568652391433716,5,0.9983625411987305,0.47527453303337097,0.0005
0.4,27,2.1174657344818115,0.6695454120635986,5,0.9982917904853821,0.47543174028396606,0.0005
0.4,28,2.1377530097961426,0.6790645122528076,5,0.9981755614280701,0.4687420129776001,0.0005
0.4,29,2.1514012813568115,0.6850711107254028,5,0.9980082511901855,0.4640185534954071,0.0005
0.4,30,2.157736301422119,0.6874366998672485,5,0.9977964162826538,0.46061399579048157,0.0005
0.4,31,2.156797170639038,0.6880460977554321,5,0.9975560903549194,0.4581279456615448,0.0005
0.4,32,2.149721384048462,0.693305492401123,5,0.997292160987854,0.4572918117046356,0.0005
0.4,33,2.1378984451293945,0.6971877813339233,5,0.997017502784729,0.4579027593135834,0.0005
0.4,34,2.1223204135894775,0.6999679803848267,5,0.9967279434204102,0.46003156900405884,0.0005
0.4,35,2.1048693656921387,0.7032782435417175,5,0.9964479804039001,0.4630861282348633,0.0005
0.4,36,2.0860235691070557,0.7144777774810791,5,0.9961820840835571,0.4669380187988281,0.0005
0.4,37,2.067861318588257,0.7290323972702026,5,0.995922863483429,0.47140035033226013,0.0005
0.4,38,2.0512402057647705,0.7429943084716797,5,0.9956663250923157,0.47614073753356934,0.0005
