learning_rate,ratios_min,num_agents,approx_TV,clip_range,ratios_mean,ratios_max,num_epochs
0.0002,1.0,5,0.0,0.4,1.0,1.0,0
0.0002,0.9801626801490784,5,0.011886399239301682,0.4,0.9998945593833923,1.0110868215560913,1
0.0002,0.9590317606925964,5,0.02470928058028221,0.4,0.999782145023346,1.023016095161438,2
0.0002,0.9376417398452759,5,0.03799053281545639,0.4,0.9996663928031921,1.0354727506637573,3
0.0002,0.9161549210548401,5,0.05155276879668236,0.4,0.9995487928390503,1.0483397245407104,4
0.0002,0.8946430087089539,5,0.0653115063905716,0.4,0.9994287490844727,1.061507225036621,5
0.0002,0.8732022047042847,5,0.07924945652484894,0.4,0.9993076920509338,1.0749565362930298,6
0.0002,0.8517725467681885,5,0.0932999849319458,0.4,0.9991862177848816,1.088697075843811,7
0.0002,0.8304784893989563,5,0.10744611918926239,0.4,0.9990641474723816,1.1026543378829956,8
0.0002,0.809334397315979,5,0.12176862359046936,0.4,0.9989413619041443,1.1167939901351929,9
0.0002,0.7882207036018372,5,0.1363079994916916,0.4,0.9988181591033936,1.1311358213424683,10
0.0002,0.7673575282096863,5,0.15095198154449463,0.4,0.998694658279419,1.1456971168518066,11
0.0002,0.7466477155685425,5,0.16570204496383667,0.4,0.9985712170600891,1.1604464054107666,12
0.0002,0.7261276841163635,5,0.1806035041809082,0.4,0.9984474182128906,1.1753815412521362,13
0.0002,0.7059122920036316,5,0.1956237554550171,0.4,0.9983232021331787,1.1905229091644287,14
0.0002,0.686011552810669,5,0.21074536442756653,0.4,0.9981984496116638,1.2058733701705933,15
0.0002,0.6664528846740723,5,0.22599081695079803,0.4,0.9980738759040833,1.2214373350143433,16
0.0002,0.647221028804779,5,0.2413783073425293,0.4,0.9979487061500549,1.237188696861267,17
0.0002,0.6283266544342041,5,0.25685349106788635,0.4,0.9978232979774475,1.2531414031982422,18
0.0002,0.6097797155380249,5,0.27243250608444214,0.4,0.9976971745491028,1.269300103187561,19
0.0002,0.5915880799293518,5,0.28811222314834595,0.4,0.9975702166557312,1.2862926721572876,20
0.0002,0.5740372538566589,5,0.3038395047187805,0.4,0.9974435567855835,1.3035800457000732,21
0.0002,0.5576563477516174,5,0.31943821907043457,0.4,0.9973194599151611,1.3211053609848022,22
0.0002,0.5432392358779907,5,0.3345791697502136,0.4,0.9972008466720581,1.3383678197860718,23
0.0002,0.5308927297592163,5,0.34918931126594543,0.4,0.9970889687538147,1.3551688194274902,24
0.0002,0.5202809572219849,5,0.3633309006690979,0.4,0.9969826340675354,1.3715550899505615,25
0.0002,0.5111324787139893,5,0.37706002593040466,0.4,0.9968819618225098,1.387581706047058,26
0.0002,0.5033584833145142,5,0.39037489891052246,0.4,0.9967862963676453,1.4032211303710938,27
0.0002,0.4967808425426483,5,0.4042646288871765,0.4,0.9966952800750732,1.4185224771499634,28
0.0002,0.4913311004638672,5,0.4185171127319336,0.4,0.9966087937355042,1.4334962368011475,29
0.0002,0.48689934611320496,5,0.4325287640094757,0.4,0.9965267181396484,1.448135256767273,30
0.0002,0.48339882493019104,5,0.4461680054664612,0.4,0.9964507222175598,1.46205735206604,31
0.0002,0.479389488697052,5,0.4596046507358551,0.4,0.9963810443878174,1.475088119506836,32
0.0002,0.4761238992214203,5,0.47279536724090576,0.4,0.996317446231842,1.4872926473617554,33
0.0002,0.4735493063926697,5,0.4856306314468384,0.4,0.9962598085403442,1.4988245964050293,34
0.0002,0.47159719467163086,5,0.49810707569122314,0.4,0.9962052702903748,1.509597897529602,35
0.0002,0.47018933296203613,5,0.510239839553833,0.4,0.9961544275283813,1.5240265130996704,36
0.0002,0.4692673981189728,5,0.5220358967781067,0.4,0.9961055517196655,1.5420773029327393,37
0.0002,0.46873268485069275,5,0.5335532426834106,0.4,0.9960576891899109,1.5604145526885986,38
0.0002,0.4685591459274292,5,0.5447400212287903,0.4,0.9960090517997742,1.5790624618530273,39
0.0002,0.46850764751434326,5,0.5556025505065918,0.4,0.9959611296653748,1.597787857055664,40
0.0002,0.46870431303977966,5,0.5661868453025818,0.4,0.9959137439727783,1.6162364482879639,41
0.0002,0.46912410855293274,5,0.5764914751052856,0.4,0.9958675503730774,1.6345263719558716,42
0.0002,0.46974390745162964,5,0.5865325927734375,0.4,0.9958229660987854,1.6526265144348145,43
0.0002,0.47047874331474304,5,0.5963522791862488,0.4,0.9957793354988098,1.6705538034439087,44
