ratios_max,ratios_min,num_epochs,num_agents,ratios_mean,learning_rate,clip_range,approx_TV
1.0,1.0,0,5,0.9999999403953552,0.0002,0.3,0.0
1.0109848976135254,0.989932119846344,1,5,0.9999990463256836,0.0002,0.3,0.015252850949764252
1.0229445695877075,0.9790644645690918,2,5,0.9999980330467224,0.0002,0.3,0.03175456076860428
1.035436987876892,0.9678565263748169,3,5,0.9999966621398926,0.0002,0.3,0.048877015709877014
1.048302173614502,0.9565114378929138,4,5,0.9999950528144836,0.0002,0.3,0.0663776770234108
1.0614285469055176,0.945136308670044,5,5,0.9999935626983643,0.0002,0.3,0.08413934707641602
1.0747658014297485,0.9337940812110901,6,5,0.9999924898147583,0.0002,0.3,0.10207195580005646
1.0882840156555176,0.9225241541862488,7,5,0.9999911189079285,0.0002,0.3,0.12012571096420288
1.1019816398620605,0.9113444089889526,8,5,0.9999892115592957,0.0002,0.3,0.1382732391357422
1.1158124208450317,0.9002791047096252,9,5,0.9999868273735046,0.0002,0.3,0.15647223591804504
1.1297824382781982,0.8893598914146423,10,5,0.999984622001648,0.0002,0.3,0.17470180988311768
1.1446154117584229,0.8786419630050659,11,5,0.9999824166297913,0.0002,0.3,0.19293570518493652
1.1601192951202393,0.8681049942970276,12,5,0.9999807476997375,0.0002,0.3,0.2111382782459259
1.1760401725769043,0.8576139807701111,13,5,0.9999796152114868,0.0002,0.3,0.2293325960636139
1.1923695802688599,0.8465357422828674,14,5,0.9999788999557495,0.0002,0.3,0.24753862619400024
1.2091349363327026,0.8354364037513733,15,5,0.9999779462814331,0.0002,0.3,0.2656978964805603
1.226318359375,0.8243700265884399,16,5,0.9999771118164062,0.0002,0.3,0.28379544615745544
1.2439463138580322,0.813332736492157,17,5,0.9999760985374451,0.0002,0.3,0.3018656373023987
1.2620471715927124,0.8023253679275513,18,5,0.9999747276306152,0.0002,0.3,0.31991153955459595
1.280651330947876,0.7913548946380615,19,5,0.9999731779098511,0.0002,0.3,0.3379341959953308
1.29978346824646,0.780397355556488,20,5,0.9999715089797974,0.0002,0.3,0.35592120885849
1.319456934928894,0.7694537043571472,21,5,0.9999703764915466,0.0002,0.3,0.37387585639953613
1.3373875617980957,0.7587995529174805,22,5,0.9999688267707825,0.0002,0.3,0.3918168544769287
1.3535648584365845,0.7484898567199707,23,5,0.999966561794281,0.0002,0.3,0.40969985723495483
1.3676183223724365,0.7386054396629333,24,5,0.9999606609344482,0.0002,0.3,0.42745810747146606
1.3788291215896606,0.7292837500572205,25,5,0.9999502897262573,0.0002,0.3,0.4450569152832031
1.3879445791244507,0.7205117344856262,26,5,0.9999356865882874,0.0002,0.3,0.46250781416893005
1.404464840888977,0.7122098803520203,27,5,0.9999154210090637,0.0002,0.3,0.4797475337982178
1.418178677558899,0.7043811082839966,28,5,0.9998769760131836,0.0002,0.3,0.4961601793766022
1.4288759231567383,0.6969705820083618,29,5,0.9998199343681335,0.0002,0.3,0.5116662979125977
1.4367226362228394,0.6899290680885315,30,5,0.9997442960739136,0.0002,0.3,0.5262833833694458
1.4415591955184937,0.6832020878791809,31,5,0.9996510744094849,0.0002,0.3,0.5399672985076904
1.4437931776046753,0.6768050193786621,32,5,0.9995425939559937,0.0002,0.3,0.5527517199516296
1.4555103778839111,0.670781672000885,33,5,0.9994198679924011,0.0002,0.3,0.564620852470398
1.4697266817092896,0.6650278568267822,34,5,0.999284029006958,0.0002,0.3,0.575650691986084
1.4908182621002197,0.6595538854598999,35,5,0.9991368651390076,0.0002,0.3,0.5860220193862915
1.5123907327651978,0.6543798446655273,36,5,0.9989792704582214,0.0002,0.3,0.595842719078064
1.5343149900436401,0.6495263576507568,37,5,0.9988160729408264,0.0002,0.3,0.6051456332206726
1.5565505027770996,0.6450510621070862,38,5,0.9986502528190613,0.0002,0.3,0.6137911677360535
1.5789926052093506,0.6411303877830505,39,5,0.9984846115112305,0.0002,0.3,0.6216824650764465
1.6015293598175049,0.6375930309295654,40,5,0.9983224272727966,0.0002,0.3,0.6289795637130737
1.6238040924072266,0.6345062851905823,41,5,0.9981685280799866,0.0002,0.3,0.6356866955757141
1.6453496217727661,0.631869375705719,42,5,0.9980251789093018,0.0002,0.3,0.6417814493179321
1.6658294200897217,0.6296169757843018,43,5,0.997895359992981,0.0002,0.3,0.6472017765045166
1.685101866722107,0.6244920492172241,44,5,0.9977794885635376,0.0002,0.3,0.6519901752471924
1.702939748764038,0.6176146268844604,45,5,0.9976745247840881,0.0002,0.3,0.6561596393585205
1.719124436378479,0.6113830208778381,46,5,0.9975811243057251,0.0002,0.3,0.6597737073898315
1.7336174249649048,0.605695903301239,47,5,0.9974984526634216,0.0002,0.3,0.6629959344863892
1.746488094329834,0.6005128622055054,48,5,0.9974213242530823,0.0002,0.3,0.6657522916793823
1.7579294443130493,0.5958134531974792,49,5,0.9973493814468384,0.0002,0.3,0.6680213212966919
1.7680575847625732,0.5917907953262329,50,5,0.9972824454307556,0.0002,0.3,0.6697865128517151
1.777174949645996,0.5883349776268005,51,5,0.997218906879425,0.0002,0.3,0.6713058948516846
1.7854883670806885,0.5854699611663818,52,5,0.9971601963043213,0.0002,0.3,0.6726285219192505
1.7933013439178467,0.5830561518669128,53,5,0.9971030354499817,0.0002,0.3,0.6738704442977905
1.8007906675338745,0.5809746980667114,54,5,0.9970452189445496,0.0002,0.3,0.6750916242599487
1.808158278465271,0.5791458487510681,55,5,0.9969851970672607,0.0002,0.3,0.6764039397239685
1.815451979637146,0.5775927901268005,56,5,0.9969224333763123,0.0002,0.3,0.6777163743972778
