ratios_min,clip_range,num_epochs,num_agents,approx_TV,learning_rate,ratios_max,ratios_mean
1.0,0.1,0,5,0.0,0.0003,1.0,1.0
0.9822269082069397,0.1,1,5,0.01435379683971405,0.0003,1.0197575092315674,0.9997312426567078
0.9628294110298157,0.1,2,5,0.030061189085245132,0.0003,1.0416220426559448,0.9994368553161621
0.9427134990692139,0.1,3,5,0.04652318358421326,0.0003,1.0648356676101685,0.9991282820701599
0.9222656488418579,0.1,4,5,0.06351469457149506,0.0003,1.08920156955719,0.9988096952438354
0.9017505049705505,0.1,5,5,0.08096416294574738,0.0003,1.1145046949386597,0.9984821081161499
0.8812116384506226,0.1,6,5,0.0988130122423172,0.0003,1.1407508850097656,0.9981469511985779
0.8641921877861023,0.1,7,5,0.11603843420743942,0.0003,1.1674880981445312,0.9978285431861877
0.8509812951087952,0.1,8,5,0.13145120441913605,0.0003,1.193047046661377,0.9975531697273254
0.8404390811920166,0.1,9,5,0.14404377341270447,0.0003,1.2155007123947144,0.9973370432853699
0.8334699869155884,0.1,10,5,0.15374059975147247,0.0003,1.2346388101577759,0.9971758723258972
0.8297898173332214,0.1,11,5,0.1600780189037323,0.0003,1.249822735786438,0.9970723390579224
0.8293059468269348,0.1,12,5,0.16346508264541626,0.0003,1.2618696689605713,0.9970122575759888
0.8315510153770447,0.1,13,5,0.1645878702402115,0.0003,1.2711248397827148,0.9969872832298279
0.830659806728363,0.1,14,5,0.16604158282279968,0.0003,1.2777360677719116,0.9969941973686218
0.824216365814209,0.1,15,5,0.16621221601963043,0.0003,1.2823678255081177,0.9970222115516663
0.8196812868118286,0.1,16,5,0.165732279419899,0.0003,1.2854472398757935,0.9970602989196777
0.8173094391822815,0.1,17,5,0.16427597403526306,0.0003,1.2874304056167603,0.9971014261245728
0.8176391124725342,0.1,18,5,0.16262178122997284,0.0003,1.2890733480453491,0.9971379637718201
0.8207148313522339,0.1,19,5,0.16081702709197998,0.0003,1.2911567687988281,0.9971628785133362
0.8262283205986023,0.1,20,5,0.1610824465751648,0.0003,1.293917179107666,0.9971789717674255
0.8335494995117188,0.1,21,5,0.1631101667881012,0.0003,1.297622561454773,0.9971876740455627
0.8385546803474426,0.1,22,5,0.16488292813301086,0.0003,1.302201271057129,0.9971907734870911
0.840404212474823,0.1,23,5,0.16658923029899597,0.0003,1.3077763319015503,0.997189998626709
0.8421213626861572,0.1,24,5,0.16836237907409668,0.0003,1.3142887353897095,0.9971874952316284
0.8420693874359131,0.1,25,5,0.17015868425369263,0.0003,1.3212031126022339,0.9971917867660522
0.8370883464813232,0.1,26,5,0.1718803346157074,0.0003,1.3285071849822998,0.997200608253479
0.8329550623893738,0.1,27,5,0.17353352904319763,0.0003,1.3360600471496582,0.9972075819969177
0.8299358487129211,0.1,28,5,0.17525002360343933,0.0003,1.3438090085983276,0.9972143173217773
0.8279926776885986,0.1,29,5,0.17697513103485107,0.0003,1.351456642150879,0.9972164034843445
0.8266531229019165,0.1,30,5,0.17862725257873535,0.0003,1.359119176864624,0.9972071647644043
0.8258320689201355,0.1,31,5,0.18023549020290375,0.0003,1.3664956092834473,0.9971886873245239
0.8256251215934753,0.1,32,5,0.1815534234046936,0.0003,1.3735463619232178,0.9971569776535034
0.8258318901062012,0.1,33,5,0.18429520726203918,0.0003,1.3800601959228516,0.9971121549606323
0.8255235552787781,0.1,34,5,0.18733727931976318,0.0003,1.3861236572265625,0.9970592856407166
