learning_rate,num_epochs,approx_TV,ratios_max,ratios_min,ratios_mean,num_agents,clip_range
0.0002,0,0.0,1.0,1.0,1.0,5,0.4
0.0002,1,0.008396096527576447,1.0093419551849365,0.989391028881073,0.999937891960144,5,0.4
0.0002,2,0.017560042440891266,1.0196796655654907,0.9779340028762817,0.999871551990509,5,0.4
0.0002,3,0.02713916078209877,1.0306295156478882,0.9661267995834351,0.9998043179512024,5,0.4
0.0002,4,0.03697272762656212,1.0420347452163696,0.9541763067245483,0.999737024307251,5,0.4
0.0002,5,0.046978484839200974,1.0538278818130493,0.942170262336731,0.9996703863143921,5,0.4
0.0002,6,0.05710072070360184,1.0659586191177368,0.9301674365997314,0.9996041655540466,5,0.4
0.0002,7,0.0673045963048935,1.0783761739730835,0.9180949330329895,0.9995380640029907,5,0.4
0.0002,8,0.07759455591440201,1.0910998582839966,0.9059301018714905,0.9994732737541199,5,0.4
0.0002,9,0.08796674013137817,1.1041219234466553,0.8939512372016907,0.9994094371795654,5,0.4
0.0002,10,0.09839844703674316,1.1174254417419434,0.8820512294769287,0.9993466138839722,5,0.4
0.0002,11,0.10887903720140457,1.1310603618621826,0.870265781879425,0.9992851614952087,5,0.4
0.0002,12,0.1193937137722969,1.145038366317749,0.8585983514785767,0.9992263317108154,5,0.4
0.0002,13,0.1298510581254959,1.1593835353851318,0.8471338748931885,0.9991693496704102,5,0.4
0.0002,14,0.14031857252120972,1.1740894317626953,0.8359742760658264,0.9991135001182556,5,0.4
0.0002,15,0.1508183777332306,1.1891826391220093,0.8249399662017822,0.9990582466125488,5,0.4
0.0002,16,0.1613609492778778,1.2047009468078613,0.8140308260917664,0.9990041255950928,5,0.4
0.0002,17,0.17194557189941406,1.2206449508666992,0.8032537698745728,0.9989510178565979,5,0.4
0.0002,18,0.18257877230644226,1.2370158433914185,0.792610228061676,0.9988992810249329,5,0.4
0.0002,19,0.19325551390647888,1.253836750984192,0.782105565071106,0.9988495111465454,5,0.4
0.0002,20,0.20402368903160095,1.2712715864181519,0.7718281745910645,0.9988023042678833,5,0.4
0.0002,21,0.2148858904838562,1.2891381978988647,0.7617127895355225,0.9987559914588928,5,0.4
0.0002,22,0.22581148147583008,1.307483434677124,0.7511042356491089,0.9987110495567322,5,0.4
0.0002,23,0.23681598901748657,1.3263981342315674,0.7402803897857666,0.9986684322357178,5,0.4
0.0002,24,0.24789175391197205,1.345908761024475,0.7295317053794861,0.9986276030540466,5,0.4
0.0002,25,0.25920799374580383,1.3660880327224731,0.7188445925712585,0.9985893964767456,5,0.4
0.0002,26,0.27079063653945923,1.3869930505752563,0.7082324624061584,0.9985531568527222,5,0.4
0.0002,27,0.2825067639350891,1.408692717552185,0.6976692080497742,0.9985179305076599,5,0.4
0.0002,28,0.29435598850250244,1.4311269521713257,0.6871437430381775,0.9984833002090454,5,0.4
0.0002,29,0.3063419759273529,1.45433509349823,0.6767486929893494,0.998450517654419,5,0.4
0.0002,30,0.3187877833843231,1.4783345460891724,0.6664354205131531,0.9984195828437805,5,0.4
0.0002,31,0.33161628246307373,1.5025538206100464,0.6562021374702454,0.998389482498169,5,0.4
0.0002,32,0.34445083141326904,1.5269362926483154,0.6459392309188843,0.998360276222229,5,0.4
0.0002,33,0.35726290941238403,1.5511846542358398,0.6347625851631165,0.9983328580856323,5,0.4
0.0002,34,0.3699651062488556,1.5748851299285889,0.6236351728439331,0.9983057379722595,5,0.4
0.0002,35,0.3825850486755371,1.5981587171554565,0.6124600172042847,0.9982795119285583,5,0.4
