ratios_max,num_agents,ratios_min,learning_rate,num_epochs,ratios_mean,clip_range,approx_TV
1.0,5,1.0,0.0001,0,1.0,0.3,0.0
1.0084338188171387,5,0.9916337728500366,0.0001,1,0.9998273849487305,0.3,0.005901306867599487
1.0175840854644775,5,0.9826890826225281,0.0001,2,0.9996412992477417,0.3,0.012287527322769165
1.0271492004394531,5,0.9734607338905334,0.0001,3,0.9994480609893799,0.3,0.018932830542325974
1.037020206451416,5,0.9640535116195679,0.0001,4,0.9992503523826599,0.3,0.025751907378435135
1.0471454858779907,5,0.9545493125915527,0.0001,5,0.9990495443344116,0.3,0.03269568085670471
1.057497262954712,5,0.9449821710586548,0.0001,6,0.9988461136817932,0.3,0.039735373109579086
1.0680549144744873,5,0.93537437915802,0.0001,7,0.998640239238739,0.3,0.0468524768948555
1.0787978172302246,5,0.9257498383522034,0.0001,8,0.9984322786331177,0.3,0.05403263121843338
1.089725375175476,5,0.9161120653152466,0.0001,9,0.9982227683067322,0.3,0.06126682087779045
1.1008305549621582,5,0.9064713716506958,0.0001,10,0.9980120658874512,0.3,0.06854978948831558
1.112108588218689,5,0.8968364596366882,0.0001,11,0.9977999329566956,0.3,0.07587622851133347
1.1235556602478027,5,0.8872202038764954,0.0001,12,0.9975864887237549,0.3,0.08324321359395981
1.135169267654419,5,0.8776306509971619,0.0001,13,0.9973720908164978,0.3,0.09064819663763046
1.146948218345642,5,0.8680652976036072,0.0001,14,0.99715656042099,0.3,0.09808856248855591
1.1588959693908691,5,0.8585233092308044,0.0001,15,0.996940553188324,0.3,0.10556328296661377
1.1710174083709717,5,0.8490055203437805,0.0001,16,0.9967232942581177,0.3,0.11309163272380829
1.1833720207214355,5,0.8395084142684937,0.0001,17,0.9965049624443054,0.3,0.12065635621547699
1.1959428787231445,5,0.8300333023071289,0.0001,18,0.9962854385375977,0.3,0.12825560569763184
1.2087138891220093,5,0.820568323135376,0.0001,19,0.9960651397705078,0.3,0.1358899623155594
1.221686840057373,5,0.8111279010772705,0.0001,20,0.9958440065383911,0.3,0.14355917274951935
1.2348430156707764,5,0.801713228225708,0.0001,21,0.9956220984458923,0.3,0.15126460790634155
1.2481327056884766,5,0.7923251390457153,0.0001,22,0.9953989386558533,0.3,0.15900805592536926
1.2616212368011475,5,0.7829674482345581,0.0001,23,0.9951750040054321,0.3,0.16678977012634277
1.2753231525421143,5,0.7736430168151855,0.0001,24,0.9949498772621155,0.3,0.17460954189300537
1.2892379760742188,5,0.7643504738807678,0.0001,25,0.9947237372398376,0.3,0.18246862292289734
1.3033729791641235,5,0.7550897002220154,0.0001,26,0.9944966435432434,0.3,0.19036757946014404
1.3177379369735718,5,0.7458586692810059,0.0001,27,0.9942684769630432,0.3,0.1983090192079544
1.332338809967041,5,0.7366578578948975,0.0001,28,0.9940391778945923,0.3,0.2062920182943344
1.3471823930740356,5,0.7274846434593201,0.0001,29,0.9938084483146667,0.3,0.21431748569011688
1.3622782230377197,5,0.7183374166488647,0.0001,30,0.9935762286186218,0.3,0.22238697111606598
1.3776326179504395,5,0.7092156410217285,0.0001,31,0.9933427572250366,0.3,0.23050066828727722
1.393254041671753,5,0.7001169323921204,0.0001,32,0.9931078553199768,0.3,0.23866067826747894
1.4091413021087646,5,0.6910387277603149,0.0001,33,0.992871880531311,0.3,0.246866375207901
1.425248146057129,5,0.6821302771568298,0.0001,34,0.9926347732543945,0.3,0.25510913133621216
1.4415881633758545,5,0.673370361328125,0.0001,35,0.9923964142799377,0.3,0.26339200139045715
1.4579355716705322,5,0.6652023196220398,0.0001,36,0.992159366607666,0.3,0.2716287076473236
1.474239468574524,5,0.6576078534126282,0.0001,37,0.9919241666793823,0.3,0.27979668974876404
1.4904005527496338,5,0.650645911693573,0.0001,38,0.991691529750824,0.3,0.28788530826568604
1.5062977075576782,5,0.6443343758583069,0.0001,39,0.9914630651473999,0.3,0.29593515396118164
1.5219905376434326,5,0.6385915279388428,0.0001,40,0.9912378787994385,0.3,0.3039110004901886
1.5373097658157349,5,0.6334458589553833,0.0001,41,0.9910186529159546,0.3,0.31172218918800354
1.5522938966751099,5,0.6288551092147827,0.0001,42,0.9908050298690796,0.3,0.31937485933303833
1.5669487714767456,5,0.6247691512107849,0.0001,43,0.9905979037284851,0.3,0.32685816287994385
1.5812766551971436,5,0.6211158037185669,0.0001,44,0.9903977513313293,0.3,0.33416756987571716
1.5952625274658203,5,0.6179161071777344,0.0001,45,0.9902055859565735,0.3,0.34128326177597046
1.6089421510696411,5,0.6151083707809448,0.0001,46,0.9900206327438354,0.3,0.3482208549976349
1.6223376989364624,5,0.6126387119293213,0.0001,47,0.9898430705070496,0.3,0.35499268770217896
1.635401964187622,5,0.6105058193206787,0.0001,48,0.9896726608276367,0.3,0.3617597818374634
1.6481449604034424,5,0.6086754202842712,0.0001,49,0.9895097613334656,0.3,0.368432879447937
1.6605923175811768,5,0.6071522831916809,0.0001,50,0.9893553853034973,0.3,0.37492164969444275
1.6727982759475708,5,0.6058921813964844,0.0001,51,0.9892087578773499,0.3,0.38124990463256836
1.6847805976867676,5,0.6048544645309448,0.0001,52,0.9890689253807068,0.3,0.38742876052856445
1.696560025215149,5,0.6040113568305969,0.0001,53,0.9889358282089233,0.3,0.39347484707832336
1.7081518173217773,5,0.6029350757598877,0.0001,54,0.9888089299201965,0.3,0.3993864059448242
1.7195560932159424,5,0.6021226048469543,0.0001,55,0.9886882901191711,0.3,0.4051552712917328
1.7307618856430054,5,0.6015814542770386,0.0001,56,0.9885728359222412,0.3,0.4107818901538849
