ratios_max,num_agents,clip_range,ratios_min,ratios_mean,num_epochs,approx_TV,learning_rate
1.0,5,0.5,1.0,1.0,0,0.0,0.0003
1.0197575092315674,5,0.5,0.9822269082069397,0.9997312426567078,1,0.01435379683971405,0.0003
1.0416220426559448,5,0.5,0.9628294110298157,0.9994368553161621,2,0.030061189085245132,0.0003
1.0648356676101685,5,0.5,0.9427134990692139,0.9991282820701599,3,0.04652318358421326,0.0003
1.08920156955719,5,0.5,0.9222656488418579,0.9988096952438354,4,0.06351469457149506,0.0003
1.1145046949386597,5,0.5,0.9017505049705505,0.9984821081161499,5,0.08096416294574738,0.0003
1.1407508850097656,5,0.5,0.8812116384506226,0.9981469511985779,6,0.0988130122423172,0.0003
1.1679744720458984,5,0.5,0.8607230186462402,0.9978053569793701,7,0.11700992286205292,0.0003
1.196399450302124,5,0.5,0.8403691649436951,0.997458815574646,8,0.1355437934398651,0.0003
1.2258594036102295,5,0.5,0.8202046751976013,0.9971067309379578,9,0.15439936518669128,0.0003
1.2562382221221924,5,0.5,0.8001788854598999,0.996747612953186,10,0.17360612750053406,0.0003
1.287471890449524,5,0.5,0.7802788615226746,0.9963834285736084,11,0.19322893023490906,0.0003
1.3197578191757202,5,0.5,0.7593909502029419,0.9960142970085144,12,0.2132379412651062,0.0003
1.3531490564346313,5,0.5,0.7385075688362122,0.9956405162811279,13,0.23363922536373138,0.0003
1.387647032737732,5,0.5,0.7176351547241211,0.9952616691589355,14,0.2544322907924652,0.0003
1.4233102798461914,5,0.5,0.6967883706092834,0.9948786497116089,15,0.27563732862472534,0.0003
1.4603277444839478,5,0.5,0.6759757995605469,0.9944904446601868,16,0.29728323221206665,0.0003
1.4988521337509155,5,0.5,0.6552185416221619,0.9940959811210632,17,0.3193768858909607,0.0003
1.538794755935669,5,0.5,0.6345216631889343,0.9936975836753845,18,0.3419261872768402,0.0003
1.580288290977478,5,0.5,0.6139074563980103,0.9932947158813477,19,0.3649604916572571,0.0003
1.6233553886413574,5,0.5,0.5933878421783447,0.9928852915763855,20,0.3885152339935303,0.0003
1.6680536270141602,5,0.5,0.5729496479034424,0.9924694895744324,21,0.4125886559486389,0.0003
1.7144572734832764,5,0.5,0.5526555776596069,0.9920485019683838,22,0.43765509128570557,0.0003
1.7625900506973267,5,0.5,0.5325213670730591,0.99162358045578,23,0.4635283350944519,0.0003
1.8123877048492432,5,0.5,0.5125697255134583,0.9911961555480957,24,0.4900023341178894,0.0003
1.8638250827789307,5,0.5,0.4928469955921173,0.9907673001289368,25,0.5169087648391724,0.0003
1.9159950017929077,5,0.5,0.47367507219314575,0.990339457988739,26,0.5438537001609802,0.0003
1.968125581741333,5,0.5,0.45507296919822693,0.9899131059646606,27,0.570351779460907,0.0003
2.0197269916534424,5,0.5,0.4371834695339203,0.9894921779632568,28,0.5962242484092712,0.0003
2.0702567100524902,5,0.5,0.4201764762401581,0.989081084728241,29,0.6213127970695496,0.0003
2.119459629058838,5,0.5,0.4044559597969055,0.9886859059333801,30,0.645146369934082,0.0003
2.1662585735321045,5,0.5,0.39014455676078796,0.9883139729499817,31,0.6671184301376343,0.0003
2.210972785949707,5,0.5,0.37721118330955505,0.9879719018936157,32,0.6871683597564697,0.0003
2.2528769969940186,5,0.5,0.3656545877456665,0.9876556992530823,33,0.7052510380744934,0.0003
2.291830062866211,5,0.5,0.35541069507598877,0.9873687028884888,34,0.7213360071182251,0.0003
2.3297040462493896,5,0.5,0.34657323360443115,0.9871105551719666,35,0.7351480722427368,0.0003
2.3652493953704834,5,0.5,0.3390398323535919,0.9868790507316589,36,0.7467336654663086,0.0003
2.398348808288574,5,0.5,0.33274543285369873,0.9866692423820496,37,0.7559692859649658,0.0003
2.4286019802093506,5,0.5,0.32767385244369507,0.9864845871925354,38,0.7626760601997375,0.0003
2.45566987991333,5,0.5,0.32389795780181885,0.9863259196281433,39,0.7666205167770386,0.0003
2.47987961769104,5,0.5,0.32126811146736145,0.9861903190612793,40,0.7678520083427429,0.0003
2.5019168853759766,5,0.5,0.31964054703712463,0.9860770106315613,41,0.7677725553512573,0.0003
2.5232326984405518,5,0.5,0.3187982439994812,0.9859821200370789,42,0.7662140130996704,0.0003
2.543921709060669,5,0.5,0.31868547201156616,0.9859057068824768,43,0.7629483342170715,0.0003
2.5640223026275635,5,0.5,0.31923818588256836,0.9858464598655701,44,0.7581450939178467,0.0003
2.5839576721191406,5,0.5,0.32035213708877563,0.985801637172699,45,0.7524393796920776,0.0003
2.603630304336548,5,0.5,0.32202979922294617,0.9857699871063232,46,0.7465933561325073,0.0003
2.6234374046325684,5,0.5,0.3241555094718933,0.9857465624809265,47,0.7398027181625366,0.0003
2.6436123847961426,5,0.5,0.3265954852104187,0.9857288002967834,48,0.7323154807090759,0.0003
2.6650705337524414,5,0.5,0.32912710309028625,0.9857092499732971,49,0.7261471152305603,0.0003
2.688265085220337,5,0.5,0.3317292034626007,0.9856852293014526,50,0.7265130281448364,0.0003
2.712831735610962,5,0.5,0.3343656659126282,0.9856563210487366,51,0.7266513109207153,0.0003
2.738792896270752,5,0.5,0.3369380831718445,0.9856243133544922,52,0.7268707752227783,0.0003
2.766085147857666,5,0.5,0.33935546875,0.9855865836143494,53,0.7271679639816284,0.0003
2.795180559158325,5,0.5,0.3415715992450714,0.9855424761772156,54,0.7275879979133606,0.0003
2.8250796794891357,5,0.5,0.3435613214969635,0.9854937195777893,55,0.7284972667694092,0.0003
2.855677604675293,5,0.5,0.34517163038253784,0.9854395985603333,56,0.7294641137123108,0.0003
