ratios_mean,clip_range,ratios_max,learning_rate,approx_TV,num_epochs,num_agents,ratios_min
1.0,0.3,1.0,0.0003,0.0,0,5,1.0
0.9994814991950989,0.3,1.02543044090271,0.0003,0.017706505954265594,1,5,0.9750137329101562
0.9989233016967773,0.3,1.0534002780914307,0.0003,0.036887723952531815,2,5,0.9485069513320923
0.9983430504798889,0.3,1.0831059217453003,0.0003,0.0568351224064827,3,5,0.9214798808097839
0.997748613357544,0.3,1.1142418384552002,0.0003,0.07728581130504608,4,5,0.8942921161651611
0.997143566608429,0.3,1.1466573476791382,0.0003,0.09812188148498535,5,5,0.8671870231628418
0.9965311884880066,0.3,1.1804150342941284,0.0003,0.1193024069070816,6,5,0.8402372002601624
0.9959108233451843,0.3,1.2157076597213745,0.0003,0.140787735581398,7,5,0.8134562969207764
0.9952844977378845,0.3,1.2522351741790771,0.0003,0.16254739463329315,8,5,0.7868912816047668
0.9946510195732117,0.3,1.2901015281677246,0.0003,0.18457476794719696,9,5,0.7606218457221985
0.994010329246521,0.3,1.3294317722320557,0.0003,0.20686432719230652,10,5,0.734664797782898
0.9933632016181946,0.3,1.370291829109192,0.0003,0.22941499948501587,11,5,0.7090340256690979
0.9927089810371399,0.3,1.412755012512207,0.0003,0.2522299289703369,12,5,0.6837286949157715
0.9920487999916077,0.3,1.4567275047302246,0.0003,0.2752489149570465,13,5,0.6592196226119995
0.9913956522941589,0.3,1.5010294914245605,0.0003,0.29810866713523865,14,5,0.6372388005256653
0.9907598495483398,0.3,1.5447964668273926,0.0003,0.32039618492126465,15,5,0.6181797385215759
0.9901477098464966,0.3,1.5878932476043701,0.0003,0.3422420024871826,16,5,0.6016528606414795
0.9895644187927246,0.3,1.6301385164260864,0.0003,0.3634188771247864,17,5,0.5874419808387756
0.9890151023864746,0.3,1.671431064605713,0.0003,0.3837969899177551,18,5,0.5752408504486084
0.9885033965110779,0.3,1.71156907081604,0.0003,0.40327438712120056,19,5,0.5647873878479004
0.9880340099334717,0.3,1.7502844333648682,0.0003,0.42194387316703796,20,5,0.5561895370483398
0.9876057505607605,0.3,1.7874819040298462,0.0003,0.43996161222457886,21,5,0.5493705868721008
0.9872166514396667,0.3,1.8230955600738525,0.0003,0.45697152614593506,22,5,0.544134795665741
0.9868704676628113,0.3,1.8566385507583618,0.0003,0.47246772050857544,23,5,0.5406703948974609
0.9865689873695374,0.3,1.8875102996826172,0.0003,0.48606425523757935,24,5,0.5390670299530029
0.9863104224205017,0.3,1.9159125089645386,0.0003,0.4978530704975128,25,5,0.5390157699584961
0.9860923886299133,0.3,1.94212007522583,0.0003,0.5077763795852661,26,5,0.5403584837913513
0.9859132766723633,0.3,1.9661773443222046,0.0003,0.5158463716506958,27,5,0.5431448221206665
0.9857661128044128,0.3,1.9884449243545532,0.0003,0.5221688747406006,28,5,0.5470868945121765
0.9856435060501099,0.3,2.0092294216156006,0.0003,0.5269451141357422,29,5,0.5519060492515564
0.9855412840843201,0.3,2.0283994674682617,0.0003,0.5299839973449707,30,5,0.5574567914009094
0.9854572415351868,0.3,2.0445902347564697,0.0003,0.5309496521949768,31,5,0.5637519359588623
0.9853863716125488,0.3,2.057915687561035,0.0003,0.5301551818847656,32,5,0.5662943720817566
0.9853258728981018,0.3,2.068519353866577,0.0003,0.5278229713439941,33,5,0.567332923412323
0.9852660894393921,0.3,2.0770795345306396,0.0003,0.5244912505149841,34,5,0.5687434673309326
0.985200047492981,0.3,2.083686113357544,0.0003,0.5206236839294434,35,5,0.5704895257949829
0.985124409198761,0.3,2.0888419151306152,0.0003,0.5177270174026489,36,5,0.572283923625946
0.9850345849990845,0.3,2.092607021331787,0.0003,0.5147496461868286,37,5,0.5740432143211365
0.9849344491958618,0.3,2.0946483612060547,0.0003,0.5116958618164062,38,5,0.5757496953010559
0.9848267436027527,0.3,2.09464168548584,0.0003,0.5084416270256042,39,5,0.577456533908844
0.9847139120101929,0.3,2.092494487762451,0.0003,0.5058823823928833,40,5,0.5765573382377625
0.9845973253250122,0.3,2.0883283615112305,0.0003,0.5034288167953491,41,5,0.569545328617096
0.98447585105896,0.3,2.082505941390991,0.0003,0.5007169246673584,42,5,0.5634543299674988
0.9843462109565735,0.3,2.0762946605682373,0.0003,0.4979042410850525,43,5,0.5581151843070984
0.9842112064361572,0.3,2.07338809967041,0.0003,0.4951435327529907,44,5,0.5537551045417786
0.9840708374977112,0.3,2.0827460289001465,0.0003,0.49267578125,45,5,0.5505096316337585
0.9839239120483398,0.3,2.0991194248199463,0.0003,0.4931524991989136,46,5,0.5482136607170105
0.9837677478790283,0.3,2.1163136959075928,0.0003,0.4961320161819458,47,5,0.5467779636383057
0.9836016297340393,0.3,2.1344504356384277,0.0003,0.4996870160102844,48,5,0.5460262894630432
0.9834304451942444,0.3,2.153352737426758,0.0003,0.5046207904815674,49,5,0.545846700668335
0.9832533597946167,0.3,2.1731626987457275,0.0003,0.5099136829376221,50,5,0.546155571937561
0.9830726385116577,0.3,2.19380259513855,0.0003,0.5154616832733154,51,5,0.5468153953552246
0.9828894734382629,0.3,2.2151968479156494,0.0003,0.5212903022766113,52,5,0.5477297902107239
0.9827115535736084,0.3,2.236544132232666,0.0003,0.5273033380508423,53,5,0.5461252331733704
0.9825393557548523,0.3,2.2575557231903076,0.0003,0.5353903770446777,54,5,0.5378872752189636
0.9823749661445618,0.3,2.2777984142303467,0.0003,0.5438353419303894,55,5,0.5294231176376343
0.9822179675102234,0.3,2.297328233718872,0.0003,0.5522425174713135,56,5,0.5209982991218567
