clip_range,ratios_mean,approx_TV,learning_rate,ratios_min,num_epochs,ratios_max,num_agents
0.5,1.0,0.0,0.0003,1.0,0,1.0,5
0.5,0.9999824166297913,0.009829044342041016,0.0003,0.986152172088623,1,1.0160633325576782,5
0.5,0.9999630451202393,0.020677559077739716,0.0003,0.9708693027496338,2,1.0339256525039673,5
0.5,0.9999423027038574,0.03219638019800186,0.0003,0.9547573328018188,3,1.052910566329956,5
0.5,0.9999216794967651,0.044008053839206696,0.0003,0.9381985664367676,4,1.0727695226669312,5
0.5,0.9999004006385803,0.05617726594209671,0.0003,0.9214122295379639,5,1.0934096574783325,5
0.5,0.9998787045478821,0.0685986652970314,0.0003,0.9045268893241882,6,1.1147656440734863,5
0.5,0.999856173992157,0.08127626031637192,0.0003,0.8876438140869141,7,1.1367762088775635,5
0.5,0.9998326897621155,0.09427596628665924,0.0003,0.8708122968673706,8,1.1595877408981323,5
0.5,0.9998086094856262,0.1075395718216896,0.0003,0.8540696501731873,9,1.1831492185592651,5
0.5,0.999783456325531,0.12103813141584396,0.0003,0.8374493718147278,10,1.2073612213134766,5
0.5,0.9997577667236328,0.1347571611404419,0.0003,0.8209420442581177,11,1.2322344779968262,5
0.5,0.9997316002845764,0.14875179529190063,0.0003,0.8046133518218994,12,1.2581924200057983,5
0.5,0.9997054934501648,0.16296574473381042,0.0003,0.788457989692688,13,1.284993052482605,5
0.5,0.9996788501739502,0.17741946876049042,0.0003,0.7724781632423401,14,1.3125609159469604,5
0.5,0.9996511936187744,0.19212108850479126,0.0003,0.7566866874694824,15,1.3409494161605835,5
0.5,0.9996222257614136,0.2070329189300537,0.0003,0.7411229610443115,16,1.3701950311660767,5
0.5,0.9995934367179871,0.222108393907547,0.0003,0.7258032560348511,17,1.4003350734710693,5
0.5,0.999563992023468,0.23744961619377136,0.0003,0.7106939554214478,18,1.4314122200012207,5
0.5,0.9995343089103699,0.2530612349510193,0.0003,0.6958047747612,19,1.4634770154953003,5
0.5,0.9995049238204956,0.26907721161842346,0.0003,0.6811198592185974,20,1.4965962171554565,5
0.5,0.9994757771492004,0.28540587425231934,0.0003,0.6666140556335449,21,1.5308541059494019,5
0.5,0.99944669008255,0.30202680826187134,0.0003,0.6522892713546753,22,1.5661778450012207,5
0.5,0.9994177222251892,0.3189062178134918,0.0003,0.638140082359314,23,1.602736234664917,5
0.5,0.9993888139724731,0.3360954523086548,0.0003,0.6241832375526428,24,1.64064621925354,5
0.5,0.9993602633476257,0.35361921787261963,0.0003,0.6081690192222595,25,1.6798357963562012,5
0.5,0.9993309378623962,0.3714536130428314,0.0003,0.5921284556388855,26,1.7204023599624634,5
0.5,0.999302089214325,0.3895414471626282,0.0003,0.5761168599128723,27,1.7623345851898193,5
0.5,0.9992737770080566,0.40799909830093384,0.0003,0.5601913332939148,28,1.8056395053863525,5
0.5,0.9992454648017883,0.4268442392349243,0.0003,0.5442426204681396,29,1.8502964973449707,5
0.5,0.9992167353630066,0.4460729956626892,0.0003,0.5283234715461731,30,1.8965705633163452,5
0.5,0.9991880059242249,0.4656248390674591,0.0003,0.5124909281730652,31,1.9447078704833984,5
0.5,0.9991597533226013,0.48551592230796814,0.0003,0.496737539768219,32,1.9952497482299805,5
0.5,0.9991324543952942,0.5057429075241089,0.0003,0.4813860356807709,33,2.0474283695220947,5
0.5,0.9991080164909363,0.5263165235519409,0.0003,0.467049241065979,34,2.100867509841919,5
0.5,0.9990869164466858,0.5472699403762817,0.0003,0.45359644293785095,35,2.155578851699829,5
0.5,0.9990671277046204,0.5685651898384094,0.0003,0.4408677816390991,36,2.211564779281616,5
0.5,0.9990505576133728,0.5901960134506226,0.0003,0.4290231764316559,37,2.2683212757110596,5
0.5,0.9990366697311401,0.6122465133666992,0.0003,0.41807886958122253,38,2.325857639312744,5
0.5,0.9990265965461731,0.63454270362854,0.0003,0.40830668807029724,39,2.3829588890075684,5
0.5,0.9990200996398926,0.6570314764976501,0.0003,0.3997257947921753,40,2.4396450519561768,5
0.5,0.999016523361206,0.6797412633895874,0.0003,0.3921791911125183,41,2.4957990646362305,5
0.5,0.9990152716636658,0.7024186849594116,0.0003,0.3857802748680115,42,2.5512163639068604,5
0.5,0.9990196824073792,0.7252626419067383,0.0003,0.3804267346858978,43,2.6048405170440674,5
0.5,0.9990240335464478,0.7477615475654602,0.0003,0.37603792548179626,44,2.656506061553955,5
0.5,0.9990230798721313,0.7696654796600342,0.0003,0.36651119589805603,45,2.7068610191345215,5
0.5,0.999009907245636,0.7904247641563416,0.0003,0.35641640424728394,46,2.7563536167144775,5
0.5,0.9989805221557617,0.8097034096717834,0.0003,0.34706783294677734,47,2.8046488761901855,5
