approx_TV,ratios_max,num_epochs,num_agents,clip_range,ratios_mean,learning_rate,ratios_min
0.0,1.0,0,5,0.3,1.0,0.0002,1.0
0.008013173937797546,1.0090993642807007,1,5,0.3,0.9999184012413025,0.0002,0.9913658499717712
0.01672007143497467,1.0191195011138916,2,5,0.3,0.9998276233673096,0.0002,0.9818651676177979
0.02577418088912964,1.029680848121643,3,5,0.3,0.9997318983078003,0.0002,0.9719045162200928
0.03504215180873871,1.0406408309936523,4,5,0.3,0.9996340274810791,0.0002,0.9616793990135193
0.04446318745613098,1.0519258975982666,5,5,0.3,0.999534010887146,0.0002,0.9512852430343628
0.053993336856365204,1.0635051727294922,6,5,0.3,0.9994322657585144,0.0002,0.9407922029495239
0.0636058896780014,1.075354814529419,7,5,0.3,0.99932861328125,0.0002,0.9302553534507751
0.07324425876140594,1.0874607563018799,8,5,0.3,0.9992226362228394,0.0002,0.9197000861167908
0.08290223032236099,1.0999469757080078,9,5,0.3,0.999114990234375,0.0002,0.9092402458190918
0.09260042011737823,1.112695336341858,10,5,0.3,0.9990054965019226,0.0002,0.898822546005249
0.10233674198389053,1.1257226467132568,11,5,0.3,0.9988945126533508,0.0002,0.8883943557739258
0.11209379881620407,1.1390397548675537,12,5,0.3,0.998782753944397,0.0002,0.8779594302177429
0.12181496620178223,1.152665138244629,13,5,0.3,0.9986696839332581,0.0002,0.867546021938324
0.13156533241271973,1.1665278673171997,14,5,0.3,0.9985554218292236,0.0002,0.8571401834487915
0.14135952293872833,1.1806594133377075,15,5,0.3,0.9984403848648071,0.0002,0.8467400074005127
0.15116764605045319,1.1951133012771606,16,5,0.3,0.9983246326446533,0.0002,0.8363547325134277
0.16108471155166626,1.209816336631775,17,5,0.3,0.9982077479362488,0.0002,0.8260565400123596
0.17101654410362244,1.2247933149337769,18,5,0.3,0.9980901479721069,0.0002,0.8157419562339783
0.18096497654914856,1.2400492429733276,19,5,0.3,0.9979712963104248,0.0002,0.8054254055023193
0.19093680381774902,1.2554810047149658,20,5,0.3,0.9978514909744263,0.0002,0.7951017022132874
0.2009420394897461,1.2712432146072388,21,5,0.3,0.9977306127548218,0.0002,0.7847388386726379
0.21098393201828003,1.2873387336730957,22,5,0.3,0.9976083040237427,0.0002,0.7743865251541138
0.22106577455997467,1.3037081956863403,23,5,0.3,0.9974848628044128,0.0002,0.7640513777732849
0.23119118809700012,1.3203496932983398,24,5,0.3,0.9973598718643188,0.0002,0.753703236579895
0.24137334525585175,1.337774395942688,25,5,0.3,0.997234582901001,0.0002,0.7433758974075317
0.2517859935760498,1.3556346893310547,26,5,0.3,0.9971086382865906,0.0002,0.7330712676048279
0.2623017132282257,1.3739042282104492,27,5,0.3,0.996981680393219,0.0002,0.7227924466133118
0.2729312479496002,1.392529845237732,28,5,0.3,0.9968543648719788,0.0002,0.7125526070594788
0.283689945936203,1.41155207157135,29,5,0.3,0.9967266321182251,0.0002,0.7023507952690125
0.2945604622364044,1.4310097694396973,30,5,0.3,0.9965974688529968,0.0002,0.6921828389167786
0.3054220378398895,1.4507495164871216,31,5,0.3,0.9964672923088074,0.0002,0.6824348568916321
0.31628552079200745,1.470618486404419,32,5,0.3,0.9963377118110657,0.0002,0.6731584072113037
0.32706567645072937,1.4904944896697998,33,5,0.3,0.9962096214294434,0.0002,0.6646851301193237
0.3377501368522644,1.510198712348938,34,5,0.3,0.9960877895355225,0.0002,0.6573860049247742
0.348220556974411,1.5296858549118042,35,5,0.3,0.9959708452224731,0.0002,0.6514135599136353
0.3584694266319275,1.5490089654922485,36,5,0.3,0.9958573579788208,0.0002,0.6464619636535645
0.368480384349823,1.5681252479553223,37,5,0.3,0.995747447013855,0.0002,0.641492486000061
0.3782259225845337,1.587038516998291,38,5,0.3,0.9956414699554443,0.0002,0.6360500454902649
0.3877648711204529,1.6057816743850708,39,5,0.3,0.9955386519432068,0.0002,0.6308850049972534
0.39773377776145935,1.6243571043014526,40,5,0.3,0.9954402446746826,0.0002,0.6260730624198914
0.4074670970439911,1.642675757408142,41,5,0.3,0.9953470230102539,0.0002,0.6217506527900696
0.41699641942977905,1.6603835821151733,42,5,0.3,0.9952602386474609,0.0002,0.6180358529090881
0.42629915475845337,1.6772218942642212,43,5,0.3,0.9951772689819336,0.0002,0.614815354347229
0.4353655278682709,1.693220853805542,44,5,0.3,0.9950975179672241,0.0002,0.6120308637619019
0.444160133600235,1.70845365524292,45,5,0.3,0.995018720626831,0.0002,0.6095350384712219
0.45257535576820374,1.7223076820373535,46,5,0.3,0.9949430823326111,0.0002,0.607139527797699
0.46062254905700684,1.734984040260315,47,5,0.3,0.9948698282241821,0.0002,0.6014854907989502
0.4683230221271515,1.7462351322174072,48,5,0.3,0.9948015213012695,0.0002,0.5961996912956238
0.4756729006767273,1.756266474723816,49,5,0.3,0.9947365522384644,0.0002,0.5913019776344299
0.48273709416389465,1.7648587226867676,50,5,0.3,0.9946747422218323,0.0002,0.5867681503295898
0.4893697500228882,1.772297978401184,51,5,0.3,0.9946111440658569,0.0002,0.5825532078742981
0.4956591725349426,1.778528094291687,52,5,0.3,0.9945430755615234,0.0002,0.5786771774291992
0.5016422867774963,1.7837666273117065,53,5,0.3,0.9944685101509094,0.0002,0.5751234889030457
0.5071445107460022,1.7890995740890503,54,5,0.3,0.994384765625,0.0002,0.5719329118728638
0.5122445225715637,1.7945493459701538,55,5,0.3,0.9942931532859802,0.0002,0.569016695022583
0.5169878005981445,1.799963116645813,56,5,0.3,0.9941993355751038,0.0002,0.5662743449211121
