num_epochs,learning_rate,clip_range,approx_TV,ratios_mean,ratios_min,num_agents,ratios_max
0,0.0002,0.5,0.0,1.0,1.0,5,1.0
1,0.0002,0.5,0.007268227636814117,0.9998600482940674,0.9892117381095886,5,1.011742353439331
2,0.0002,0.5,0.015269290655851364,0.9997057914733887,0.97747403383255,5,1.024795651435852
3,0.0002,0.5,0.023680519312620163,0.9995435476303101,0.965294599533081,5,1.038661003112793
4,0.0002,0.5,0.03239436820149422,0.9993765354156494,0.9528753161430359,5,1.0530999898910522
5,0.0002,0.5,0.04134390503168106,0.9992052912712097,0.9403210282325745,5,1.0680491924285889
6,0.0002,0.5,0.050508689135313034,0.9990302324295044,0.92769855260849,5,1.083383321762085
7,0.0002,0.5,0.05984482914209366,0.9988524317741394,0.9150610566139221,5,1.0991158485412598
8,0.0002,0.5,0.06933765113353729,0.9986717104911804,0.9024374485015869,5,1.1152570247650146
9,0.0002,0.5,0.07897152006626129,0.9984890222549438,0.8898494243621826,5,1.131781816482544
10,0.0002,0.5,0.08873815089464188,0.9983035922050476,0.8773036599159241,5,1.1486992835998535
11,0.0002,0.5,0.09864848852157593,0.9981158375740051,0.8648350238800049,5,1.1659756898880005
12,0.0002,0.5,0.10869597643613815,0.9979255795478821,0.8524156212806702,5,1.18363618850708
13,0.0002,0.5,0.11886607110500336,0.9977332353591919,0.8400578498840332,5,1.2016624212265015
14,0.0002,0.5,0.12915560603141785,0.9975387454032898,0.8277238607406616,5,1.2200369834899902
15,0.0002,0.5,0.13956540822982788,0.9973422884941101,0.8154664635658264,5,1.238824486732483
16,0.0002,0.5,0.15009722113609314,0.9971439242362976,0.8033227920532227,5,1.2579970359802246
17,0.0002,0.5,0.16074390709400177,0.996943473815918,0.791282057762146,5,1.277472972869873
18,0.0002,0.5,0.17150038480758667,0.9967411756515503,0.7793245315551758,5,1.2973393201828003
19,0.0002,0.5,0.18236833810806274,0.9965370297431946,0.7674781084060669,5,1.3175876140594482
20,0.0002,0.5,0.19335484504699707,0.9963316917419434,0.755731463432312,5,1.338226079940796
21,0.0002,0.5,0.20453575253486633,0.9961239695549011,0.744072437286377,5,1.3592278957366943
22,0.0002,0.5,0.21589666604995728,0.99591463804245,0.7325025796890259,5,1.380649447441101
23,0.0002,0.5,0.2273922860622406,0.9957032203674316,0.7210323810577393,5,1.4025499820709229
24,0.0002,0.5,0.23905618488788605,0.995489239692688,0.7096589207649231,5,1.424945592880249
25,0.0002,0.5,0.2508883774280548,0.9952734112739563,0.6982957720756531,5,1.4477932453155518
26,0.0002,0.5,0.26287925243377686,0.9950548410415649,0.6870461106300354,5,1.4711121320724487
27,0.0002,0.5,0.27504634857177734,0.994833767414093,0.6759284734725952,5,1.4949054718017578
28,0.0002,0.5,0.28740063309669495,0.9946105480194092,0.6649235486984253,5,1.519174337387085
29,0.0002,0.5,0.2999465763568878,0.9943843483924866,0.654022216796875,5,1.543925166130066
30,0.0002,0.5,0.3126913607120514,0.9941549897193909,0.6432262659072876,5,1.5691578388214111
31,0.0002,0.5,0.3256385326385498,0.9939234852790833,0.6325440406799316,5,1.5948764085769653
32,0.0002,0.5,0.3388011157512665,0.9936888217926025,0.6219819188117981,5,1.621058464050293
33,0.0002,0.5,0.3521762788295746,0.993451714515686,0.6115418076515198,5,1.6475955247879028
34,0.0002,0.5,0.3657740354537964,0.9932118058204651,0.6012201905250549,5,1.674375057220459
35,0.0002,0.5,0.379591166973114,0.9929683804512024,0.591033935546875,5,1.7013903856277466
36,0.0002,0.5,0.39363807439804077,0.9927218556404114,0.5791669487953186,5,1.728658676147461
37,0.0002,0.5,0.40792909264564514,0.9924726486206055,0.5663678646087646,5,1.756186842918396
38,0.0002,0.5,0.42247438430786133,0.992220401763916,0.553618311882019,5,1.7839298248291016
