num_epochs,ratios_min,num_agents,ratios_max,approx_TV,learning_rate,ratios_mean,clip_range
0,1.0,5,1.0,0.0,0.0002,1.0,0.2
1,0.9892117381095886,5,1.011742353439331,0.007268227636814117,0.0002,0.9998600482940674,0.2
2,0.97747403383255,5,1.024795651435852,0.015269290655851364,0.0002,0.9997057914733887,0.2
3,0.965294599533081,5,1.038661003112793,0.023680519312620163,0.0002,0.9995435476303101,0.2
4,0.9528753161430359,5,1.0530999898910522,0.03239436820149422,0.0002,0.9993765354156494,0.2
5,0.9403210282325745,5,1.0680491924285889,0.04134390503168106,0.0002,0.9992052912712097,0.2
6,0.92769855260849,5,1.083383321762085,0.050508689135313034,0.0002,0.9990302324295044,0.2
7,0.9150610566139221,5,1.0991158485412598,0.05984482914209366,0.0002,0.9988524317741394,0.2
8,0.9024374485015869,5,1.1152570247650146,0.06933765113353729,0.0002,0.9986717104911804,0.2
9,0.8898494243621826,5,1.131781816482544,0.07897152006626129,0.0002,0.9984890222549438,0.2
10,0.8773036599159241,5,1.1486992835998535,0.08873815089464188,0.0002,0.9983035922050476,0.2
11,0.8648350238800049,5,1.1659756898880005,0.09864848852157593,0.0002,0.9981158375740051,0.2
12,0.8524156212806702,5,1.18363618850708,0.10869597643613815,0.0002,0.9979255795478821,0.2
13,0.8400578498840332,5,1.2016624212265015,0.11886607110500336,0.0002,0.9977332353591919,0.2
14,0.8277238607406616,5,1.2200369834899902,0.12915560603141785,0.0002,0.9975387454032898,0.2
15,0.8154664635658264,5,1.238824486732483,0.13956540822982788,0.0002,0.9973422884941101,0.2
16,0.8033227920532227,5,1.2579970359802246,0.15009722113609314,0.0002,0.9971439242362976,0.2
17,0.7912903428077698,5,1.2773011922836304,0.16074205935001373,0.0002,0.9969436526298523,0.2
18,0.7799082398414612,5,1.296759843826294,0.17146533727645874,0.0002,0.9967429041862488,0.2
19,0.7691032290458679,5,1.3163683414459229,0.18227443099021912,0.0002,0.9965416193008423,0.2
20,0.7590430378913879,5,1.336021065711975,0.19317708909511566,0.0002,0.996342658996582,0.2
21,0.750302255153656,5,1.3553378582000732,0.20414221286773682,0.0002,0.996148943901062,0.2
22,0.7431243062019348,5,1.3742598295211792,0.21508821845054626,0.0002,0.9959636926651001,0.2
23,0.7375695109367371,5,1.3927501440048218,0.22595463693141937,0.0002,0.9957865476608276,0.2
24,0.7334522604942322,5,1.4109047651290894,0.2367553412914276,0.0002,0.9956169724464417,0.2
25,0.7306451797485352,5,1.4281706809997559,0.2474547177553177,0.0002,0.9954580664634705,0.2
26,0.7251036167144775,5,1.444440484046936,0.25820192694664,0.0002,0.9953011274337769,0.2
27,0.7174205780029297,5,1.4595692157745361,0.26904892921447754,0.0002,0.9951436519622803,0.2
28,0.7104083299636841,5,1.4735212326049805,0.27995288372039795,0.0002,0.9949884414672852,0.2
29,0.70396488904953,5,1.4864208698272705,0.2909124791622162,0.0002,0.9948350191116333,0.2
30,0.698065996170044,5,1.498315691947937,0.3018997311592102,0.0002,0.994683563709259,0.2
31,0.6926776170730591,5,1.5093517303466797,0.31289613246917725,0.0002,0.9945330023765564,0.2
32,0.6878347992897034,5,1.519546389579773,0.32387351989746094,0.0002,0.9943844079971313,0.2
33,0.6835193037986755,5,1.5288307666778564,0.3348880410194397,0.0002,0.9942339658737183,0.2
34,0.6798574924468994,5,1.5373289585113525,0.34595993161201477,0.0002,0.9940820336341858,0.2
35,0.6768600940704346,5,1.544937252998352,0.35702428221702576,0.0002,0.9939278364181519,0.2
36,0.674608588218689,5,1.5517277717590332,0.36806654930114746,0.0002,0.9937735199928284,0.2
37,0.6730678677558899,5,1.557820439338684,0.378944456577301,0.0002,0.9936199188232422,0.2
38,0.6721445322036743,5,1.5632896423339844,0.3899152874946594,0.0002,0.9934646487236023,0.2
39,0.6718249320983887,5,1.5681800842285156,0.4009007215499878,0.0002,0.9933104515075684,0.2
40,0.6719406843185425,5,1.5725637674331665,0.4117119312286377,0.0002,0.9931565523147583,0.2
41,0.6725324392318726,5,1.5765150785446167,0.42226630449295044,0.0002,0.9930048584938049,0.2
42,0.6735308766365051,5,1.5799416303634644,0.4323965907096863,0.0002,0.9928568601608276,0.2
43,0.6746523380279541,5,1.5828911066055298,0.4418517053127289,0.0002,0.9927170872688293,0.2
44,0.6758219003677368,5,1.5853548049926758,0.4505326449871063,0.0002,0.9925875067710876,0.2
45,0.676988959312439,5,1.5870667695999146,0.4582826793193817,0.0002,0.9924704432487488,0.2
46,0.6781185269355774,5,1.588165521621704,0.4650706648826599,0.0002,0.9923667311668396,0.2
47,0.67900550365448,5,1.5887845754623413,0.47097834944725037,0.0002,0.9922742247581482,0.2
48,0.6797301769256592,5,1.5889173746109009,0.4760831296443939,0.0002,0.9921920299530029,0.2
49,0.6802016496658325,5,1.5884406566619873,0.480711966753006,0.0002,0.9921154379844666,0.2
50,0.6804137825965881,5,1.5873441696166992,0.4850385785102844,0.0002,0.9920400977134705,0.2
51,0.6804512739181519,5,1.5857386589050293,0.4890754222869873,0.0002,0.9919649958610535,0.2
52,0.6803342700004578,5,1.5839149951934814,0.49311602115631104,0.0002,0.991885244846344,0.2
53,0.6800234317779541,5,1.581969976425171,0.4972713589668274,0.0002,0.9917985200881958,0.2
54,0.6794866919517517,5,1.579911708831787,0.5015915036201477,0.0002,0.9917043447494507,0.2
55,0.6787979602813721,5,1.5778666734695435,0.50620037317276,0.0002,0.9916024208068848,0.2
56,0.6782407164573669,5,1.5757157802581787,0.5116795301437378,0.0002,0.9914947748184204,0.2
57,0.6778868436813354,5,1.5735100507736206,0.5185908079147339,0.0002,0.9913803339004517,0.2
58,0.6780816316604614,5,1.5712640285491943,0.526268720626831,0.0002,0.9912663698196411,0.2
59,0.6789268851280212,5,1.56889009475708,0.534119725227356,0.0002,0.9911537766456604,0.2
60,0.6803492903709412,5,1.5663809776306152,0.5421524047851562,0.0002,0.991042971611023,0.2
61,0.6822837591171265,5,1.5637381076812744,0.5502574443817139,0.0002,0.9909338355064392,0.2
62,0.6847083568572998,5,1.5607504844665527,0.5584420561790466,0.0002,0.9908283948898315,0.2
63,0.6874426603317261,5,1.5570909976959229,0.5665251612663269,0.0002,0.9907323122024536,0.2
64,0.6902021765708923,5,1.5528780221939087,0.5745400190353394,0.0002,0.9906432032585144,0.2
65,0.6923699975013733,5,1.5482522249221802,0.5825272798538208,0.0002,0.9905516505241394,0.2
66,0.6939810514450073,5,1.543229341506958,0.5904836654663086,0.0002,0.9904599785804749,0.2
