ratios_min,learning_rate,ratios_max,num_epochs,ratios_mean,num_agents,clip_range,approx_TV
1.0,0.0001,1.0,0,1.0,5,0.3,0.0
0.9962252974510193,0.0001,1.0048511028289795,1,0.9999735355377197,5,0.3,0.0042925067245960236
0.9921102523803711,0.0001,1.0101782083511353,2,0.9999444484710693,5,0.3,0.00899515300989151
0.9878205060958862,0.0001,1.0157772302627563,3,0.9999139308929443,5,0.3,0.013918932527303696
0.9834231734275818,0.0001,1.0215688943862915,4,0.9998824596405029,5,0.3,0.018986403942108154
0.9789507985115051,0.0001,1.0275150537490845,5,0.999850332736969,5,0.3,0.024161633104085922
0.974419355392456,0.0001,1.0336068868637085,6,0.9998175501823425,5,0.3,0.029421884566545486
0.9698445796966553,0.0001,1.039819598197937,7,0.9997842311859131,5,0.3,0.03475230932235718
0.9652338027954102,0.0001,1.046140432357788,8,0.9997504353523254,5,0.3,0.04013717174530029
0.9605942964553833,0.0001,1.052563190460205,9,0.9997158050537109,5,0.3,0.04557109251618385
0.9559310674667358,0.0001,1.0590810775756836,10,0.999680757522583,5,0.3,0.051051970571279526
0.9512479901313782,0.0001,1.0656921863555908,11,0.999644935131073,5,0.3,0.0565757118165493
0.9465498328208923,0.0001,1.072391152381897,12,0.9996088743209839,5,0.3,0.06213874742388725
0.9418366551399231,0.0001,1.0791773796081543,13,0.9995723366737366,5,0.3,0.06775091588497162
0.9371101260185242,0.0001,1.0860542058944702,14,0.9995352029800415,5,0.3,0.07340237498283386
0.9323716759681702,0.0001,1.093018889427185,15,0.9994977712631226,5,0.3,0.07909011095762253
0.9276213645935059,0.0001,1.1000758409500122,16,0.9994597434997559,5,0.3,0.08481286466121674
0.9228586554527283,0.0001,1.1072351932525635,17,0.9994213581085205,5,0.3,0.09056970477104187
0.9180774092674255,0.0001,1.1144847869873047,18,0.9993823170661926,5,0.3,0.09635953605175018
0.9132769107818604,0.0001,1.1218351125717163,19,0.9993427395820618,5,0.3,0.10218389332294464
0.908460795879364,0.0001,1.1292916536331177,20,0.9993024468421936,5,0.3,0.10804115235805511
0.9036274552345276,0.0001,1.1368465423583984,21,0.999261736869812,5,0.3,0.11393249779939651
0.8987473249435425,0.0001,1.1445010900497437,22,0.9992202520370483,5,0.3,0.11985601484775543
0.8938432931900024,0.0001,1.1522557735443115,23,0.9991781711578369,5,0.3,0.1258106529712677
0.8889187574386597,0.0001,1.1601382493972778,24,0.999135434627533,5,0.3,0.13180111348628998
0.8839776515960693,0.0001,1.1681514978408813,25,0.9990924596786499,5,0.3,0.13782991468906403
0.8790169358253479,0.0001,1.1762789487838745,26,0.9990488290786743,5,0.3,0.14389748871326447
0.8740382790565491,0.0001,1.1845216751098633,27,0.9990048408508301,5,0.3,0.1500033140182495
0.8690441846847534,0.0001,1.192879557609558,28,0.9989601969718933,5,0.3,0.15614840388298035
0.8640356063842773,0.0001,1.2013628482818604,29,0.9989149570465088,5,0.3,0.16235503554344177
0.8590124845504761,0.0001,1.209994912147522,30,0.9988689422607422,5,0.3,0.1686292290687561
0.8539721369743347,0.0001,1.2187622785568237,31,0.9988223314285278,5,0.3,0.17495208978652954
0.8489205241203308,0.0001,1.227666974067688,32,0.998775064945221,5,0.3,0.18132571876049042
0.8438538312911987,0.0001,1.236716389656067,33,0.9987270832061768,5,0.3,0.18775252997875214
0.8387758731842041,0.0001,1.245912790298462,34,0.9986780881881714,5,0.3,0.19422507286071777
0.8336868286132812,0.0001,1.2552635669708252,35,0.9986281991004944,5,0.3,0.20074093341827393
0.8285853266716003,0.0001,1.2647801637649536,36,0.9985774159431458,5,0.3,0.2073039561510086
0.8234687447547913,0.0001,1.2744656801223755,37,0.9985256195068359,5,0.3,0.21391937136650085
0.8183431029319763,0.0001,1.2843198776245117,38,0.9984731078147888,5,0.3,0.22058475017547607
0.813208818435669,0.0001,1.2943429946899414,39,0.9984197020530701,5,0.3,0.22731226682662964
0.8080635666847229,0.0001,1.3045451641082764,40,0.9983655214309692,5,0.3,0.234100803732872
0.8029088377952576,0.0001,1.3149328231811523,41,0.998310387134552,5,0.3,0.24094784259796143
0.7977455854415894,0.0001,1.3255151510238647,42,0.9982544183731079,5,0.3,0.24788832664489746
0.7925729155540466,0.0001,1.336290955543518,43,0.9981975555419922,5,0.3,0.254923552274704
0.7873919010162354,0.0001,1.3472681045532227,44,0.9981396794319153,5,0.3,0.26203233003616333
0.7822014689445496,0.0001,1.3584494590759277,45,0.9980807900428772,5,0.3,0.26921454071998596
0.7770041823387146,0.0001,1.369530200958252,46,0.9980220198631287,5,0.3,0.2763110399246216
0.7718178033828735,0.0001,1.380348563194275,47,0.9979639053344727,5,0.3,0.28325802087783813
0.7666503190994263,0.0001,1.3907389640808105,48,0.9979071617126465,5,0.3,0.2900063097476959
0.7615295052528381,0.0001,1.4005236625671387,49,0.9978527426719666,5,0.3,0.29649296402931213
0.7565102577209473,0.0001,1.4092316627502441,50,0.9978023171424866,5,0.3,0.30256184935569763
0.7515732049942017,0.0001,1.4170002937316895,51,0.9977554082870483,5,0.3,0.3082704544067383
0.7467159628868103,0.0001,1.4239321947097778,52,0.9977114796638489,5,0.3,0.3137176036834717
0.7419244050979614,0.0001,1.430132508277893,53,0.9976704120635986,5,0.3,0.31896457076072693
0.7372111678123474,0.0001,1.435520052909851,54,0.9976322054862976,5,0.3,0.3239377737045288
0.7325705289840698,0.0001,1.4401886463165283,55,0.9975968599319458,5,0.3,0.3286691904067993
0.7279950976371765,0.0001,1.444221019744873,56,0.9975641965866089,5,0.3,0.3333321809768677
