clip_range,num_agents,num_epochs,ratios_min,approx_TV,ratios_max,ratios_mean,learning_rate
0.5,5,0,1.0,0.0,1.0,1.0,0.0002
0.5,5,1,0.9801626801490784,0.011886399239301682,1.0110868215560913,0.9998945593833923,0.0002
0.5,5,2,0.9590317606925964,0.02470928058028221,1.023016095161438,0.999782145023346,0.0002
0.5,5,3,0.9376417398452759,0.03799053281545639,1.0354727506637573,0.9996663928031921,0.0002
0.5,5,4,0.9161549210548401,0.05155276879668236,1.0483397245407104,0.9995487928390503,0.0002
0.5,5,5,0.8946430087089539,0.0653115063905716,1.061507225036621,0.9994287490844727,0.0002
0.5,5,6,0.8732022047042847,0.07924945652484894,1.0749565362930298,0.9993076920509338,0.0002
0.5,5,7,0.8517725467681885,0.0932999849319458,1.088697075843811,0.9991862177848816,0.0002
0.5,5,8,0.8304784893989563,0.10744611918926239,1.1026543378829956,0.9990641474723816,0.0002
0.5,5,9,0.809334397315979,0.12176862359046936,1.1167939901351929,0.9989413619041443,0.0002
0.5,5,10,0.7882207036018372,0.1363079994916916,1.1311358213424683,0.9988181591033936,0.0002
0.5,5,11,0.7673575282096863,0.15095198154449463,1.1456971168518066,0.998694658279419,0.0002
0.5,5,12,0.7466477155685425,0.16570204496383667,1.1604464054107666,0.9985712170600891,0.0002
0.5,5,13,0.7261276841163635,0.1806035041809082,1.1753815412521362,0.9984474182128906,0.0002
0.5,5,14,0.7059122920036316,0.1956237554550171,1.1905229091644287,0.9983232021331787,0.0002
0.5,5,15,0.686011552810669,0.21074536442756653,1.2058733701705933,0.9981984496116638,0.0002
0.5,5,16,0.6664528846740723,0.22599081695079803,1.2214373350143433,0.9980738759040833,0.0002
0.5,5,17,0.647221028804779,0.2413783073425293,1.237188696861267,0.9979487061500549,0.0002
0.5,5,18,0.6283266544342041,0.25685349106788635,1.2531414031982422,0.9978232979774475,0.0002
0.5,5,19,0.6097797155380249,0.27243250608444214,1.269300103187561,0.9976971745491028,0.0002
0.5,5,20,0.5915880799293518,0.28811222314834595,1.2862926721572876,0.9975702166557312,0.0002
0.5,5,21,0.5737571716308594,0.30390453338623047,1.3036569356918335,0.9974428415298462,0.0002
0.5,5,22,0.5562912225723267,0.31982144713401794,1.3215113878250122,0.9973151087760925,0.0002
0.5,5,23,0.5391913652420044,0.3358602523803711,1.3397563695907593,0.9971871376037598,0.0002
0.5,5,24,0.5224639177322388,0.35203662514686584,1.358379602432251,0.9970583319664001,0.0002
0.5,5,25,0.5061097145080566,0.3683522939682007,1.3773736953735352,0.9969287514686584,0.0002
0.5,5,26,0.49008500576019287,0.38478755950927734,1.3967591524124146,0.9967994689941406,0.0002
0.5,5,27,0.47466468811035156,0.40131676197052,1.41646409034729,0.9966704249382019,0.0002
0.5,5,28,0.4601750671863556,0.4177582859992981,1.4363822937011719,0.9965428709983826,0.0002
0.5,5,29,0.4472157657146454,0.4338163733482361,1.4561384916305542,0.9964200258255005,0.0002
0.5,5,30,0.4357575476169586,0.449458509683609,1.475657343864441,0.9963018894195557,0.0002
0.5,5,31,0.4258430004119873,0.4657331109046936,1.4947850704193115,0.9961897134780884,0.0002
0.5,5,32,0.4172724187374115,0.48208087682724,1.513579249382019,0.9960821866989136,0.0002
0.5,5,33,0.4098689556121826,0.4982130825519562,1.5320605039596558,0.9959792494773865,0.0002
0.5,5,34,0.403411865234375,0.5141451358795166,1.5502748489379883,0.995880126953125,0.0002
0.5,5,35,0.3977881968021393,0.5301885008811951,1.5684044361114502,0.995784342288971,0.0002
0.5,5,36,0.3929716646671295,0.5461093783378601,1.5862312316894531,0.9956923723220825,0.0002
0.5,5,37,0.38879507780075073,0.5618767738342285,1.6037592887878418,0.9956044554710388,0.0002
0.5,5,38,0.38489511609077454,0.5774966478347778,1.621138572692871,0.9955199360847473,0.0002
0.5,5,39,0.38166171312332153,0.5928655862808228,1.637815237045288,0.9954404830932617,0.0002
0.5,5,40,0.3784852623939514,0.60792076587677,1.6535601615905762,0.9953670501708984,0.0002
0.5,5,41,0.37551194429397583,0.6226551532745361,1.6684489250183105,0.9952970743179321,0.0002
0.5,5,42,0.3729722797870636,0.637103796005249,1.6825814247131348,0.9952301383018494,0.0002
0.5,5,43,0.3708146810531616,0.6512939929962158,1.696000576019287,0.9951660633087158,0.0002
0.5,5,44,0.3690197765827179,0.665221095085144,1.718208909034729,0.9951028823852539,0.0002
0.5,5,45,0.36754095554351807,0.6788815259933472,1.7412984371185303,0.9950392842292786,0.0002
0.5,5,46,0.3663535714149475,0.6922292113304138,1.7648067474365234,0.9949737787246704,0.0002
0.5,5,47,0.3653823435306549,0.7052695155143738,1.788666844367981,0.9949072599411011,0.0002
0.5,5,48,0.3645457923412323,0.7180016040802002,1.8128620386123657,0.9948405027389526,0.0002
0.5,5,49,0.3638913929462433,0.7305083274841309,1.8373924493789673,0.9947729706764221,0.0002
0.5,5,50,0.36339062452316284,0.7427952289581299,1.8621362447738647,0.9947050213813782,0.0002
0.5,5,51,0.36302468180656433,0.7548849582672119,1.8871194124221802,0.9946371912956238,0.0002
0.5,5,52,0.3627293109893799,0.7668136358261108,1.9122469425201416,0.9945691227912903,0.0002
0.5,5,53,0.36248862743377686,0.7785340547561646,1.937713861465454,0.9945009350776672,0.0002
0.5,5,54,0.36237967014312744,0.7896677255630493,1.963016390800476,0.9944358468055725,0.0002
0.5,5,55,0.3624303936958313,0.8001061081886292,1.987208604812622,0.9943758249282837,0.0002
0.5,5,56,0.3626539707183838,0.8097783923149109,2.010669469833374,0.9943231344223022,0.0002
0.5,5,57,0.3629976809024811,0.8187933564186096,2.033332347869873,0.9942786693572998,0.0002
0.5,5,58,0.36347344517707825,0.8271026015281677,2.0546815395355225,0.9942426681518555,0.0002
0.5,5,59,0.3639712929725647,0.8351194858551025,2.0751092433929443,0.9942102432250977,0.0002
0.5,5,60,0.3644830584526062,0.8427566289901733,2.0938498973846436,0.9941837787628174,0.0002
0.5,5,61,0.3650214374065399,0.8499739766120911,2.1110849380493164,0.9941616058349609,0.0002
0.5,5,62,0.36562374234199524,0.856532871723175,2.1266255378723145,0.9941468834877014,0.0002
0.5,5,63,0.36629173159599304,0.8622393608093262,2.139993906021118,0.9941416382789612,0.0002
0.5,5,64,0.367051362991333,0.8669989109039307,2.151155710220337,0.9941468834877014,0.0002
0.5,5,65,0.36788979172706604,0.8708817958831787,2.160243511199951,0.9941617846488953,0.0002
0.5,5,66,0.3687670826911926,0.8739708662033081,2.1675961017608643,0.9941839575767517,0.0002
0.5,5,67,0.36970293521881104,0.8764283657073975,2.1734161376953125,0.9942116737365723,0.0002
0.5,5,68,0.3707078993320465,0.8781033754348755,2.1771466732025146,0.9942453503608704,0.0002
0.5,5,69,0.3717280924320221,0.8792904615402222,2.179957866668701,0.9942806959152222,0.0002
0.5,5,70,0.37275874614715576,0.8801143169403076,2.1821811199188232,0.9943147897720337,0.0002
0.5,5,71,0.3738269507884979,0.8805944323539734,2.1839945316314697,0.9943455457687378,0.0002
0.5,5,72,0.37493911385536194,0.880730390548706,2.1858489513397217,0.9943690299987793,0.0002
0.5,5,73,0.3759475648403168,0.8806511163711548,2.188161611557007,0.994381308555603,0.0002
0.5,5,74,0.3768404722213745,0.8805627226829529,2.1911189556121826,0.9943811297416687,0.0002
0.5,5,75,0.3776000738143921,0.8805618286132812,2.1948227882385254,0.9943668842315674,0.0002
0.5,5,76,0.3781823515892029,0.8807998895645142,2.1992459297180176,0.994337797164917,0.0002
