ratios_min,num_epochs,learning_rate,ratios_max,approx_TV,clip_range,ratios_mean,num_agents
1.0,0,0.0002,1.0,0.0,0.5,1.0,5
0.989391028881073,1,0.0002,1.0093419551849365,0.008396096527576447,0.5,0.999937891960144,5
0.9779340028762817,2,0.0002,1.0196796655654907,0.017560042440891266,0.5,0.999871551990509,5
0.9661267995834351,3,0.0002,1.0306295156478882,0.02713916078209877,0.5,0.9998043179512024,5
0.9541763067245483,4,0.0002,1.0420347452163696,0.03697272762656212,0.5,0.999737024307251,5
0.942170262336731,5,0.0002,1.0538278818130493,0.046978484839200974,0.5,0.9996703863143921,5
0.9301674365997314,6,0.0002,1.0659586191177368,0.05710072070360184,0.5,0.9996041655540466,5
0.9180949330329895,7,0.0002,1.0783761739730835,0.0673045963048935,0.5,0.9995380640029907,5
0.9059301018714905,8,0.0002,1.0910998582839966,0.07759455591440201,0.5,0.9994732737541199,5
0.8939512372016907,9,0.0002,1.1041219234466553,0.08796674013137817,0.5,0.9994094371795654,5
0.8820512294769287,10,0.0002,1.1174254417419434,0.09839844703674316,0.5,0.9993466138839722,5
0.870265781879425,11,0.0002,1.1310603618621826,0.10887903720140457,0.5,0.9992851614952087,5
0.8585983514785767,12,0.0002,1.145038366317749,0.1193937137722969,0.5,0.9992263317108154,5
0.8471338748931885,13,0.0002,1.1593835353851318,0.1298510581254959,0.5,0.9991693496704102,5
0.8359742760658264,14,0.0002,1.1740894317626953,0.14031857252120972,0.5,0.9991135001182556,5
0.8249399662017822,15,0.0002,1.1891826391220093,0.1508183777332306,0.5,0.9990582466125488,5
0.8140308260917664,16,0.0002,1.2047009468078613,0.1613609492778778,0.5,0.9990041255950928,5
0.8032537698745728,17,0.0002,1.2206449508666992,0.17194557189941406,0.5,0.9989510178565979,5
0.792610228061676,18,0.0002,1.2370158433914185,0.18257877230644226,0.5,0.9988992810249329,5
0.782105565071106,19,0.0002,1.253836750984192,0.19325551390647888,0.5,0.9988495111465454,5
0.7718281745910645,20,0.0002,1.2712715864181519,0.20402368903160095,0.5,0.9988023042678833,5
0.7617127895355225,21,0.0002,1.2891381978988647,0.2148858904838562,0.5,0.9987559914588928,5
0.7511042356491089,22,0.0002,1.307483434677124,0.22581148147583008,0.5,0.9987110495567322,5
0.7402803897857666,23,0.0002,1.3263981342315674,0.23681598901748657,0.5,0.9986684322357178,5
0.7295317053794861,24,0.0002,1.345908761024475,0.24789175391197205,0.5,0.9986276030540466,5
0.7188445925712585,25,0.0002,1.3660880327224731,0.25920799374580383,0.5,0.9985893964767456,5
0.7082324624061584,26,0.0002,1.3869930505752563,0.27079063653945923,0.5,0.9985531568527222,5
0.6976692080497742,27,0.0002,1.408692717552185,0.2825067639350891,0.5,0.9985179305076599,5
0.6871437430381775,28,0.0002,1.4311269521713257,0.29435598850250244,0.5,0.9984833002090454,5
0.6767486929893494,29,0.0002,1.45433509349823,0.3063419759273529,0.5,0.998450517654419,5
0.6664354205131531,30,0.0002,1.4783345460891724,0.3187877833843231,0.5,0.9984195828437805,5
0.6561419367790222,31,0.0002,1.5031440258026123,0.3317919373512268,0.5,0.998390257358551,5
0.6458320617675781,32,0.0002,1.5287977457046509,0.34500938653945923,0.5,0.9983624815940857,5
0.6345207691192627,33,0.0002,1.5553195476531982,0.358456552028656,0.5,0.9983368515968323,5
0.6231715083122253,34,0.0002,1.5827406644821167,0.37213027477264404,0.5,0.9983126521110535,5
0.611678421497345,35,0.0002,1.6111056804656982,0.386040598154068,0.5,0.9982904195785522,5
0.600193440914154,36,0.0002,1.6397861242294312,0.39999231696128845,0.5,0.9982690215110779,5
0.588726818561554,37,0.0002,1.6686230897903442,0.41429802775382996,0.5,0.9982491731643677,5
0.5773133635520935,38,0.0002,1.6973443031311035,0.42859235405921936,0.5,0.998231053352356,5
0.5660118460655212,39,0.0002,1.7255034446716309,0.44270554184913635,0.5,0.9982139468193054,5
0.5548213124275208,40,0.0002,1.753260850906372,0.4568500220775604,0.5,0.9981980919837952,5
0.5437276363372803,41,0.0002,1.7806854248046875,0.47104042768478394,0.5,0.9981831312179565,5
0.5327280163764954,42,0.0002,1.807828664779663,0.4851696193218231,0.5,0.9981688261032104,5
0.5218176245689392,43,0.0002,1.8347811698913574,0.49929308891296387,0.5,0.9981564283370972,5
0.510990560054779,44,0.0002,1.8614153861999512,0.5134079456329346,0.5,0.998145341873169,5
0.5002596974372864,45,0.0002,1.8877267837524414,0.5274832248687744,0.5,0.9981359243392944,5
0.48962560296058655,46,0.0002,1.9138137102127075,0.5415272116661072,0.5,0.9981272220611572,5
0.47942671179771423,47,0.0002,1.939572811126709,0.5555092692375183,0.5,0.9981229901313782,5
0.46976250410079956,48,0.0002,1.964845895767212,0.5693846940994263,0.5,0.9981235265731812,5
0.4606108069419861,49,0.0002,1.989591121673584,0.5831228494644165,0.5,0.9981282949447632,5
0.45197778940200806,50,0.0002,2.01371431350708,0.5965883135795593,0.5,0.9981337189674377,5
0.4438014626502991,51,0.0002,2.0373470783233643,0.6097822785377502,0.5,0.9981379508972168,5
0.43600961565971375,52,0.0002,2.0605287551879883,0.622663140296936,0.5,0.9981385469436646,5
0.4287623167037964,53,0.0002,2.0830864906311035,0.6351625323295593,0.5,0.998136043548584,5
0.42206814885139465,54,0.0002,2.105034112930298,0.647261381149292,0.5,0.9981321096420288,5
0.41583341360092163,55,0.0002,2.126485586166382,0.6589261889457703,0.5,0.998119592666626,5
0.410123348236084,56,0.0002,2.1473591327667236,0.6700925827026367,0.5,0.9980952143669128,5
