approx_TV,ratios_mean,num_epochs,ratios_max,learning_rate,clip_range,num_agents,ratios_min
0.0,1.0,0,1.0,0.0001,0.2,5,1.0
0.0036322250962257385,0.999930202960968,1,1.0058623552322388,0.0001,0.2,5,0.9945954084396362
0.007625754922628403,0.999853253364563,2,1.0123438835144043,0.0001,0.2,5,0.9886842966079712
0.011819098144769669,0.9997725486755371,3,1.0191857814788818,0.0001,0.2,5,0.9825220704078674
0.01614391803741455,0.9996892213821411,4,1.0262888669967651,0.0001,0.2,5,0.9762054681777954
0.02057226374745369,0.9996039271354675,5,1.033600926399231,0.0001,0.2,5,0.9697856903076172
0.025087792426347733,0.9995173215866089,6,1.0410865545272827,0.0001,0.2,5,0.9632995128631592
0.029678825289011,0.9994295239448547,7,1.0487061738967896,0.0001,0.2,5,0.9567619562149048
0.03433484956622124,0.9993405938148499,8,1.0564652681350708,0.0001,0.2,5,0.950191080570221
0.039048776030540466,0.999250590801239,9,1.064356803894043,0.0001,0.2,5,0.9435965418815613
0.04382295906543732,0.9991596937179565,10,1.0723742246627808,0.0001,0.2,5,0.936985433101654
0.04864843562245369,0.9990676641464233,11,1.0804643630981445,0.0001,0.2,5,0.9303736090660095
0.053519442677497864,0.9989749193191528,12,1.0886688232421875,0.0001,0.2,5,0.9237641096115112
0.05843422934412956,0.9988815188407898,13,1.096982479095459,0.0001,0.2,5,0.917159914970398
0.06339061260223389,0.9987873435020447,14,1.1054096221923828,0.0001,0.2,5,0.9105641841888428
0.06838670372962952,0.9986924529075623,15,1.1139490604400635,0.0001,0.2,5,0.9039806127548218
0.07342217862606049,0.9985969662666321,16,1.1225658655166626,0.0001,0.2,5,0.8974082469940186
0.07848389446735382,0.9985011219978333,17,1.1313141584396362,0.0001,0.2,5,0.8908579349517822
0.08358597755432129,0.9984044432640076,18,1.1401753425598145,0.0001,0.2,5,0.8843209147453308
0.08873043954372406,0.9983068108558655,19,1.149143099784851,0.0001,0.2,5,0.8778123259544373
0.09391647577285767,0.99820876121521,20,1.1582080125808716,0.0001,0.2,5,0.8713330030441284
0.09914030134677887,0.9981098771095276,21,1.1673803329467773,0.0001,0.2,5,0.8648825287818909
0.10440260171890259,0.9980102777481079,22,1.1766674518585205,0.0001,0.2,5,0.858461320400238
0.10970236361026764,0.9979099035263062,23,1.1860755681991577,0.0001,0.2,5,0.8520559072494507
0.11503806710243225,0.9978090524673462,24,1.1955933570861816,0.0001,0.2,5,0.8456661105155945
0.12040749192237854,0.9977075457572937,25,1.2051969766616821,0.0001,0.2,5,0.8392985463142395
0.12581098079681396,0.9976053833961487,26,1.2149124145507812,0.0001,0.2,5,0.8329513072967529
0.1312492936849594,0.9975025653839111,27,1.2247540950775146,0.0001,0.2,5,0.826614499092102
0.13672369718551636,0.9973992109298706,28,1.2347174882888794,0.0001,0.2,5,0.8202813267707825
0.14223545789718628,0.9972951412200928,29,1.2448108196258545,0.0001,0.2,5,0.8139748573303223
0.1477813422679901,0.9971903562545776,30,1.2550195455551147,0.0001,0.2,5,0.8077062964439392
0.15336167812347412,0.9970849752426147,31,1.2652523517608643,0.0001,0.2,5,0.8014693856239319
0.15898123383522034,0.9969790577888489,32,1.2754977941513062,0.0001,0.2,5,0.7952514290809631
0.16463536024093628,0.99687260389328,33,1.2857698202133179,0.0001,0.2,5,0.7891741394996643
