ratios_mean,num_epochs,ratios_max,approx_TV,num_agents,clip_range,ratios_min,learning_rate
1.0,0,1.0,0.0,5,0.5,1.0,0.0004
0.9998944997787476,1,1.0195229053497314,0.017175089567899704,5,0.5,0.9849610328674316,0.0004
0.999778687953949,2,1.0412880182266235,0.0359920896589756,5,0.5,0.9687374830245972,0.0004
0.99965500831604,3,1.0645596981048584,0.055683866143226624,5,0.5,0.9519490599632263,0.0004
0.9995249509811401,4,1.0890756845474243,0.07603584975004196,5,0.5,0.9348606467247009,0.0004
0.9993889927864075,5,1.114774465560913,0.09691213071346283,5,0.5,0.9175592660903931,0.0004
0.9992470741271973,6,1.1416394710540771,0.11825160682201385,5,0.5,0.9000817537307739,0.0004
0.9990985989570618,7,1.1697207689285278,0.13997283577919006,5,0.5,0.8823866248130798,0.0004
0.9989452362060547,8,1.199121117591858,0.16210615634918213,5,0.5,0.8645196557044983,0.0004
0.9987851977348328,9,1.2298468351364136,0.18464630842208862,5,0.5,0.846532940864563,0.0004
0.9986173510551453,10,1.2619820833206177,0.2075374275445938,5,0.5,0.8284664154052734,0.0004
0.9984416365623474,11,1.2955896854400635,0.2308454066514969,5,0.5,0.8103490471839905,0.0004
0.9982587099075317,12,1.3307641744613647,0.25467634201049805,5,0.5,0.792198657989502,0.0004
0.9980674982070923,13,1.367655873298645,0.2790420949459076,5,0.5,0.7740243673324585,0.0004
0.9978678822517395,14,1.406387209892273,0.3040355145931244,5,0.5,0.7558358311653137,0.0004
0.9976588487625122,15,1.4472250938415527,0.3297165036201477,5,0.5,0.7376299500465393,0.0004
0.9974402785301208,16,1.4902946949005127,0.356198787689209,5,0.5,0.7194223999977112,0.0004
0.9972100853919983,17,1.53593909740448,0.38366732001304626,5,0.5,0.7011966705322266,0.0004
0.9969691634178162,18,1.5844615697860718,0.41230350732803345,5,0.5,0.682880163192749,0.0004
0.9967163801193237,19,1.636004090309143,0.44203802943229675,5,0.5,0.6645056009292603,0.0004
0.9964616298675537,20,1.687435507774353,0.4714469015598297,5,0.5,0.6461660861968994,0.0004
0.9962208271026611,21,1.7351102828979492,0.49905925989151,5,0.5,0.6282376050949097,0.0004
0.9959995150566101,22,1.7776260375976562,0.5244075059890747,5,0.5,0.610842227935791,0.0004
0.9958048462867737,23,1.8203097581863403,0.546816885471344,5,0.5,0.5940384268760681,0.0004
0.9956364035606384,24,1.8607125282287598,0.5663094520568848,5,0.5,0.5779178142547607,0.0004
0.9954939484596252,25,1.89688241481781,0.5842987298965454,5,0.5,0.5624141693115234,0.0004
0.9953737258911133,26,1.929632306098938,0.601172685623169,5,0.5,0.5474556684494019,0.0004
0.9952682852745056,27,1.9603735208511353,0.6169954538345337,5,0.5,0.5329625010490417,0.0004
0.995175302028656,28,1.990071177482605,0.6336612701416016,5,0.5,0.5190025568008423,0.0004
0.9950915575027466,29,2.01951003074646,0.6495421528816223,5,0.5,0.5055779218673706,0.0004
0.9950184226036072,30,2.0494046211242676,0.6644649505615234,5,0.5,0.4927186965942383,0.0004
0.9949482679367065,31,2.0810546875,0.679007351398468,5,0.5,0.48042038083076477,0.0004
0.9948819279670715,32,2.1147301197052,0.6932765245437622,5,0.5,0.46873223781585693,0.0004
0.9948163628578186,33,2.1511285305023193,0.7095997333526611,5,0.5,0.4566677510738373,0.0004
0.9947310090065002,34,2.1932196617126465,0.7268738746643066,5,0.5,0.4444917142391205,0.0004
0.9946204423904419,35,2.2420480251312256,0.744472861289978,5,0.5,0.43330103158950806,0.0004
0.9944853782653809,36,2.297196865081787,0.7622098326683044,5,0.5,0.42337766289711,0.0004
0.9943133592605591,37,2.3596673011779785,0.7801918387413025,5,0.5,0.41450080275535583,0.0004
0.9941067695617676,38,2.42844820022583,0.7980446219444275,5,0.5,0.40693163871765137,0.0004
0.9938674569129944,39,2.503270387649536,0.8157120943069458,5,0.5,0.4005261957645416,0.0004
0.9936037063598633,40,2.5827016830444336,0.8329334259033203,5,0.5,0.3954765498638153,0.0004
0.9933270812034607,41,2.664303779602051,0.8496793508529663,5,0.5,0.3915646970272064,0.0004
0.9930384755134583,42,2.7480385303497314,0.8658841848373413,5,0.5,0.38868218660354614,0.0004
0.9927530884742737,43,2.8302953243255615,0.8838570713996887,5,0.5,0.38692986965179443,0.0004
0.9924781918525696,44,2.9090452194213867,0.9005616903305054,5,0.5,0.3864555358886719,0.0004
0.9922146797180176,45,2.9841227531433105,0.916364312171936,5,0.5,0.3831554055213928,0.0004
0.9919679760932922,46,3.054460287094116,0.931376576423645,5,0.5,0.3781232237815857,0.0004
0.9917324185371399,47,3.120227575302124,0.9444929361343384,5,0.5,0.3732146918773651,0.0004
0.9914935231208801,48,3.1841557025909424,0.9565927982330322,5,0.5,0.36621448397636414,0.0004
0.9912366271018982,49,3.2493932247161865,0.9684078693389893,5,0.5,0.3576417863368988,0.0004
0.9909660220146179,50,3.3141374588012695,0.9794666171073914,5,0.5,0.3496914207935333,0.0004
0.9906746745109558,51,3.37906813621521,0.9898119568824768,5,0.5,0.3422967791557312,0.0004
0.9903706312179565,52,3.443779945373535,0.9986374974250793,5,0.5,0.3353777527809143,0.0004
0.9900693893432617,53,3.507136344909668,1.0057200193405151,5,0.5,0.32893693447113037,0.0004
0.9897838830947876,54,3.5681846141815186,1.0100423097610474,5,0.5,0.32274842262268066,0.0004
0.9895304441452026,55,3.62640118598938,1.0115506649017334,5,0.5,0.31661275029182434,0.0004
0.9893131852149963,56,3.680675745010376,1.0156513452529907,5,0.5,0.31056755781173706,0.0004
