clip_range,ratios_mean,ratios_min,approx_TV,num_agents,num_epochs,ratios_max,learning_rate
0.2,1.0,1.0,0.0,5,0,1.0,0.0001
0.2,0.9999472498893738,0.9900555610656738,0.005946893244981766,5,1,1.005542516708374,0.0001
0.2,0.9998907446861267,0.979394257068634,0.012365534901618958,5,2,1.0115004777908325,0.0001
0.2,0.9998323917388916,0.9683974981307983,0.01903241127729416,5,3,1.0176808834075928,0.0001
0.2,0.9997729659080505,0.9572156667709351,0.025853585451841354,5,4,1.024017572402954,0.0001
0.2,0.9997128248214722,0.9460440278053284,0.03278287500143051,5,5,1.0305018424987793,0.0001
0.2,0.9996523261070251,0.9348717927932739,0.03979293629527092,5,6,1.0371100902557373,0.0001
0.2,0.9995911121368408,0.9236807823181152,0.04686238244175911,5,7,1.0438189506530762,0.0001
0.2,0.9995294213294983,0.9124886989593506,0.05398459732532501,5,8,1.050613284111023,0.0001
0.2,0.9994671940803528,0.9013130068778992,0.06114490330219269,5,9,1.057486653327942,0.0001
0.2,0.9994045495986938,0.8901663422584534,0.06835047900676727,5,10,1.064433217048645,0.0001
0.2,0.9993415474891663,0.8790578246116638,0.07559701800346375,5,11,1.0714598894119263,0.0001
0.2,0.9992786049842834,0.8679881691932678,0.08287344872951508,5,12,1.0785573720932007,0.0001
0.2,0.9992155432701111,0.8568910360336304,0.09017129242420197,5,13,1.0857515335083008,0.0001
0.2,0.999152421951294,0.8458451628684998,0.09749598801136017,5,14,1.0930101871490479,0.0001
0.2,0.9990891814231873,0.8348631858825684,0.10483673214912415,5,15,1.1003223657608032,0.0001
0.2,0.9990255832672119,0.8239573240280151,0.1122293472290039,5,16,1.1076712608337402,0.0001
0.2,0.9989619255065918,0.813116192817688,0.11972752958536148,5,17,1.1151026487350464,0.0001
0.2,0.9988981485366821,0.8022308945655823,0.12725499272346497,5,18,1.1225969791412354,0.0001
0.2,0.9988340735435486,0.791408360004425,0.13481098413467407,5,19,1.1301456689834595,0.0001
0.2,0.9987711906433105,0.781085729598999,0.1422918736934662,5,20,1.1376934051513672,0.0001
0.2,0.9987116456031799,0.7718946933746338,0.14951492846012115,5,21,1.145103096961975,0.0001
0.2,0.9986564517021179,0.7640125751495361,0.15642642974853516,5,22,1.1522883176803589,0.0001
0.2,0.9986051917076111,0.7572753429412842,0.16301974654197693,5,23,1.1592257022857666,0.0001
0.2,0.9985573291778564,0.7515772581100464,0.1693323254585266,5,24,1.1659419536590576,0.0001
0.2,0.9985129833221436,0.7466006278991699,0.17536738514900208,5,25,1.1724319458007812,0.0001
0.2,0.9984716773033142,0.7420616745948792,0.18115609884262085,5,26,1.1787185668945312,0.0001
0.2,0.9984334707260132,0.7382317781448364,0.18671713769435883,5,27,1.184806227684021,0.0001
0.2,0.9983978271484375,0.7350581884384155,0.19205760955810547,5,28,1.190697193145752,0.0001
0.2,0.9983646869659424,0.7324614524841309,0.19720226526260376,5,29,1.1964142322540283,0.0001
0.2,0.9983347654342651,0.7304240465164185,0.20206524431705475,5,30,1.2017416954040527,0.0001
0.2,0.9983083605766296,0.728909969329834,0.20657111704349518,5,31,1.2064805030822754,0.0001
0.2,0.9982857704162598,0.7278737425804138,0.21173420548439026,5,32,1.2106729745864868,0.0001
0.2,0.9982663989067078,0.7272587418556213,0.21669578552246094,5,33,1.2143751382827759,0.0001
0.2,0.9982499480247498,0.7270286679267883,0.22146117687225342,5,34,1.2176384925842285,0.0001
0.2,0.9982362985610962,0.7271422743797302,0.22603583335876465,5,35,1.2204978466033936,0.0001
0.2,0.9982258081436157,0.7275607585906982,0.23041751980781555,5,36,1.22296941280365,0.0001
0.2,0.9982178211212158,0.728258490562439,0.2346591353416443,5,37,1.2250884771347046,0.0001
0.2,0.998211681842804,0.7292056679725647,0.23889410495758057,5,38,1.2295260429382324,0.0001
0.2,0.9982074499130249,0.7303192019462585,0.24299442768096924,5,39,1.2348058223724365,0.0001
0.2,0.9982041716575623,0.7315453290939331,0.24696306884288788,5,40,1.2399344444274902,0.0001
0.2,0.9982021450996399,0.7328488230705261,0.2507860064506531,5,41,1.2449125051498413,0.0001
