num_epochs,ratios_mean,ratios_min,approx_TV,ratios_max,num_agents,clip_range,learning_rate
0,1.0,1.0,0.0,1.0,5,0.5,0.0005
1,0.9999703168869019,0.9769889116287231,0.01637732982635498,1.026847004890442,5,0.5,0.0005
2,0.9999375939369202,0.951579213142395,0.03460460901260376,1.0569349527359009,5,0.5,0.0005
3,0.9999041557312012,0.9250627160072327,0.05373460799455643,1.0892211198806763,5,0.5,0.0005
4,0.999869167804718,0.8981534838676453,0.07361674308776855,1.1233876943588257,5,0.5,0.0005
5,0.9998319149017334,0.8712173104286194,0.09422852098941803,1.1593691110610962,5,0.5,0.0005
6,0.9997928738594055,0.8444485664367676,0.11552663147449493,1.1972023248672485,5,0.5,0.0005
7,0.9997519850730896,0.8179420232772827,0.13738536834716797,1.2366563081741333,5,0.5,0.0005
8,0.9997103810310364,0.7918079495429993,0.15986235439777374,1.2784655094146729,5,0.5,0.0005
9,0.9996679425239563,0.7660647630691528,0.18285611271858215,1.3221328258514404,5,0.5,0.0005
10,0.9996231198310852,0.7408154010772705,0.2063901126384735,1.367661952972412,5,0.5,0.0005
11,0.9995775818824768,0.7161264419555664,0.2303747832775116,1.4151943922042847,5,0.5,0.0005
12,0.9995311498641968,0.6919521689414978,0.25496071577072144,1.46482515335083,5,0.5,0.0005
13,0.999485433101654,0.6682780385017395,0.2802504301071167,1.5168039798736572,5,0.5,0.0005
14,0.9994406700134277,0.6451007127761841,0.3062376379966736,1.5710750818252563,5,0.5,0.0005
15,0.9993947744369507,0.6224315762519836,0.3327660858631134,1.6282122135162354,5,0.5,0.0005
16,0.9993503093719482,0.6000874638557434,0.3601123094558716,1.6879593133926392,5,0.5,0.0005
17,0.9993051886558533,0.5750686526298523,0.38806992769241333,1.750283122062683,5,0.5,0.0005
18,0.9992601871490479,0.5502331256866455,0.41684383153915405,1.8150911331176758,5,0.5,0.0005
19,0.9992154240608215,0.5256010293960571,0.4464762806892395,1.8830431699752808,5,0.5,0.0005
20,0.9991710782051086,0.5012776851654053,0.47673743963241577,1.9553345441818237,5,0.5,0.0005
21,0.9991275072097778,0.4772336781024933,0.5077973008155823,2.0317156314849854,5,0.5,0.0005
22,0.9990895390510559,0.4551383852958679,0.539605975151062,2.1107842922210693,5,0.5,0.0005
23,0.9990570545196533,0.4344421327114105,0.5721495747566223,2.1925361156463623,5,0.5,0.0005
24,0.9990302324295044,0.4156334102153778,0.6055192351341248,2.276684284210205,5,0.5,0.0005
25,0.9990159869194031,0.39942267537117004,0.6399463415145874,2.360513687133789,5,0.5,0.0005
26,0.9990087747573853,0.3853054344654083,0.6748757362365723,2.4445955753326416,5,0.5,0.0005
27,0.9990084171295166,0.3733625113964081,0.709953784942627,2.5278210639953613,5,0.5,0.0005
28,0.9990152716636658,0.3633965253829956,0.7452248930931091,2.608273983001709,5,0.5,0.0005
29,0.9990168213844299,0.3555908799171448,0.7794467210769653,2.6861696243286133,5,0.5,0.0005
30,0.9990044236183167,0.3495885133743286,0.8118072748184204,2.761183738708496,5,0.5,0.0005
31,0.9989698529243469,0.3385699689388275,0.8417267203330994,2.8329474925994873,5,0.5,0.0005
32,0.9989049434661865,0.3262043595314026,0.8697481155395508,2.90110182762146,5,0.5,0.0005
33,0.9987959265708923,0.31554511189460754,0.8948519229888916,2.9662177562713623,5,0.5,0.0005
34,0.9986531138420105,0.30639877915382385,0.9166010022163391,3.0271849632263184,5,0.5,0.0005
35,0.9984868168830872,0.29865097999572754,0.9355435967445374,3.0838418006896973,5,0.5,0.0005
