num_agents,ratios_max,num_epochs,ratios_min,ratios_mean,approx_TV,clip_range,learning_rate
5,1.0,0,1.0,1.0,0.0,0.4,0.0003
5,1.0136698484420776,1,0.9870640635490417,0.9998777508735657,0.012007676064968109,0.4,0.0003
5,1.0287692546844482,2,0.9728100299835205,0.9997419714927673,0.025023318827152252,0.4,0.0003
5,1.0447505712509155,3,0.957927405834198,0.9996004104614258,0.03853398561477661,0.4,0.0003
5,1.0614062547683716,4,0.9427206516265869,0.9994543194770813,0.05235891044139862,0.4,0.0003
5,1.0786651372909546,5,0.9273822903633118,0.9993042349815369,0.06638651341199875,0.4,0.0003
5,1.0965467691421509,6,0.91206294298172,0.9991497993469238,0.08046503365039825,0.4,0.0003
5,1.1150814294815063,7,0.8968499898910522,0.9989915490150452,0.09464114159345627,0.4,0.0003
5,1.1341701745986938,8,0.8815997242927551,0.9988303780555725,0.10890220105648041,0.4,0.0003
5,1.153882384300232,9,0.8663796186447144,0.9986671209335327,0.12313321232795715,0.4,0.0003
5,1.1741020679473877,10,0.8511813879013062,0.9985013604164124,0.13742733001708984,0.4,0.0003
5,1.194936990737915,11,0.8360252380371094,0.9983342885971069,0.15177424252033234,0.4,0.0003
5,1.2162913084030151,12,0.8209956288337708,0.9981653094291687,0.16616854071617126,0.4,0.0003
5,1.2381988763809204,13,0.805962085723877,0.9979948401451111,0.18072763085365295,0.4,0.0003
5,1.2604882717132568,14,0.7909125089645386,0.9978221654891968,0.19532234966754913,0.4,0.0003
5,1.2833988666534424,15,0.7758557200431824,0.9976468682289124,0.20998206734657288,0.4,0.0003
5,1.306793212890625,16,0.7608233690261841,0.9974697232246399,0.2247096747159958,0.4,0.0003
5,1.331182837486267,17,0.7457981109619141,0.9972903728485107,0.23951411247253418,0.4,0.0003
5,1.3566910028457642,18,0.7308412194252014,0.9971103668212891,0.25446802377700806,0.4,0.0003
5,1.3830456733703613,19,0.7159497141838074,0.9969289898872375,0.26975712180137634,0.4,0.0003
5,1.4103096723556519,20,0.7011316418647766,0.996746301651001,0.2852649390697479,0.4,0.0003
5,1.438551902770996,21,0.6864047646522522,0.9965614676475525,0.3009718656539917,0.4,0.0003
5,1.4677913188934326,22,0.6717805862426758,0.9963741898536682,0.3168908357620239,0.4,0.0003
5,1.4979711771011353,23,0.6572378873825073,0.996184766292572,0.3330545723438263,0.4,0.0003
5,1.5290864706039429,24,0.6428400874137878,0.9959949254989624,0.34949159622192383,0.4,0.0003
5,1.5611152648925781,25,0.6286244988441467,0.9958044290542603,0.36617928743362427,0.4,0.0003
5,1.5941470861434937,26,0.614492654800415,0.9956128597259521,0.38313865661621094,0.4,0.0003
5,1.6283131837844849,27,0.6004489064216614,0.9954153299331665,0.40014711022377014,0.4,0.0003
5,1.663794994354248,28,0.5859636664390564,0.9952073693275452,0.4169950485229492,0.4,0.0003
5,1.7002403736114502,29,0.5708167552947998,0.9949918389320374,0.4337005913257599,0.4,0.0003
5,1.7371731996536255,30,0.5564154386520386,0.994771420955658,0.4502785801887512,0.4,0.0003
5,1.7745018005371094,31,0.5431221723556519,0.9945530891418457,0.46679776906967163,0.4,0.0003
5,1.8118387460708618,32,0.5311234593391418,0.9943413138389587,0.48311394453048706,0.4,0.0003
5,1.8491984605789185,33,0.5204030275344849,0.9941378831863403,0.4992237985134125,0.4,0.0003
5,1.8865468502044678,34,0.5108577013015747,0.9939440488815308,0.5151382088661194,0.4,0.0003
5,1.9231693744659424,35,0.5022337436676025,0.9937577247619629,0.5308847427368164,0.4,0.0003
5,1.958660364151001,36,0.4945610463619232,0.9935789108276367,0.5463349223136902,0.4,0.0003
5,1.9921656847000122,37,0.4878011643886566,0.9934061765670776,0.5614603161811829,0.4,0.0003
5,2.02327823638916,38,0.481913685798645,0.9932409524917603,0.5768650770187378,0.4,0.0003
5,2.049586057662964,39,0.4774596095085144,0.9930897951126099,0.5917050242424011,0.4,0.0003
5,2.0714187622070312,40,0.4743663966655731,0.9929529428482056,0.6059874296188354,0.4,0.0003
5,2.088968515396118,41,0.4726090729236603,0.992831289768219,0.6201978921890259,0.4,0.0003
5,2.1027164459228516,42,0.47186025977134705,0.9927160739898682,0.6337182521820068,0.4,0.0003
5,2.113342761993408,43,0.4719661474227905,0.9926113486289978,0.6464906334877014,0.4,0.0003
5,2.121202230453491,44,0.47278863191604614,0.9925124049186707,0.6584271192550659,0.4,0.0003
5,2.1266775131225586,45,0.47302839159965515,0.9924160242080688,0.6696007251739502,0.4,0.0003
5,2.130891799926758,46,0.46598950028419495,0.992322564125061,0.6798548102378845,0.4,0.0003
5,2.1350340843200684,47,0.45949316024780273,0.992231011390686,0.6891442537307739,0.4,0.0003
5,2.140491247177124,48,0.4536791145801544,0.9921162128448486,0.697001576423645,0.4,0.0003
5,2.1486260890960693,49,0.44849687814712524,0.9919754862785339,0.7035486698150635,0.4,0.0003
5,2.159507989883423,50,0.4439522325992584,0.9917996525764465,0.7088882327079773,0.4,0.0003
5,2.1728827953338623,51,0.43996429443359375,0.9915897846221924,0.7146614789962769,0.4,0.0003
5,2.188316822052002,52,0.436443567276001,0.9913503527641296,0.719628095626831,0.4,0.0003
5,2.205463409423828,53,0.43332692980766296,0.9910753965377808,0.7235115766525269,0.4,0.0003
5,2.224214792251587,54,0.430507093667984,0.9907693862915039,0.7264977693557739,0.4,0.0003
5,2.243819236755371,55,0.4278520941734314,0.9904405474662781,0.7287564873695374,0.4,0.0003
5,2.2644922733306885,56,0.42534658312797546,0.990094006061554,0.7303599119186401,0.4,0.0003
