learning_rate,num_agents,approx_TV,ratios_max,clip_range,num_epochs,ratios_min,ratios_mean
0.0004,5,0.0,1.0,0.3,0,1.0,1.0
0.0004,5,0.023749563843011856,1.0221803188323975,0.3,1,0.9605352282524109,0.9997896552085876
0.0004,5,0.04927456006407738,1.0462591648101807,0.3,2,0.9195838570594788,0.9995670914649963
0.0004,5,0.07566702365875244,1.0715463161468506,0.3,3,0.8784158229827881,0.9993368983268738
0.0004,5,0.10259794443845749,1.0978569984436035,0.3,4,0.8373430967330933,0.9991034269332886
0.0004,5,0.13005928695201874,1.1248663663864136,0.3,5,0.7965282201766968,0.9988678097724915
0.0004,5,0.15813224017620087,1.152569055557251,0.3,6,0.7562825083732605,0.9986308217048645
0.0004,5,0.1866186112165451,1.1808661222457886,0.3,7,0.7166321873664856,0.9983932971954346
0.0004,5,0.21554705500602722,1.2097926139831543,0.3,8,0.6780776977539062,0.998155415058136
0.0004,5,0.24429623782634735,1.238953948020935,0.3,9,0.6430018544197083,0.9979233145713806
0.0004,5,0.2715764343738556,1.2675241231918335,0.3,10,0.6146634221076965,0.9977093935012817
0.0004,5,0.2974327802658081,1.2954224348068237,0.3,11,0.5920816659927368,0.9975121021270752
0.0004,5,0.3219992518424988,1.3224749565124512,0.3,12,0.5743838548660278,0.9973308444023132
0.0004,5,0.3445360064506531,1.347080111503601,0.3,13,0.560837984085083,0.9971712231636047
0.0004,5,0.3678911030292511,1.369236707687378,0.3,14,0.5490992069244385,0.9970329999923706
0.0004,5,0.3904876112937927,1.3891528844833374,0.3,15,0.5402833223342896,0.9969145059585571
0.0004,5,0.41215968132019043,1.414629578590393,0.3,16,0.5341906547546387,0.9968153238296509
0.0004,5,0.43231678009033203,1.4436551332473755,0.3,17,0.5304958820343018,0.9967289566993713
0.0004,5,0.45089998841285706,1.4718067646026611,0.3,18,0.5288868546485901,0.9966555237770081
0.0004,5,0.46722012758255005,1.498836874961853,0.3,19,0.5290172100067139,0.9965999722480774
0.0004,5,0.48142921924591064,1.5249043703079224,0.3,20,0.5307700634002686,0.9965600967407227
0.0004,5,0.49335986375808716,1.5495312213897705,0.3,21,0.5342100262641907,0.9965381026268005
0.0004,5,0.503691554069519,1.5731935501098633,0.3,22,0.5390888452529907,0.9965283274650574
0.0004,5,0.5125458836555481,1.596009373664856,0.3,23,0.545194685459137,0.9965326189994812
0.0004,5,0.5200125575065613,1.6176800727844238,0.3,24,0.5518385171890259,0.9965497255325317
0.0004,5,0.5250568985939026,1.6363000869750977,0.3,25,0.5589166283607483,0.9965919256210327
0.0004,5,0.5277724266052246,1.651452898979187,0.3,26,0.5663882493972778,0.9966562390327454
0.0004,5,0.5279010534286499,1.6627827882766724,0.3,27,0.5744208097457886,0.9967383146286011
0.0004,5,0.5263355374336243,1.6703605651855469,0.3,28,0.5824034214019775,0.9968235492706299
0.0004,5,0.5237045288085938,1.675487756729126,0.3,29,0.5853579044342041,0.9969044327735901
0.0004,5,0.5208969712257385,1.6778124570846558,0.3,30,0.5768875479698181,0.996971070766449
0.0004,5,0.5187126994132996,1.678907036781311,0.3,31,0.5699540376663208,0.9970027804374695
0.0004,5,0.5178878307342529,1.6794981956481934,0.3,32,0.5643962621688843,0.9970030784606934
0.0004,5,0.5195665955543518,1.6798726320266724,0.3,33,0.560038149356842,0.9969701170921326
0.0004,5,0.522847592830658,1.6803483963012695,0.3,34,0.5568235516548157,0.996910035610199
0.0004,5,0.5265926122665405,1.6807788610458374,0.3,35,0.5544928312301636,0.9968363642692566
0.0004,5,0.5291554927825928,1.6811119318008423,0.3,36,0.553027331829071,0.9967655539512634
0.0004,5,0.530565619468689,1.6815139055252075,0.3,37,0.5523943901062012,0.9966992139816284
0.0004,5,0.5309131741523743,1.6820244789123535,0.3,38,0.5525097846984863,0.9966400265693665
0.0004,5,0.5302974581718445,1.6826112270355225,0.3,39,0.5530038475990295,0.9965887665748596
0.0004,5,0.5303816795349121,1.6852374076843262,0.3,40,0.5537082552909851,0.9965287446975708
0.0004,5,0.5314129590988159,1.6906836032867432,0.3,41,0.5545768737792969,0.9964561462402344
0.0004,5,0.5331682562828064,1.6989624500274658,0.3,42,0.5555837154388428,0.9963721036911011
0.0004,5,0.5353111028671265,1.7089444398880005,0.3,43,0.5567469596862793,0.9962775111198425
0.0004,5,0.5376664400100708,1.7187458276748657,0.3,44,0.5580704212188721,0.996178388595581
0.0004,5,0.5390033721923828,1.7268418073654175,0.3,45,0.5594204068183899,0.9960871338844299
0.0004,5,0.5388109087944031,1.731879472732544,0.3,46,0.5607600808143616,0.996015727519989
0.0004,5,0.5398786067962646,1.733901858329773,0.3,47,0.5619679689407349,0.9959654211997986
0.0004,5,0.5413763523101807,1.7339495420455933,0.3,48,0.5627536773681641,0.9959088563919067
0.0004,5,0.5426888465881348,1.732079267501831,0.3,49,0.5596612095832825,0.9958370327949524
0.0004,5,0.5442052483558655,1.732017993927002,0.3,50,0.556415855884552,0.9957461953163147
0.0004,5,0.5458929538726807,1.7426903247833252,0.3,51,0.5523205399513245,0.9956470131874084
0.0004,5,0.5476881861686707,1.7521650791168213,0.3,52,0.5467512607574463,0.9955534338951111
0.0004,5,0.5498757362365723,1.760542631149292,0.3,53,0.541555643081665,0.9954632520675659
0.0004,5,0.5524288415908813,1.7678536176681519,0.3,54,0.5367572903633118,0.995377242565155
0.0004,5,0.5558295845985413,1.7739499807357788,0.3,55,0.5326343774795532,0.9952884912490845
0.0004,5,0.559267520904541,1.7791870832443237,0.3,56,0.5289456844329834,0.9952042102813721
0.0004,5,0.5624732375144958,1.7844016551971436,0.3,57,0.5253115892410278,0.9951356053352356
0.0004,5,0.5662807822227478,1.7914047241210938,0.3,58,0.5216358304023743,0.9950765371322632
0.0004,5,0.5700827240943909,1.8006824254989624,0.3,59,0.5178609490394592,0.9950295090675354
0.0004,5,0.5735098123550415,1.8118215799331665,0.3,60,0.5141193866729736,0.9949885010719299
0.0004,5,0.5765368938446045,1.8264468908309937,0.3,61,0.5107144117355347,0.9949221014976501
0.0004,5,0.5792548060417175,1.8436473608016968,0.3,62,0.5075674057006836,0.9948350191116333
0.0004,5,0.5824258923530579,1.8590043783187866,0.3,63,0.5038742423057556,0.9947566986083984
0.0004,5,0.5857110023498535,1.8732035160064697,0.3,64,0.49955058097839355,0.9946869015693665
0.0004,5,0.5891942977905273,1.8864727020263672,0.3,65,0.49490106105804443,0.9946073889732361
0.0004,5,0.593124270439148,1.8971023559570312,0.3,66,0.48978880047798157,0.9945217370986938
0.0004,5,0.5973442792892456,1.9052634239196777,0.3,67,0.48433586955070496,0.9944348335266113
0.0004,5,0.6011865735054016,1.9114031791687012,0.3,68,0.47837361693382263,0.9943615794181824
0.0004,5,0.6047608852386475,1.9171552658081055,0.3,69,0.4719967842102051,0.9942918419837952
0.0004,5,0.6074854135513306,1.9239494800567627,0.3,70,0.4655537009239197,0.9942156076431274
0.0004,5,0.6097276210784912,1.9321675300598145,0.3,71,0.4540345370769501,0.994095504283905
0.0004,5,0.6108826398849487,1.9391567707061768,0.3,72,0.4434303343296051,0.9939821362495422
0.0004,5,0.6112653017044067,1.9452710151672363,0.3,73,0.43359285593032837,0.9938802123069763
0.0004,5,0.6147780418395996,1.956498146057129,0.3,74,0.4244364798069,0.9937596917152405
0.0004,5,0.6222686171531677,1.9718451499938965,0.3,75,0.41553401947021484,0.9936226606369019
0.0004,5,0.6299002170562744,1.9903192520141602,0.3,76,0.4070082902908325,0.9934924840927124
0.0004,5,0.6369422078132629,2.0136842727661133,0.3,77,0.3986268639564514,0.9933409094810486
0.0004,5,0.6439125537872314,2.0380165576934814,0.3,78,0.39055338501930237,0.9932184219360352
0.0004,5,0.6501065492630005,2.0601015090942383,0.3,79,0.38335323333740234,0.9931154847145081
0.0004,5,0.6548994779586792,2.080766201019287,0.3,80,0.37729912996292114,0.9930091500282288
0.0004,5,0.6657555103302002,2.099128484725952,0.3,81,0.37141549587249756,0.9928768277168274
0.0004,5,0.6790451407432556,2.1108744144439697,0.3,82,0.36478766798973083,0.9928018450737
0.0004,5,0.690060019493103,2.120565414428711,0.3,83,0.35795116424560547,0.9927583932876587
0.0004,5,0.7008017301559448,2.1290431022644043,0.3,84,0.35136017203330994,0.9927126169204712
0.0004,5,0.7113804817199707,2.1447267532348633,0.3,85,0.34553003311157227,0.9926493763923645
0.0004,5,0.7213431000709534,2.1669790744781494,0.3,86,0.34023162722587585,0.992583155632019
0.0004,5,0.7316267490386963,2.189985513687134,0.3,87,0.335916131734848,0.9924603700637817
0.0004,5,0.7393974661827087,2.2059435844421387,0.3,88,0.33170342445373535,0.9923771619796753
0.0004,5,0.7440313696861267,2.214663028717041,0.3,89,0.3266555368900299,0.9923397302627563
0.0004,5,0.7477019429206848,2.229551076889038,0.3,90,0.3214969336986542,0.9923144578933716
0.0004,5,0.7532857656478882,2.2464206218719482,0.3,91,0.31670063734054565,0.9922250509262085
0.0004,5,0.7591596841812134,2.2621235847473145,0.3,92,0.3118879497051239,0.9921471476554871
0.0004,5,0.7640722990036011,2.276752471923828,0.3,93,0.3066282570362091,0.9920926094055176
0.0004,5,0.7681528925895691,2.289644956588745,0.3,94,0.3017703592777252,0.9920592308044434
0.0004,5,0.7704950571060181,2.299741268157959,0.3,95,0.2974177300930023,0.9920554757118225
