approx_TV,num_agents,clip_range,num_epochs,learning_rate,ratios_mean,ratios_max,ratios_min
0.0,5,0.1,0,0.0002,1.0,1.0,1.0
0.008586034178733826,5,0.1,1,0.0002,0.9999471306800842,1.00972318649292,0.992461085319519
0.017995387315750122,5,0.1,2,0.0002,0.9998891353607178,1.0204492807388306,0.9842654466629028
0.027842871844768524,5,0.1,3,0.0002,0.9998282790184021,1.0317851305007935,0.975756824016571
0.037984926253557205,5,0.1,4,0.0002,0.9997652173042297,1.043605923652649,0.9670517444610596
0.04833822697401047,5,0.1,5,0.0002,0.9997000098228455,1.05581796169281,0.9582156538963318
0.058872584253549576,5,0.1,6,0.0002,0.9996325373649597,1.0683846473693848,0.9492841958999634
0.06957535445690155,5,0.1,7,0.0002,0.999563455581665,1.081275224685669,0.9402880668640137
0.08042387664318085,5,0.1,8,0.0002,0.9994930624961853,1.094483494758606,0.9312390685081482
0.09140481054782867,5,0.1,9,0.0002,0.999420702457428,1.1080318689346313,0.9221416711807251
0.10250833630561829,5,0.1,10,0.0002,0.9993467926979065,1.1218938827514648,0.9129871726036072
0.11342446506023407,5,0.1,11,0.0002,0.9992735385894775,1.1353554725646973,0.9038581848144531
0.12372280657291412,5,0.1,12,0.0002,0.9992062449455261,1.1472218036651611,0.8948800563812256
0.13305847346782684,5,0.1,13,0.0002,0.9991499781608582,1.1565266847610474,0.886208176612854
0.14155270159244537,5,0.1,14,0.0002,0.999104917049408,1.1635769605636597,0.8785085082054138
0.14918741583824158,5,0.1,15,0.0002,0.9990707039833069,1.168573021888733,0.872390627861023
0.1556192934513092,5,0.1,16,0.0002,0.9990496039390564,1.1746379137039185,0.868403971195221
0.16093461215496063,5,0.1,17,0.0002,0.9990399479866028,1.1793519258499146,0.8662548661231995
0.1668856143951416,5,0.1,18,0.0002,0.9990347027778625,1.183672547340393,0.8658230304718018
0.17344364523887634,5,0.1,19,0.0002,0.9990314245223999,1.1877673864364624,0.8620328903198242
0.17957913875579834,5,0.1,20,0.0002,0.9990296363830566,1.191774845123291,0.8583993315696716
0.1851668357849121,5,0.1,21,0.0002,0.9990264773368835,1.1959162950515747,0.8556089997291565
0.1899224817752838,5,0.1,22,0.0002,0.9990212321281433,1.2002370357513428,0.853468120098114
0.19411298632621765,5,0.1,23,0.0002,0.9990131855010986,1.2047213315963745,0.8517772555351257
0.19802674651145935,5,0.1,24,0.0002,0.9990020990371704,1.2095153331756592,0.8477594256401062
0.20117411017417908,5,0.1,25,0.0002,0.9989844560623169,1.2150113582611084,0.8428483605384827
0.2036401629447937,5,0.1,26,0.0002,0.9989621043205261,1.2209678888320923,0.8380428552627563
0.20547421276569366,5,0.1,27,0.0002,0.998936116695404,1.2271305322647095,0.8332338929176331
0.2073010951280594,5,0.1,28,0.0002,0.9989074468612671,1.2334729433059692,0.828438401222229
0.2088029980659485,5,0.1,29,0.0002,0.998875617980957,1.239985704421997,0.8236697316169739
0.2100350707769394,5,0.1,30,0.0002,0.9988422393798828,1.2463369369506836,0.8190097808837891
0.21117529273033142,5,0.1,31,0.0002,0.9988088011741638,1.252419352531433,0.8143923878669739
0.21217018365859985,5,0.1,32,0.0002,0.9987745881080627,1.2582606077194214,0.8098981380462646
0.21291711926460266,5,0.1,33,0.0002,0.9987425804138184,1.263404369354248,0.8055981993675232
0.2133476883172989,5,0.1,34,0.0002,0.9987160563468933,1.2676016092300415,0.8017508387565613
0.21342159807682037,5,0.1,35,0.0002,0.9986943602561951,1.2708306312561035,0.7984086275100708
0.21319282054901123,5,0.1,36,0.0002,0.9986773729324341,1.2732257843017578,0.7955690026283264
0.2125312089920044,5,0.1,37,0.0002,0.9986612200737,1.2750624418258667,0.7933189868927002
0.21143539249897003,5,0.1,38,0.0002,0.9986459612846375,1.276667594909668,0.7917311191558838
