ratios_min,num_epochs,clip_range,ratios_mean,num_agents,approx_TV,learning_rate,ratios_max
1.0,0,0.4,1.0,5,0.0,0.0005,1.0
0.981225311756134,1,0.4,0.9998683333396912,5,0.02146843820810318,0.0005,1.0244489908218384
0.9610233902931213,2,0.4,0.9997231364250183,5,0.044985268265008926,0.0005,1.0518723726272583
0.9401721358299255,3,0.4,0.9995667934417725,5,0.0696505606174469,0.0005,1.0813279151916504
0.9189761877059937,4,0.4,0.9994016289710999,5,0.09516357630491257,0.0005,1.1125757694244385
0.8975117802619934,5,0.4,0.9992275238037109,5,0.12138228863477707,0.0005,1.1455814838409424
0.87574702501297,6,0.4,0.9990445375442505,5,0.1481955647468567,0.0005,1.1804226636886597
0.8537611961364746,7,0.4,0.9988535642623901,5,0.17562609910964966,0.0005,1.2172309160232544
0.8316212892532349,8,0.4,0.9986515641212463,5,0.20361220836639404,0.0005,1.2560429573059082
0.8094046115875244,9,0.4,0.9984378814697266,5,0.2321701943874359,0.0005,1.2969963550567627
0.7871510982513428,10,0.4,0.9982136487960815,5,0.26142796874046326,0.0005,1.3402374982833862
0.7648861408233643,11,0.4,0.9979774355888367,5,0.2914288640022278,0.0005,1.3859913349151611
0.7426172494888306,12,0.4,0.997728705406189,5,0.32243335247039795,0.0005,1.4345310926437378
0.7203622460365295,13,0.4,0.9974667429924011,5,0.35446038842201233,0.0005,1.4861773252487183
0.6981812119483948,14,0.4,0.9971967339515686,5,0.3867790400981903,0.0005,1.539103388786316
0.6763843297958374,15,0.4,0.9969404935836792,5,0.4174264669418335,0.0005,1.5882866382598877
0.6551816463470459,16,0.4,0.996701180934906,5,0.4464093744754791,0.0005,1.6327300071716309
0.6349098086357117,17,0.4,0.996496856212616,5,0.4720972776412964,0.0005,1.6736235618591309
0.6155586838722229,18,0.4,0.9963245987892151,5,0.49516940116882324,0.0005,1.713660478591919
0.5969725251197815,19,0.4,0.9961807131767273,5,0.5168765783309937,0.0005,1.7495908737182617
0.5793562531471252,20,0.4,0.9960681200027466,5,0.536563515663147,0.0005,1.781330943107605
0.5629792809486389,21,0.4,0.9959812164306641,5,0.5541315078735352,0.0005,1.8101345300674438
0.5480054616928101,22,0.4,0.9959093928337097,5,0.5710768699645996,0.0005,1.8384817838668823
0.5349428653717041,23,0.4,0.9958545565605164,5,0.5867537260055542,0.0005,1.8664077520370483
0.5243843197822571,24,0.4,0.9958013296127319,5,0.6012805700302124,0.0005,1.896758794784546
0.5165711641311646,25,0.4,0.9957433342933655,5,0.6146227121353149,0.0005,1.9301644563674927
0.5111749768257141,26,0.4,0.9956752061843872,5,0.6270203590393066,0.0005,1.9674957990646362
0.50782310962677,27,0.4,0.9955772161483765,5,0.6399364471435547,0.0005,2.010711669921875
0.5015909671783447,28,0.4,0.9954368472099304,5,0.6614934802055359,0.0005,2.061288833618164
0.4932107925415039,29,0.4,0.9952565431594849,5,0.6814945936203003,0.0005,2.1188204288482666
0.48599106073379517,30,0.4,0.9950414299964905,5,0.6998676061630249,0.0005,2.182802200317383
0.4798106253147125,31,0.4,0.9947903752326965,5,0.7163087129592896,0.0005,2.252349376678467
0.47465452551841736,32,0.4,0.9945078492164612,5,0.7304211258888245,0.0005,2.325305938720703
0.4699972867965698,33,0.4,0.994211733341217,5,0.7439794540405273,0.0005,2.3986942768096924
0.45707082748413086,34,0.4,0.9939145445823669,5,0.7555691003799438,0.0005,2.47013258934021
0.4449540078639984,35,0.4,0.9936290979385376,5,0.7651439905166626,0.0005,2.5381338596343994
0.43343767523765564,36,0.4,0.9933838248252869,5,0.7755279541015625,0.0005,2.5999624729156494
0.4224477708339691,37,0.4,0.9931760430335999,5,0.7847694158554077,0.0005,2.654811382293701
0.4122222363948822,38,0.4,0.992996871471405,5,0.7923141717910767,0.0005,2.7039008140563965
0.4025055170059204,39,0.4,0.9928432703018188,5,0.7981977462768555,0.0005,2.747586250305176
0.39350730180740356,40,0.4,0.9926975965499878,5,0.8030936121940613,0.0005,2.788942575454712
0.3851822316646576,41,0.4,0.9925529360771179,5,0.8077290654182434,0.0005,2.8311421871185303
0.37746626138687134,42,0.4,0.9923936724662781,5,0.8131840229034424,0.0005,2.8752822875976562
0.37094905972480774,43,0.4,0.992211639881134,5,0.8196678757667542,0.0005,2.9232888221740723
0.3658442795276642,44,0.4,0.9920035004615784,5,0.8274098038673401,0.0005,2.9753777980804443
0.3619077503681183,45,0.4,0.9917917847633362,5,0.8357779383659363,0.0005,3.0283823013305664
0.358740895986557,46,0.4,0.9916025400161743,5,0.8453759551048279,0.0005,3.0767483711242676
0.3561595678329468,47,0.4,0.9914491772651672,5,0.854833722114563,0.0005,3.11732816696167
0.35405057668685913,48,0.4,0.9913274049758911,5,0.8669124841690063,0.0005,3.1478140354156494
0.35214146971702576,49,0.4,0.9912286996841431,5,0.8787407279014587,0.0005,3.167282819747925
0.3500889837741852,50,0.4,0.9911401271820068,5,0.8892276287078857,0.0005,3.177870035171509
0.34815457463264465,51,0.4,0.991049587726593,5,0.8988732099533081,0.0005,3.1827869415283203
0.34642449021339417,52,0.4,0.9909477233886719,5,0.9079928994178772,0.0005,3.18475604057312
0.34485283493995667,53,0.4,0.9908319711685181,5,0.9165920615196228,0.0005,3.1837942600250244
0.34396877884864807,54,0.4,0.9906831979751587,5,0.9249928593635559,0.0005,3.1816892623901367
0.343316912651062,55,0.4,0.9905436635017395,5,0.932758092880249,0.0005,3.172593116760254
0.3426315188407898,56,0.4,0.9904223680496216,5,0.9403846263885498,0.0005,3.1585373878479004
