clip_range,num_epochs,ratios_min,approx_TV,learning_rate,ratios_max,num_agents,ratios_mean
0.2,0,1.0,0.0,0.0003,1.0,5,1.0
0.2,1,0.9838499426841736,0.010907750576734543,0.0003,1.0176451206207275,5,0.9997899532318115
0.2,2,0.9663593173027039,0.022925641387701035,0.0003,1.037367582321167,5,0.9995580315589905
0.2,3,0.948322594165802,0.03560437634587288,0.0003,1.0583754777908325,5,0.9993146657943726
0.2,4,0.930014967918396,0.04878340661525726,0.0003,1.0803735256195068,5,0.9990625381469727
0.2,5,0.9116212129592896,0.06235584616661072,0.0003,1.1032143831253052,5,0.9988036155700684
0.2,6,0.8932350873947144,0.07626792788505554,0.0003,1.1269341707229614,5,0.9985389709472656
0.2,7,0.8749099373817444,0.09047386050224304,0.0003,1.1514569520950317,5,0.9982692003250122
0.2,8,0.8566935062408447,0.10498087853193283,0.0003,1.176743507385254,5,0.9979945421218872
0.2,9,0.8385646939277649,0.11975737661123276,0.0003,1.2028138637542725,5,0.997715175151825
0.2,10,0.8205230236053467,0.13478489220142365,0.0003,1.2296355962753296,5,0.9974313974380493
0.2,11,0.8026814460754395,0.15006409585475922,0.0003,1.2572473287582397,5,0.9971437454223633
0.2,12,0.785088837146759,0.1655758172273636,0.0003,1.285276174545288,5,0.9968523979187012
0.2,13,0.7685369849205017,0.1812482625246048,0.0003,1.3137028217315674,5,0.9965593218803406
0.2,14,0.7532588243484497,0.197093665599823,0.0003,1.3423027992248535,5,0.9962696433067322
0.2,15,0.7405890226364136,0.21307560801506042,0.0003,1.370505452156067,5,0.9959897398948669
0.2,16,0.7307215332984924,0.2289869487285614,0.0003,1.3980865478515625,5,0.9957230091094971
0.2,17,0.7235028147697449,0.2447793185710907,0.0003,1.4250750541687012,5,0.9954721927642822
0.2,18,0.7188242077827454,0.26049360632896423,0.0003,1.4504324197769165,5,0.9952333569526672
0.2,19,0.708538830280304,0.2762766480445862,0.0003,1.47384512424469,5,0.9949975609779358
0.2,20,0.6972801685333252,0.2920505404472351,0.0003,1.4952609539031982,5,0.9947695732116699
0.2,21,0.6870015263557434,0.30783188343048096,0.0003,1.5148544311523438,5,0.9945462346076965
0.2,22,0.6778578758239746,0.3235582709312439,0.0003,1.5327099561691284,5,0.9943300485610962
0.2,23,0.6698272228240967,0.339202880859375,0.0003,1.5486564636230469,5,0.9941180348396301
0.2,24,0.6630762815475464,0.3548280596733093,0.0003,1.5624170303344727,5,0.9939056634902954
0.2,25,0.6575621962547302,0.37040984630584717,0.0003,1.5742706060409546,5,0.9936938285827637
