ratios_min,num_epochs,learning_rate,ratios_max,clip_range,approx_TV,num_agents,ratios_mean
1.0,0,0.0004,1.0,0.5,0.0,5,1.0
0.9771173000335693,1,0.0004,1.0156890153884888,0.5,0.022784583270549774,5,0.9999496340751648
0.9527326822280884,2,0.0004,1.0329267978668213,0.5,0.04782965034246445,5,0.9998971223831177
0.9278772473335266,3,0.0004,1.0511149168014526,0.5,0.07430221140384674,5,0.9998421669006348
0.9029313921928406,4,0.0004,1.0700656175613403,0.5,0.10204242169857025,5,0.999787449836731
0.8781481385231018,5,0.0004,1.089651107788086,0.5,0.13082802295684814,5,0.9997358322143555
0.8535159230232239,6,0.0004,1.1098442077636719,0.5,0.1607106477022171,5,0.9996862411499023
0.8290330767631531,7,0.0004,1.130864143371582,0.5,0.19164836406707764,5,0.9996401071548462
0.8048562407493591,8,0.0004,1.1540135145187378,0.5,0.22364294528961182,5,0.9995960593223572
0.7809928059577942,9,0.0004,1.1779597997665405,0.5,0.25677239894866943,5,0.9995542168617249
0.7574355602264404,10,0.0004,1.202843427658081,0.5,0.2910345494747162,5,0.9995154142379761
0.7342056035995483,11,0.0004,1.2286816835403442,0.5,0.3263588547706604,5,0.9994803071022034
0.7112993001937866,12,0.0004,1.2554775476455688,0.5,0.3629946708679199,5,0.9994493722915649
0.6887181401252747,13,0.0004,1.2833906412124634,0.5,0.40106838941574097,5,0.9994230270385742
0.6664648056030273,14,0.0004,1.312440276145935,0.5,0.44054490327835083,5,0.9993999004364014
0.6445597410202026,15,0.0004,1.3427215814590454,0.5,0.48141080141067505,5,0.9993812441825867
0.6229715347290039,16,0.0004,1.3742320537567139,0.5,0.5238043069839478,5,0.9993651509284973
0.6017726063728333,17,0.0004,1.4070303440093994,0.5,0.5676344037055969,5,0.9993517398834229
0.5809213519096375,18,0.0004,1.4411972761154175,0.5,0.6130395531654358,5,0.999341607093811
0.560416042804718,19,0.0004,1.4767934083938599,0.5,0.659927487373352,5,0.9993372559547424
0.5402605533599854,20,0.0004,1.5138249397277832,0.5,0.7082672119140625,5,0.999337911605835
0.5203927159309387,21,0.0004,1.5509685277938843,0.5,0.7572066783905029,5,0.9993400573730469
0.5006909370422363,22,0.0004,1.5854629278182983,0.5,0.8049095869064331,5,0.9993314743041992
0.4811496436595917,23,0.0004,1.6154156923294067,0.5,0.8500102758407593,5,0.9993047714233398
0.4628582298755646,24,0.0004,1.638084053993225,0.5,0.890509843826294,5,0.9992451071739197
0.4455920159816742,25,0.0004,1.6519067287445068,0.5,0.9229605197906494,5,0.9991213083267212
0.42951545119285583,26,0.0004,1.688659906387329,0.5,0.9482673406600952,5,0.9989331960678101
0.4144234359264374,27,0.0004,1.726057767868042,0.5,0.9673466086387634,5,0.998672366142273
0.4008229076862335,28,0.0004,1.7683355808258057,0.5,0.9813985824584961,5,0.998353123664856
0.38872361183166504,29,0.0004,1.8156064748764038,0.5,0.9913254976272583,5,0.9979888796806335
0.3779987394809723,30,0.0004,1.8651883602142334,0.5,0.9988858699798584,5,0.9975996613502502
0.3685065805912018,31,0.0004,1.9177310466766357,0.5,1.0054881572723389,5,0.997206449508667
0.36019060015678406,32,0.0004,1.9733306169509888,0.5,1.0114532709121704,5,0.9968182444572449
0.3528933823108673,33,0.0004,2.031136989593506,0.5,1.0164527893066406,5,0.9964410066604614
0.34659290313720703,34,0.0004,2.0915470123291016,0.5,1.0199449062347412,5,0.9960845112800598
0.34128227829933167,35,0.0004,2.1536264419555664,0.5,1.0231947898864746,5,0.9957565069198608
0.33678993582725525,36,0.0004,2.2146661281585693,0.5,1.0257025957107544,5,0.9954659938812256
0.33304423093795776,37,0.0004,2.274275541305542,0.5,1.0267566442489624,5,0.9952091574668884
0.3300590217113495,38,0.0004,2.3319954872131348,0.5,1.0266388654708862,5,0.9949869513511658
0.3276573717594147,39,0.0004,2.3878157138824463,0.5,1.0269429683685303,5,0.9947958588600159
0.32581642270088196,40,0.0004,2.4418396949768066,0.5,1.0275883674621582,5,0.9946234822273254
0.32440516352653503,41,0.0004,2.494377851486206,0.5,1.0279078483581543,5,0.994461715221405
0.3233006000518799,42,0.0004,2.545593500137329,0.5,1.0264755487442017,5,0.994292140007019
0.3224252760410309,43,0.0004,2.596384048461914,0.5,1.023107647895813,5,0.9941073060035706
0.321676105260849,44,0.0004,2.6466519832611084,0.5,1.0177257061004639,5,0.9938927888870239
0.3209886848926544,45,0.0004,2.6979024410247803,0.5,1.0104936361312866,5,0.9936445951461792
0.3202430009841919,46,0.0004,2.7520952224731445,0.5,1.002561092376709,5,0.9933674335479736
0.3194247782230377,47,0.0004,2.809260606765747,0.5,0.99570631980896,5,0.9930694699287415
0.31837767362594604,48,0.0004,2.869886875152588,0.5,0.9900498390197754,5,0.9927453398704529
0.31699448823928833,49,0.0004,2.934041976928711,0.5,0.9859831929206848,5,0.9924020171165466
0.314949631690979,50,0.0004,3.0015499591827393,0.5,0.9836068153381348,5,0.9920358061790466
0.31239786744117737,51,0.0004,3.0713000297546387,0.5,0.9834754467010498,5,0.9916634559631348
0.3094819188117981,52,0.0004,3.1426801681518555,0.5,0.985659122467041,5,0.9912969470024109
0.3062974214553833,53,0.0004,3.2160820960998535,0.5,0.9897732734680176,5,0.9909286499023438
0.3028497099876404,54,0.0004,3.291436195373535,0.5,0.995522677898407,5,0.9905558824539185
0.299081027507782,55,0.0004,3.368588447570801,0.5,1.0025142431259155,5,0.9901790022850037
0.29496708512306213,56,0.0004,3.447559356689453,0.5,1.0097806453704834,5,0.9897816181182861
