clip_range,num_agents,ratios_max,ratios_min,num_epochs,approx_TV,ratios_mean,learning_rate
0.4,5,1.0,1.0,0,0.0,1.0,0.0005
0.4,5,1.026847004890442,0.9769889116287231,1,0.01637732982635498,0.9999703168869019,0.0005
0.4,5,1.0569349527359009,0.951579213142395,2,0.03460460901260376,0.9999375939369202,0.0005
0.4,5,1.0892211198806763,0.9250627160072327,3,0.05373460799455643,0.9999041557312012,0.0005
0.4,5,1.1233876943588257,0.8981534838676453,4,0.07361674308776855,0.999869167804718,0.0005
0.4,5,1.1593691110610962,0.8712173104286194,5,0.09422852098941803,0.9998319149017334,0.0005
0.4,5,1.1972023248672485,0.8444485664367676,6,0.11552663147449493,0.9997928738594055,0.0005
0.4,5,1.2366563081741333,0.8179420232772827,7,0.13738536834716797,0.9997519850730896,0.0005
0.4,5,1.2784655094146729,0.7918079495429993,8,0.15986235439777374,0.9997103810310364,0.0005
0.4,5,1.3221328258514404,0.7660647630691528,9,0.18285611271858215,0.9996679425239563,0.0005
0.4,5,1.367661952972412,0.7408154010772705,10,0.2063901126384735,0.9996231198310852,0.0005
0.4,5,1.4151943922042847,0.7161264419555664,11,0.2303747832775116,0.9995775818824768,0.0005
0.4,5,1.46482515335083,0.6919521689414978,12,0.25496071577072144,0.9995311498641968,0.0005
0.4,5,1.5168039798736572,0.6682780385017395,13,0.2802504301071167,0.999485433101654,0.0005
0.4,5,1.5710750818252563,0.6451007127761841,14,0.3062376379966736,0.9994406700134277,0.0005
0.4,5,1.6282122135162354,0.6224315762519836,15,0.3327660858631134,0.9993947744369507,0.0005
0.4,5,1.6879593133926392,0.6000874638557434,16,0.3601123094558716,0.9993503093719482,0.0005
0.4,5,1.750283122062683,0.5750686526298523,17,0.38806992769241333,0.9993051886558533,0.0005
0.4,5,1.8137043714523315,0.5522888898849487,18,0.41671571135520935,0.9992649555206299,0.0005
0.4,5,1.8782633543014526,0.5326125621795654,19,0.44602224230766296,0.9992302656173706,0.0005
