num_epochs,ratios_min,ratios_mean,learning_rate,approx_TV,clip_range,num_agents,ratios_max
0,1.0,1.0,0.0001,0.0,0.4,5,1.0
1,0.9946921467781067,0.9999687671661377,0.0001,0.00420030951499939,0.4,5,1.0046606063842773
2,0.9889382123947144,0.9999353885650635,0.0001,0.008792638778686523,0.4,5,1.0097867250442505
3,0.9829577207565308,0.999900758266449,0.0001,0.013589892536401749,0.4,5,1.015182614326477
4,0.9768536686897278,0.999865710735321,0.0001,0.01851993426680565,0.4,5,1.0207748413085938
5,0.9706747531890869,0.9998304843902588,0.0001,0.023554906249046326,0.4,5,1.026522159576416
6,0.9644574522972107,0.99979567527771,0.0001,0.02866845205426216,0.4,5,1.0324000120162964
7,0.9582176804542542,0.9997606873512268,0.0001,0.033837515860795975,0.4,5,1.0383919477462769
8,0.9519681930541992,0.9997259378433228,0.0001,0.0390453040599823,0.4,5,1.044487714767456
9,0.9457219839096069,0.9996913075447083,0.0001,0.04429204761981964,0.4,5,1.0506826639175415
10,0.9394844770431519,0.9996572136878967,0.0001,0.04956488311290741,0.4,5,1.0569727420806885
11,0.9332637786865234,0.9996228814125061,0.0001,0.05485901981592178,0.4,5,1.0633469820022583
12,0.9270625114440918,0.9995887875556946,0.0001,0.06016889214515686,0.4,5,1.0697964429855347
13,0.9208096861839294,0.9995546340942383,0.0001,0.0655030831694603,0.4,5,1.0763238668441772
14,0.9145172834396362,0.999521017074585,0.0001,0.07086443901062012,0.4,5,1.0829381942749023
15,0.9082555770874023,0.999488115310669,0.0001,0.07624536752700806,0.4,5,1.0896368026733398
16,0.9020581245422363,0.9994553923606873,0.0001,0.0816425010561943,0.4,5,1.0964250564575195
17,0.8959112763404846,0.9994227886199951,0.0001,0.08705368638038635,0.4,5,1.1033029556274414
18,0.8897930979728699,0.9993908405303955,0.0001,0.09247803688049316,0.4,5,1.1102570295333862
19,0.8837091326713562,0.999359130859375,0.0001,0.09791502356529236,0.4,5,1.1173083782196045
20,0.8776656985282898,0.9993280172348022,0.0001,0.10336263477802277,0.4,5,1.1244605779647827
21,0.871662437915802,0.9992976188659668,0.0001,0.10881984233856201,0.4,5,1.1317176818847656
22,0.8656958937644958,0.9992678761482239,0.0001,0.1142645850777626,0.4,5,1.1390820741653442
23,0.859770655632019,0.9992387890815735,0.0001,0.11965781450271606,0.4,5,1.1465586423873901
24,0.8538901805877686,0.9992103576660156,0.0001,0.12506747245788574,0.4,5,1.1541533470153809
25,0.8480745553970337,0.9991821050643921,0.0001,0.13048382103443146,0.4,5,1.1618621349334717
26,0.842395007610321,0.9991543889045715,0.0001,0.13591448962688446,0.4,5,1.1696871519088745
27,0.83675616979599,0.9991270899772644,0.0001,0.14135843515396118,0.4,5,1.1776350736618042
28,0.831153392791748,0.9990996718406677,0.0001,0.14681440591812134,0.4,5,1.1857037544250488
29,0.8255835175514221,0.9990726709365845,0.0001,0.15228472650051117,0.4,5,1.193898320198059
30,0.8200523853302002,0.9990460276603699,0.0001,0.15776032209396362,0.4,5,1.2022191286087036
31,0.8145574927330017,0.9990200400352478,0.0001,0.16324731707572937,0.4,5,1.2106707096099854
32,0.8091014623641968,0.9989944100379944,0.0001,0.16874822974205017,0.4,5,1.2192579507827759
33,0.8036889433860779,0.9989690184593201,0.0001,0.17426182329654694,0.4,5,1.227981448173523
34,0.7983187437057495,0.9989439845085144,0.0001,0.179790660738945,0.4,5,1.2368571758270264
35,0.7929883003234863,0.9989199638366699,0.0001,0.18534207344055176,0.4,5,1.2458819150924683
36,0.7876958250999451,0.9988962411880493,0.0001,0.19091585278511047,0.4,5,1.2550835609436035
37,0.7821445465087891,0.9988730549812317,0.0001,0.19651752710342407,0.4,5,1.2644952535629272
38,0.776409387588501,0.9988504648208618,0.0001,0.20214948058128357,0.4,5,1.2740265130996704
39,0.7706970572471619,0.9988277554512024,0.0001,0.20781965553760529,0.4,5,1.2837072610855103
40,0.7650223970413208,0.9988055229187012,0.0001,0.213518887758255,0.4,5,1.2935571670532227
41,0.7593721151351929,0.9987832903862,0.0001,0.21924655139446259,0.4,5,1.3035800457000732
