learning_rate,approx_TV,ratios_mean,num_epochs,clip_range,ratios_max,ratios_min,num_agents
0.0004,0.0,1.0,0,0.2,1.0,1.0,5
0.0004,0.01310373842716217,0.999976396560669,1,0.2,1.0214481353759766,0.9815637469291687,5
0.0004,0.02765609323978424,0.9999505281448364,2,0.2,1.045379638671875,0.9612195491790771,5
0.0004,0.04293909668922424,0.9999234080314636,3,0.2,1.0709353685379028,0.9398449659347534,5
0.0004,0.05880199372768402,0.9998957514762878,4,0.2,1.0978342294692993,0.9180360436439514,5
0.0004,0.07509348541498184,0.9998671412467957,5,0.2,1.1259222030639648,0.8960580825805664,5
0.0004,0.09187887609004974,0.9998368620872498,6,0.2,1.1552268266677856,0.8740959763526917,5
0.0004,0.10915255546569824,0.9998056888580322,7,0.2,1.185823678970337,0.852252185344696,5
0.0004,0.1268138587474823,0.9997729659080505,8,0.2,1.2174910306930542,0.8305773735046387,5
0.0004,0.14486142992973328,0.9997391700744629,9,0.2,1.2505501508712769,0.8091318011283875,5
0.0004,0.16330744326114655,0.9997053146362305,10,0.2,1.2851533889770508,0.7879793047904968,5
0.0004,0.18218624591827393,0.9996721744537354,11,0.2,1.3208268880844116,0.7681109309196472,5
0.0004,0.20126888155937195,0.9996435046195984,12,0.2,1.3563188314437866,0.751390278339386,5
0.0004,0.22044391930103302,0.9996236562728882,13,0.2,1.3908568620681763,0.7378407120704651,5
0.0004,0.2399805784225464,0.9996159672737122,14,0.2,1.423716425895691,0.7285259962081909,5
0.0004,0.26036566495895386,0.9996260404586792,15,0.2,1.4535223245620728,0.7183883190155029,5
0.0004,0.28174692392349243,0.9996592998504639,16,0.2,1.4791985750198364,0.7106961011886597,5
0.0004,0.3035629093647003,0.999711275100708,17,0.2,1.5009706020355225,0.7062127590179443,5
0.0004,0.32493382692337036,0.9997718930244446,18,0.2,1.5199224948883057,0.7043471932411194,5
0.0004,0.34595489501953125,0.9998378157615662,19,0.2,1.5364747047424316,0.7051686644554138,5
0.0004,0.36592715978622437,0.9998995661735535,20,0.2,1.551279067993164,0.7082547545433044,5
0.0004,0.3844113349914551,0.9999451041221619,21,0.2,1.5653401613235474,0.7003594040870667,5
0.0004,0.40088212490081787,0.9999741911888123,22,0.2,1.5792567729949951,0.6875095367431641,5
0.0004,0.41500258445739746,0.999981164932251,23,0.2,1.5943336486816406,0.6761764883995056,5
0.0004,0.42652586102485657,0.9999697804450989,24,0.2,1.610706090927124,0.6662733554840088,5
0.0004,0.4352172613143921,0.9999401569366455,25,0.2,1.628557562828064,0.6578873991966248,5
0.0004,0.4414711594581604,0.9998927116394043,26,0.2,1.648319959640503,0.6508293747901917,5
0.0004,0.44564712047576904,0.9998311400413513,27,0.2,1.6696290969848633,0.6448318362236023,5
0.0004,0.44933605194091797,0.9997581243515015,28,0.2,1.6927779912948608,0.6396573781967163,5
0.0004,0.4575731158256531,0.9996798038482666,29,0.2,1.7172799110412598,0.6350647211074829,5
0.0004,0.4650554060935974,0.9996039867401123,30,0.2,1.7410368919372559,0.6306239366531372,5
0.0004,0.47242724895477295,0.99953693151474,31,0.2,1.7634671926498413,0.6259300708770752,5
0.0004,0.47955793142318726,0.999477207660675,32,0.2,1.784481406211853,0.6208904385566711,5
0.0004,0.48624187707901,0.9994188547134399,33,0.2,1.8018742799758911,0.6153364181518555,5
0.0004,0.4925355911254883,0.9993608593940735,34,0.2,1.8155388832092285,0.6092053055763245,5
0.0004,0.4982253909111023,0.999299943447113,35,0.2,1.8257036209106445,0.6026577353477478,5
0.0004,0.5034002661705017,0.9992345571517944,36,0.2,1.8331739902496338,0.5959879755973816,5
0.0004,0.5080888867378235,0.9991679191589355,37,0.2,1.836959719657898,0.589158296585083,5
0.0004,0.5122629404067993,0.9990965127944946,38,0.2,1.8380906581878662,0.5823854804039001,5
0.0004,0.5156679153442383,0.9990134239196777,39,0.2,1.8375650644302368,0.57581627368927,5
0.0004,0.5180073380470276,0.9989041686058044,40,0.2,1.8396769762039185,0.5699877142906189,5
0.0004,0.5192171335220337,0.9987740516662598,41,0.2,1.844409465789795,0.5648795962333679,5
0.0004,0.5193749666213989,0.9986324310302734,42,0.2,1.8503791093826294,0.5603594183921814,5
0.0004,0.5188231468200684,0.9984851479530334,43,0.2,1.8564563989639282,0.5562764406204224,5
0.0004,0.5176495909690857,0.9983344674110413,44,0.2,1.8625727891921997,0.5526357293128967,5
0.0004,0.5167316198348999,0.9981938004493713,45,0.2,1.8675801753997803,0.5492231845855713,5
0.0004,0.5165425539016724,0.9980675578117371,46,0.2,1.8707666397094727,0.545735239982605,5
0.0004,0.5172755122184753,0.9979603290557861,47,0.2,1.8705980777740479,0.5420026183128357,5
0.0004,0.5188716650009155,0.9978732466697693,48,0.2,1.8671013116836548,0.5378098487854004,5
0.0004,0.5212332606315613,0.9978039264678955,49,0.2,1.860721468925476,0.533196747303009,5
0.0004,0.5240837335586548,0.9977441430091858,50,0.2,1.8526661396026611,0.5283348560333252,5
0.0004,0.5274116396903992,0.9976857900619507,51,0.2,1.8442332744598389,0.5234568119049072,5
0.0004,0.5309683680534363,0.9976234436035156,52,0.2,1.838366985321045,0.5189980268478394,5
0.0004,0.5347567796707153,0.9975557327270508,53,0.2,1.8347631692886353,0.514892578125,5
0.0004,0.5387578010559082,0.9974885582923889,54,0.2,1.8321138620376587,0.5110479593276978,5
0.0004,0.5428398251533508,0.9974197745323181,55,0.2,1.8307864665985107,0.5075409412384033,5
0.0004,0.5465218424797058,0.997351884841919,56,0.2,1.8302196264266968,0.5044312477111816,5
0.0004,0.5501691102981567,0.9972882866859436,57,0.2,1.8301154375076294,0.5015090703964233,5
0.0004,0.5535873174667358,0.9972260594367981,58,0.2,1.82988440990448,0.49869871139526367,5
0.0004,0.5570356845855713,0.9971632361412048,59,0.2,1.8307961225509644,0.49588143825531006,5
0.0004,0.5600534081459045,0.9970964193344116,60,0.2,1.8328596353530884,0.4932780861854553,5
0.0004,0.5624735355377197,0.9970358610153198,61,0.2,1.8329073190689087,0.49058908224105835,5
0.0004,0.5640549659729004,0.9969770908355713,62,0.2,1.8303043842315674,0.4877546727657318,5
0.0004,0.564875066280365,0.996914803981781,63,0.2,1.8272393941879272,0.48498600721359253,5
0.0004,0.5648627281188965,0.9968494772911072,64,0.2,1.8240734338760376,0.48235875368118286,5
