ratios_min,learning_rate,ratios_mean,num_agents,ratios_max,clip_range,approx_TV,num_epochs
1.0,0.0002,1.0,5,1.0,0.2,0.0,0
0.9833046197891235,0.0002,0.9996544122695923,5,1.0169117450714111,0.2,0.011803418397903442,1
0.9655165076255798,0.0002,0.9992820024490356,5,1.0353888273239136,0.2,0.024584941565990448,2
0.9472630023956299,0.0002,0.9988958835601807,5,1.054850459098816,0.2,0.03788631036877632,3
0.928794801235199,0.0002,0.9985001087188721,5,1.0751076936721802,0.2,0.051524024456739426,4
0.91023850440979,0.0002,0.9980968236923218,5,1.096052646636963,0.2,0.06540603190660477,5
0.8916690349578857,0.0002,0.9976884722709656,5,1.117631196975708,0.2,0.07948358356952667,6
0.873164713382721,0.0002,0.9972753524780273,5,1.1398062705993652,0.2,0.09372557699680328,7
0.8547320365905762,0.0002,0.9968591928482056,5,1.1625632047653198,0.2,0.1081087738275528,8
0.8363929986953735,0.0002,0.9964393377304077,5,1.1860747337341309,0.2,0.12265201658010483,9
0.8181294202804565,0.0002,0.9960154891014099,5,1.2102941274642944,0.2,0.13732922077178955,10
0.7999574542045593,0.0002,0.9955892562866211,5,1.2351539134979248,0.2,0.1521344929933548,11
0.7822605967521667,0.0002,0.9951604008674622,5,1.2604570388793945,0.2,0.16704228520393372,12
0.7657667994499207,0.0002,0.994732141494751,5,1.2860630750656128,0.2,0.18192507326602936,13
0.751352846622467,0.0002,0.9943123459815979,5,1.311206579208374,0.2,0.1965656727552414,14
0.7390347123146057,0.0002,0.9939064979553223,5,1.3356395959854126,0.2,0.21077752113342285,15
0.7287086844444275,0.0002,0.9935216903686523,5,1.3590718507766724,0.2,0.22436118125915527,16
0.7201530933380127,0.0002,0.9931618571281433,5,1.3815299272537231,0.2,0.23727068305015564,17
0.7131701707839966,0.0002,0.9928290843963623,5,1.4029700756072998,0.2,0.24963173270225525,18
0.7075545787811279,0.0002,0.9925252795219421,5,1.4234378337860107,0.2,0.2614648938179016,19
0.7033265233039856,0.0002,0.9922515153884888,5,1.4428716897964478,0.2,0.2725847363471985,20
0.7002999186515808,0.0002,0.9920060038566589,5,1.4613091945648193,0.2,0.2830328643321991,21
0.6983264684677124,0.0002,0.991788387298584,5,1.478766918182373,0.2,0.2928659915924072,22
0.697323739528656,0.0002,0.99159836769104,5,1.4951627254486084,0.2,0.30203908681869507,23
0.6974770426750183,0.0002,0.9914377927780151,5,1.5103428363800049,0.2,0.3104037046432495,24
0.6987343430519104,0.0002,0.9913069009780884,5,1.5242547988891602,0.2,0.31795379519462585,25
0.7008779644966125,0.0002,0.9912025332450867,5,1.5369998216629028,0.2,0.3247142434120178,26
0.7038229703903198,0.0002,0.9911257028579712,5,1.5486090183258057,0.2,0.3304619789123535,27
0.7074398994445801,0.0002,0.9910704493522644,5,1.5592341423034668,0.2,0.33523157238960266,28
