clip_range,ratios_max,ratios_min,num_epochs,num_agents,learning_rate,ratios_mean,approx_TV
0.2,1.0,1.0,0,5,0.0005,1.0,0.0
0.2,1.033092737197876,0.9704430103302002,1,5,0.0005,0.9995510578155518,0.023972056806087494
0.2,1.070068359375,0.938431441783905,2,5,0.0005,0.999058187007904,0.05025569722056389
0.2,1.1099132299423218,0.9056298136711121,3,5,0.0005,0.998539388179779,0.07788970321416855
0.2,1.1522046327590942,0.8727022409439087,4,5,0.0005,0.9979992508888245,0.10661596059799194
0.2,1.1971886157989502,0.8399447202682495,5,5,0.0005,0.9974440336227417,0.13625098764896393
0.2,1.244899034500122,0.8076015114784241,6,5,0.0005,0.9968739748001099,0.1667199432849884
0.2,1.2947856187820435,0.7739075422286987,7,5,0.0005,0.9962888360023499,0.19811215996742249
0.2,1.3466323614120483,0.7420015335083008,8,5,0.0005,0.9957123398780823,0.2297596037387848
0.2,1.396609902381897,0.7146045565605164,9,5,0.0005,0.9951946139335632,0.2587776184082031
0.2,1.442009449005127,0.6935778856277466,10,5,0.0005,0.9947608113288879,0.2833528518676758
0.2,1.481316089630127,0.6780040264129639,11,5,0.0005,0.9944102764129639,0.3029310703277588
0.2,1.5139460563659668,0.6678784489631653,12,5,0.0005,0.9941571354866028,0.3168742060661316
0.2,1.5396817922592163,0.6629342436790466,13,5,0.0005,0.9939982295036316,0.3248586058616638
0.2,1.5595531463623047,0.6624258756637573,14,5,0.0005,0.9939094185829163,0.32807111740112305
0.2,1.5742534399032593,0.6657788753509521,15,5,0.0005,0.9938786625862122,0.32683074474334717
0.2,1.5839287042617798,0.6724981069564819,16,5,0.0005,0.9938998818397522,0.3215814232826233
0.2,1.5899289846420288,0.6723876595497131,17,5,0.0005,0.993956446647644,0.31896865367889404
0.2,1.5935288667678833,0.6665051579475403,18,5,0.0005,0.9940329790115356,0.31628015637397766
0.2,1.5965861082077026,0.6635375618934631,19,5,0.0005,0.9941135048866272,0.315382719039917
0.2,1.6005291938781738,0.6640536189079285,20,5,0.0005,0.9941896796226501,0.3152535557746887
0.2,1.6059696674346924,0.6674591302871704,21,5,0.0005,0.9942553043365479,0.3149823248386383
0.2,1.6132792234420776,0.6739041209220886,22,5,0.0005,0.9943059086799622,0.31498605012893677
0.2,1.6222716569900513,0.6828458309173584,23,5,0.0005,0.9943411350250244,0.31534090638160706
0.2,1.6331971883773804,0.6935403943061829,24,5,0.0005,0.994358479976654,0.3172544240951538
0.2,1.6468287706375122,0.7047587037086487,25,5,0.0005,0.9943580627441406,0.32102227210998535
0.2,1.6623623371124268,0.7109841108322144,26,5,0.0005,0.9943416714668274,0.32576483488082886
0.2,1.6788880825042725,0.7026707530021667,27,5,0.0005,0.9943175315856934,0.33178162574768066
0.2,1.6948893070220947,0.6936585903167725,28,5,0.0005,0.9942933917045593,0.33901095390319824
0.2,1.71153724193573,0.6858126521110535,29,5,0.0005,0.9942638874053955,0.34611934423446655
0.2,1.7275625467300415,0.6800616979598999,30,5,0.0005,0.9942294955253601,0.3526762127876282
0.2,1.7434310913085938,0.6765568852424622,31,5,0.0005,0.9941845536231995,0.3583619296550751
0.2,1.759359359741211,0.6751304268836975,32,5,0.0005,0.9941286444664001,0.36300963163375854
0.2,1.7758992910385132,0.6701804399490356,33,5,0.0005,0.9940641522407532,0.3669019341468811
