ratios_mean,ratios_min,learning_rate,approx_TV,ratios_max,num_agents,clip_range,num_epochs
1.0,1.0,0.0003,0.0,1.0,5,0.4,0
0.9999824166297913,0.986152172088623,0.0003,0.009829044342041016,1.0160633325576782,5,0.4,1
0.9999630451202393,0.9708693027496338,0.0003,0.020677559077739716,1.0339256525039673,5,0.4,2
0.9999423027038574,0.9547573328018188,0.0003,0.03219638019800186,1.052910566329956,5,0.4,3
0.9999216794967651,0.9381985664367676,0.0003,0.044008053839206696,1.0727695226669312,5,0.4,4
0.9999004006385803,0.9214122295379639,0.0003,0.05617726594209671,1.0934096574783325,5,0.4,5
0.9998787045478821,0.9045268893241882,0.0003,0.0685986652970314,1.1147656440734863,5,0.4,6
0.999856173992157,0.8876438140869141,0.0003,0.08127626031637192,1.1367762088775635,5,0.4,7
0.9998326897621155,0.8708122968673706,0.0003,0.09427596628665924,1.1595877408981323,5,0.4,8
0.9998086094856262,0.8540696501731873,0.0003,0.1075395718216896,1.1831492185592651,5,0.4,9
0.999783456325531,0.8374493718147278,0.0003,0.12103813141584396,1.2073612213134766,5,0.4,10
0.9997577667236328,0.8209420442581177,0.0003,0.1347571611404419,1.2322344779968262,5,0.4,11
0.9997316002845764,0.8046133518218994,0.0003,0.14875179529190063,1.2581924200057983,5,0.4,12
0.9997054934501648,0.788457989692688,0.0003,0.16296574473381042,1.284993052482605,5,0.4,13
0.9996788501739502,0.7724781632423401,0.0003,0.17741946876049042,1.3125609159469604,5,0.4,14
0.9996511936187744,0.7566866874694824,0.0003,0.19212108850479126,1.3409494161605835,5,0.4,15
0.9996222257614136,0.7411229610443115,0.0003,0.2070329189300537,1.3701950311660767,5,0.4,16
0.9995934367179871,0.7258032560348511,0.0003,0.222108393907547,1.4003350734710693,5,0.4,17
0.999563992023468,0.7106939554214478,0.0003,0.23744961619377136,1.4314122200012207,5,0.4,18
0.9995343089103699,0.6958047747612,0.0003,0.2530612349510193,1.4634770154953003,5,0.4,19
0.9995049238204956,0.6811198592185974,0.0003,0.26907721161842346,1.4965962171554565,5,0.4,20
0.9994757771492004,0.6666140556335449,0.0003,0.28540587425231934,1.5308541059494019,5,0.4,21
0.99944669008255,0.6522892713546753,0.0003,0.30202680826187134,1.5661778450012207,5,0.4,22
0.9994177222251892,0.638140082359314,0.0003,0.3189062178134918,1.602736234664917,5,0.4,23
0.9993888139724731,0.6241832375526428,0.0003,0.3360954523086548,1.64064621925354,5,0.4,24
0.9993602633476257,0.6081690192222595,0.0003,0.35361921787261963,1.6798357963562012,5,0.4,25
0.9993309378623962,0.5921284556388855,0.0003,0.3714536130428314,1.7204023599624634,5,0.4,26
0.9993030428886414,0.5766337513923645,0.0003,0.3894751965999603,1.7621105909347534,5,0.4,27
0.9992779493331909,0.562467634677887,0.0003,0.40776684880256653,1.8044443130493164,5,0.4,28
0.9992552399635315,0.5492197871208191,0.0003,0.4263991713523865,1.84734308719635,5,0.4,29
0.9992350935935974,0.5373765826225281,0.0003,0.44533294439315796,1.8907719850540161,5,0.4,30
0.999220073223114,0.5273299813270569,0.0003,0.4646214544773102,1.9338512420654297,5,0.4,31
0.9992122650146484,0.5191138386726379,0.0003,0.4843032658100128,1.9767365455627441,5,0.4,32
0.9992102980613708,0.5124005079269409,0.0003,0.5043340921401978,2.019012451171875,5,0.4,33
0.9992128610610962,0.5069417953491211,0.0003,0.5244942307472229,2.0607857704162598,5,0.4,34
0.9992209076881409,0.5025060772895813,0.0003,0.5448911786079407,2.1017396450042725,5,0.4,35
0.9992363452911377,0.49905461072921753,0.0003,0.5656614899635315,2.14097261428833,5,0.4,36
0.9992559552192688,0.4945885241031647,0.0003,0.5864471197128296,2.1785242557525635,5,0.4,37
0.9992799758911133,0.4853805601596832,0.0003,0.607321560382843,2.21448016166687,5,0.4,38
0.9993039965629578,0.47614479064941406,0.0003,0.6278021335601807,2.2492876052856445,5,0.4,39
0.9993262887001038,0.4679628908634186,0.0003,0.647589385509491,2.2825400829315186,5,0.4,40
0.9993371963500977,0.4607418477535248,0.0003,0.6659116744995117,2.314788579940796,5,0.4,41
0.9993343353271484,0.4544053375720978,0.0003,0.6826108694076538,2.3460323810577393,5,0.4,42
0.9993125200271606,0.44875162839889526,0.0003,0.6974399089813232,2.377152919769287,5,0.4,43
0.9992684721946716,0.44321197271347046,0.0003,0.7102773189544678,2.408931016921997,5,0.4,44
0.9992043375968933,0.43779826164245605,0.0003,0.7212932109832764,2.4409399032592773,5,0.4,45
0.9991232752799988,0.4322894215583801,0.0003,0.7317966222763062,2.473391532897949,5,0.4,46
0.9990310668945312,0.4268203377723694,0.0003,0.7422137260437012,2.5055036544799805,5,0.4,47
0.9989331960678101,0.4217401444911957,0.0003,0.7516107559204102,2.537564516067505,5,0.4,48
0.9988330006599426,0.41709792613983154,0.0003,0.7597427368164062,2.5691287517547607,5,0.4,49
0.9987383484840393,0.4129834771156311,0.0003,0.766679048538208,2.5997493267059326,5,0.4,50
0.9986521005630493,0.4093273878097534,0.0003,0.7727243900299072,2.629643201828003,5,0.4,51
0.9985756874084473,0.40605494379997253,0.0003,0.7799345850944519,2.658317804336548,5,0.4,52
0.9985100626945496,0.40303802490234375,0.0003,0.7872439622879028,2.685711145401001,5,0.4,53
0.99845290184021,0.4001046121120453,0.0003,0.7942299246788025,2.712268829345703,5,0.4,54
0.9984053373336792,0.3971574008464813,0.0003,0.8009159564971924,2.7371702194213867,5,0.4,55
0.9983622431755066,0.3909684419631958,0.0003,0.8070707321166992,2.7603256702423096,5,0.4,56
