ratios_min,num_epochs,approx_TV,ratios_mean,num_agents,learning_rate,ratios_max,clip_range
1.0,0,0.0,1.0,5,0.0002,1.0,0.5
0.9907539486885071,1,0.006553947925567627,0.999988317489624,5,0.0002,1.0106924772262573,0.5
0.9805359244346619,2,0.013790063560009003,0.9999755024909973,5,0.0002,1.0225306749343872,0.5
0.9698022603988647,3,0.021400325000286102,0.9999621510505676,5,0.0002,1.0350449085235596,0.5
0.9586758613586426,4,0.029329776763916016,0.9999481439590454,5,0.0002,1.0480749607086182,0.5
0.9473170042037964,5,0.03740514814853668,0.9999337196350098,5,0.0002,1.0615332126617432,0.5
0.9358149170875549,6,0.0456184446811676,0.9999197125434875,5,0.0002,1.0753635168075562,0.5
0.9242340326309204,7,0.05399337410926819,0.9999051690101624,5,0.0002,1.089564561843872,0.5
0.9126084446907043,8,0.06249263137578964,0.999890148639679,5,0.0002,1.1041098833084106,0.5
0.9009764194488525,9,0.07109838724136353,0.9998753070831299,5,0.0002,1.1189724206924438,0.5
0.8893632292747498,10,0.07982923090457916,0.9998599290847778,5,0.0002,1.134148120880127,0.5
0.87778639793396,11,0.08871166408061981,0.9998438358306885,5,0.0002,1.1496864557266235,0.5
0.8662612438201904,12,0.09776231646537781,0.99982750415802,5,0.0002,1.165661334991455,0.5
0.8547973036766052,13,0.10691075772047043,0.9998108744621277,5,0.0002,1.181968331336975,0.5
0.8433968424797058,14,0.11618178337812424,0.9997935891151428,5,0.0002,1.1986020803451538,0.5
0.8320587873458862,15,0.12556684017181396,0.9997758865356445,5,0.0002,1.2155624628067017,0.5
0.8208081126213074,16,0.13505208492279053,0.9997581243515015,5,0.0002,1.2329165935516357,0.5
0.8096491694450378,17,0.14469081163406372,0.9997398853302002,5,0.0002,1.2508318424224854,0.5
0.7985866665840149,18,0.1544603705406189,0.9997219443321228,5,0.0002,1.2692145109176636,0.5
0.7876136302947998,19,0.16433951258659363,0.9997037053108215,5,0.0002,1.2879923582077026,0.5
0.7767246961593628,20,0.17434048652648926,0.9996851682662964,5,0.0002,1.3071752786636353,0.5
0.7659162878990173,21,0.18446660041809082,0.9996660351753235,5,0.0002,1.3268089294433594,0.5
0.755207359790802,22,0.19472001492977142,0.9996465444564819,5,0.0002,1.346861481666565,0.5
0.7446044683456421,23,0.2050963044166565,0.9996262788772583,5,0.0002,1.3673816919326782,0.5
0.7341331839561462,24,0.21553334593772888,0.9996060729026794,5,0.0002,1.3883841037750244,0.5
0.7237647175788879,25,0.22610512375831604,0.9995856285095215,5,0.0002,1.4098889827728271,0.5
0.7135012149810791,26,0.23681238293647766,0.9995646476745605,5,0.0002,1.4319132566452026,0.5
0.7033349275588989,27,0.24772340059280396,0.9995438456535339,5,0.0002,1.4544782638549805,0.5
0.6932690739631653,28,0.2587875723838806,0.9995226860046387,5,0.0002,1.4776277542114258,0.5
0.6832969784736633,29,0.2700389325618744,0.9995018243789673,5,0.0002,1.5013949871063232,0.5
0.6734102964401245,30,0.281455934047699,0.9994809031486511,5,0.0002,1.525808334350586,0.5
0.6636110544204712,31,0.29306653141975403,0.9994601607322693,5,0.0002,1.5508441925048828,0.5
0.6538920402526855,32,0.3048318028450012,0.9994394183158875,5,0.0002,1.5764597654342651,0.5
0.6442148089408875,33,0.3167470693588257,0.9994189739227295,5,0.0002,1.6026614904403687,0.5
0.6330443620681763,34,0.3288270831108093,0.9993986487388611,5,0.0002,1.6295830011367798,0.5
0.6218137741088867,35,0.34109359979629517,0.9993782043457031,5,0.0002,1.6573799848556519,0.5
0.6105428338050842,36,0.3535282015800476,0.9993579387664795,5,0.0002,1.685957670211792,0.5
0.5992295742034912,37,0.36611950397491455,0.9993373155593872,5,0.0002,1.7153232097625732,0.5
0.587914764881134,38,0.37885183095932007,0.9993168115615845,5,0.0002,1.7454652786254883,0.5
0.576601505279541,39,0.39174991846084595,0.9992963075637817,5,0.0002,1.7763986587524414,0.5
0.5653232336044312,40,0.40481501817703247,0.9992758631706238,5,0.0002,1.808095932006836,0.5
0.5540071725845337,41,0.4180721342563629,0.999255895614624,5,0.0002,1.8406935930252075,0.5
0.5426650643348694,42,0.43151214718818665,0.9992362856864929,5,0.0002,1.8741596937179565,0.5
0.5313174724578857,43,0.44517457485198975,0.9992159008979797,5,0.0002,1.9084477424621582,0.5
0.519991397857666,44,0.4590426981449127,0.9991955161094666,5,0.0002,1.943655252456665,0.5
0.5086908936500549,45,0.4731259047985077,0.9991751313209534,5,0.0002,1.980134129524231,0.5
0.4974072575569153,46,0.48740318417549133,0.9991547465324402,5,0.0002,2.017984628677368,0.5
0.4863818287849426,47,0.5018134117126465,0.9991347193717957,5,0.0002,2.05674409866333,0.5
0.4755726456642151,48,0.5164363384246826,0.9991154670715332,5,0.0002,2.096463203430176,0.5
0.46543440222740173,49,0.5312583446502686,0.9990978837013245,5,0.0002,2.1368069648742676,0.5
0.4558323323726654,50,0.5463114976882935,0.9990818500518799,5,0.0002,2.1777641773223877,0.5
0.44673359394073486,51,0.5615771412849426,0.9990672469139099,5,0.0002,2.21939754486084,0.5
0.43829870223999023,52,0.5770272016525269,0.9990545511245728,5,0.0002,2.2612881660461426,0.5
0.43039703369140625,53,0.5925658941268921,0.9990437626838684,5,0.0002,2.303389072418213,0.5
0.4229336678981781,54,0.6083255410194397,0.9990354180335999,5,0.0002,2.345681667327881,0.5
0.4162083566188812,55,0.6241312026977539,0.9990285038948059,5,0.0002,2.387610912322998,0.5
0.41015854477882385,56,0.6400017738342285,0.9990234971046448,5,0.0002,2.429042339324951,0.5
