num_agents,ratios_mean,approx_TV,num_epochs,ratios_max,ratios_min,learning_rate,clip_range
5,1.0,0.0,0,1.0,1.0,0.0001,0.4
5,0.9999873638153076,0.005676455795764923,1,1.0039067268371582,0.9942461252212524,0.0001,0.4
5,0.999973714351654,0.011864051222801208,2,1.008194923400879,0.9880316257476807,0.0001,0.4
5,0.9999597072601318,0.01833624392747879,3,1.012698769569397,0.981595516204834,0.0001,0.4
5,0.9999455213546753,0.025002144277095795,4,1.017345666885376,0.9750235676765442,0.0001,0.4
5,0.9999313354492188,0.03181709349155426,5,1.022073745727539,0.9683631062507629,0.0001,0.4
5,0.9999169707298279,0.038753360509872437,6,1.0268791913986206,0.9616525173187256,0.0001,0.4
5,0.9999023675918579,0.04579756408929825,7,1.0317589044570923,0.9549110531806946,0.0001,0.4
5,0.9998875260353088,0.052935972809791565,8,1.0367066860198975,0.9481487274169922,0.0001,0.4
5,0.9998726844787598,0.06017798185348511,9,1.0417163372039795,0.9413766860961914,0.0001,0.4
5,0.9998580813407898,0.06751672923564911,10,1.0467844009399414,0.9346026182174683,0.0001,0.4
5,0.9998433589935303,0.07495874911546707,11,1.0519083738327026,0.9278331995010376,0.0001,0.4
5,0.9998287558555603,0.08248908817768097,12,1.0570851564407349,0.9210715889930725,0.0001,0.4
5,0.9998141527175903,0.09010753780603409,13,1.0623146295547485,0.9143213629722595,0.0001,0.4
5,0.999799907207489,0.0978209525346756,14,1.0675936937332153,0.907586395740509,0.0001,0.4
5,0.999785840511322,0.10561642050743103,15,1.0729265213012695,0.9008798003196716,0.0001,0.4
5,0.9997721910476685,0.11348292976617813,16,1.0783029794692993,0.8941935300827026,0.0001,0.4
5,0.999758780002594,0.12141828238964081,17,1.0837316513061523,0.8875263333320618,0.0001,0.4
5,0.9997460842132568,0.12944115698337555,18,1.0892055034637451,0.8808816075325012,0.0001,0.4
5,0.9997333884239197,0.1375643014907837,19,1.0947307348251343,0.8742587566375732,0.0001,0.4
5,0.9997209906578064,0.14579127728939056,20,1.1003098487854004,0.8676566481590271,0.0001,0.4
5,0.9997087717056274,0.15411490201950073,21,1.1059430837631226,0.8610744476318359,0.0001,0.4
5,0.9996970295906067,0.16252677142620087,22,1.111631989479065,0.8545058965682983,0.0001,0.4
5,0.9996856451034546,0.17103183269500732,23,1.1173752546310425,0.8479475378990173,0.0001,0.4
5,0.9996746778488159,0.1796383261680603,24,1.123226523399353,0.8413968682289124,0.0001,0.4
5,0.9996636509895325,0.18834072351455688,25,1.1295703649520874,0.8348695635795593,0.0001,0.4
5,0.9996529817581177,0.1971437633037567,26,1.1360026597976685,0.8283640742301941,0.0001,0.4
5,0.9996423125267029,0.20604771375656128,27,1.1425244808197021,0.8218902945518494,0.0001,0.4
5,0.9996318221092224,0.21504774689674377,28,1.149109959602356,0.8154394030570984,0.0001,0.4
5,0.999621570110321,0.22416354715824127,29,1.15578031539917,0.8090060353279114,0.0001,0.4
5,0.9996113181114197,0.23337608575820923,30,1.1625359058380127,0.8025899529457092,0.0001,0.4
5,0.9996013045310974,0.24271036684513092,31,1.1693496704101562,0.7961920499801636,0.0001,0.4
5,0.9995917081832886,0.25215035676956177,32,1.1762274503707886,0.7898163795471191,0.0001,0.4
5,0.9995825886726379,0.26169151067733765,33,1.1831990480422974,0.7834603786468506,0.0001,0.4
5,0.999573826789856,0.2713411748409271,34,1.1902676820755005,0.7771221995353699,0.0001,0.4
5,0.9995653629302979,0.2810981869697571,35,1.19743812084198,0.7708032727241516,0.0001,0.4
5,0.9995570778846741,0.2909661829471588,36,1.2047114372253418,0.7645002007484436,0.0001,0.4
5,0.9995489716529846,0.30094337463378906,37,1.2120872735977173,0.758213222026825,0.0001,0.4
5,0.999541163444519,0.3110329806804657,38,1.2195584774017334,0.7519387006759644,0.0001,0.4
5,0.9995335340499878,0.32125404477119446,39,1.2271298170089722,0.7456784248352051,0.0001,0.4
5,0.9995262026786804,0.33162206411361694,40,1.2347848415374756,0.7394338846206665,0.0001,0.4
5,0.9995191097259521,0.3421486020088196,41,1.2425425052642822,0.7332050204277039,0.0001,0.4
5,0.999512255191803,0.3528055250644684,42,1.2504160404205322,0.726993203163147,0.0001,0.4
5,0.9995054006576538,0.36360734701156616,43,1.258374571800232,0.7208011150360107,0.0001,0.4
5,0.9994989633560181,0.37455475330352783,44,1.2664365768432617,0.7146227955818176,0.0001,0.4
5,0.9994927644729614,0.38565921783447266,45,1.2745882272720337,0.7084593176841736,0.0001,0.4
5,0.9994868636131287,0.39690691232681274,46,1.2828432321548462,0.7023119330406189,0.0001,0.4
5,0.9994813203811646,0.408306360244751,47,1.2912137508392334,0.6961809396743774,0.0001,0.4
5,0.9994758367538452,0.4198465645313263,48,1.2997021675109863,0.6900647878646851,0.0001,0.4
5,0.9994705319404602,0.4315757155418396,49,1.3083096742630005,0.6839638948440552,0.0001,0.4
5,0.9994655251502991,0.44345521926879883,50,1.3170504570007324,0.6778784394264221,0.0001,0.4
5,0.9994609355926514,0.4554731547832489,51,1.3259114027023315,0.6718133687973022,0.0001,0.4
5,0.9994562268257141,0.4676440358161926,52,1.3349014520645142,0.6657673120498657,0.0001,0.4
5,0.9994518756866455,0.4799772799015045,53,1.3440184593200684,0.6597403883934021,0.0001,0.4
5,0.9994476437568665,0.4924655258655548,54,1.3532605171203613,0.6537272334098816,0.0001,0.4
5,0.9994437098503113,0.5051107406616211,55,1.3626362085342407,0.6477305889129639,0.0001,0.4
5,0.9994400143623352,0.5179156064987183,56,1.3721498250961304,0.6417537331581116,0.0001,0.4
5,0.9994367361068726,0.5308998227119446,57,1.3818063735961914,0.6357948780059814,0.0001,0.4
5,0.9994334578514099,0.5440572500228882,58,1.3916128873825073,0.629854142665863,0.0001,0.4
5,0.9994304180145264,0.5573874711990356,59,1.4015663862228394,0.6239363551139832,0.0001,0.4
5,0.9994271397590637,0.5708072185516357,60,1.4115307331085205,0.6180250644683838,0.0001,0.4
