clip_range,num_agents,learning_rate,ratios_max,ratios_mean,approx_TV,ratios_min,num_epochs
0.4,5,0.0001,1.0,1.0,0.0,1.0,0
0.4,5,0.0001,1.0058623552322388,0.999930202960968,0.0036322250962257385,0.9945954084396362,1
0.4,5,0.0001,1.0123438835144043,0.999853253364563,0.007625754922628403,0.9886842966079712,2
0.4,5,0.0001,1.0191857814788818,0.9997725486755371,0.011819098144769669,0.9825220704078674,3
0.4,5,0.0001,1.0262888669967651,0.9996892213821411,0.01614391803741455,0.9762054681777954,4
0.4,5,0.0001,1.033600926399231,0.9996039271354675,0.02057226374745369,0.9697856903076172,5
0.4,5,0.0001,1.0410865545272827,0.9995173215866089,0.025087792426347733,0.9632995128631592,6
0.4,5,0.0001,1.0487061738967896,0.9994295239448547,0.029678825289011,0.9567619562149048,7
0.4,5,0.0001,1.0564652681350708,0.9993405938148499,0.03433484956622124,0.950191080570221,8
0.4,5,0.0001,1.064356803894043,0.999250590801239,0.039048776030540466,0.9435965418815613,9
0.4,5,0.0001,1.0723742246627808,0.9991596937179565,0.04382295906543732,0.936985433101654,10
0.4,5,0.0001,1.0804643630981445,0.9990676641464233,0.04864843562245369,0.9303736090660095,11
0.4,5,0.0001,1.0886688232421875,0.9989749193191528,0.053519442677497864,0.9237641096115112,12
0.4,5,0.0001,1.096982479095459,0.9988815188407898,0.05843422934412956,0.917159914970398,13
0.4,5,0.0001,1.1054096221923828,0.9987873435020447,0.06339061260223389,0.9105641841888428,14
0.4,5,0.0001,1.1139490604400635,0.9986924529075623,0.06838670372962952,0.9039806127548218,15
0.4,5,0.0001,1.1225658655166626,0.9985969662666321,0.07342217862606049,0.8974082469940186,16
0.4,5,0.0001,1.1313141584396362,0.9985011219978333,0.07848389446735382,0.8908579349517822,17
0.4,5,0.0001,1.1401753425598145,0.9984044432640076,0.08358597755432129,0.8843209147453308,18
0.4,5,0.0001,1.149143099784851,0.9983068108558655,0.08873043954372406,0.8778123259544373,19
0.4,5,0.0001,1.1582080125808716,0.99820876121521,0.09391647577285767,0.8713330030441284,20
0.4,5,0.0001,1.1673803329467773,0.9981098771095276,0.09914030134677887,0.8648825287818909,21
0.4,5,0.0001,1.1766674518585205,0.9980102777481079,0.10440260171890259,0.858461320400238,22
0.4,5,0.0001,1.1860755681991577,0.9979099035263062,0.10970236361026764,0.8520559072494507,23
0.4,5,0.0001,1.1955933570861816,0.9978090524673462,0.11503806710243225,0.8456661105155945,24
0.4,5,0.0001,1.2051969766616821,0.9977075457572937,0.12040749192237854,0.8392985463142395,25
0.4,5,0.0001,1.2149124145507812,0.9976053833961487,0.12581098079681396,0.8329513072967529,26
0.4,5,0.0001,1.2247540950775146,0.9975025653839111,0.1312492936849594,0.826614499092102,27
