num_agents,learning_rate,clip_range,ratios_max,ratios_min,approx_TV,num_epochs,ratios_mean
5,0.0005,0.3,1.0,1.0,0.0,0,1.0
5,0.0005,0.3,1.0277372598648071,0.950853168964386,0.029670409858226776,1,0.999737560749054
5,0.0005,0.3,1.0579973459243774,0.9003984332084656,0.06148349493741989,2,0.999459445476532
5,0.0005,0.3,1.08989679813385,0.8497734069824219,0.09438592195510864,3,0.9991732239723206
5,0.0005,0.3,1.1230213642120361,0.7995239496231079,0.128068745136261,4,0.9988831877708435
5,0.0005,0.3,1.1571390628814697,0.7499086260795593,0.1626657396554947,5,0.9985911250114441
5,0.0005,0.3,1.1921230554580688,0.7012472748756409,0.19788412749767303,6,0.998298168182373
5,0.0005,0.3,1.2280151844024658,0.6543338894844055,0.2337491363286972,7,0.9980049133300781
5,0.0005,0.3,1.2632237672805786,0.6176956295967102,0.2675667405128479,8,0.9977380633354187
5,0.0005,0.3,1.297539472579956,0.5891681909561157,0.2994927167892456,9,0.997494101524353
5,0.0005,0.3,1.3307750225067139,0.5674042701721191,0.32967400550842285,10,0.9972718358039856
5,0.0005,0.3,1.3608860969543457,0.5503940582275391,0.3576223850250244,11,0.997077226638794
5,0.0005,0.3,1.3879106044769287,0.5364179611206055,0.3868510127067566,12,0.996910035610199
5,0.0005,0.3,1.4164481163024902,0.5263936519622803,0.41439902782440186,13,0.996768593788147
5,0.0005,0.3,1.4528801441192627,0.5198225378990173,0.4401664137840271,14,0.9966468811035156
5,0.0005,0.3,1.4872198104858398,0.5167219042778015,0.4625590443611145,15,0.9965550899505615
5,0.0005,0.3,1.5200440883636475,0.5162613391876221,0.4819326400756836,16,0.9964882731437683
5,0.0005,0.3,1.55156672000885,0.5184858441352844,0.4983857572078705,17,0.9964403510093689
5,0.0005,0.3,1.5806865692138672,0.5231506824493408,0.5114713907241821,18,0.9964209198951721
5,0.0005,0.3,1.6088404655456543,0.5298446416854858,0.5222878456115723,19,0.9964181780815125
5,0.0005,0.3,1.6346023082733154,0.5383310317993164,0.5302339792251587,20,0.9964408874511719
5,0.0005,0.3,1.655611276626587,0.5476037263870239,0.5348963737487793,21,0.996497631072998
5,0.0005,0.3,1.671929121017456,0.5576708912849426,0.5361365079879761,22,0.996582567691803
5,0.0005,0.3,1.682687520980835,0.5683178305625916,0.5342879295349121,23,0.9966837763786316
5,0.0005,0.3,1.689368486404419,0.5789755582809448,0.5306971073150635,24,0.996788740158081
5,0.0005,0.3,1.6919888257980347,0.5697748064994812,0.5263050198554993,25,0.9968815445899963
5,0.0005,0.3,1.6917128562927246,0.5616453289985657,0.520970344543457,26,0.9969576001167297
5,0.0005,0.3,1.6904356479644775,0.555510401725769,0.5185322761535645,27,0.996992826461792
5,0.0005,0.3,1.6890394687652588,0.5509783625602722,0.5183848738670349,28,0.9969902038574219
5,0.0005,0.3,1.6882824897766113,0.5480605959892273,0.5204495191574097,29,0.9969466328620911
5,0.0005,0.3,1.6905783414840698,0.5461030602455139,0.5248587131500244,30,0.9968603849411011
5,0.0005,0.3,1.694338321685791,0.5450928211212158,0.5297279357910156,31,0.9967543482780457
5,0.0005,0.3,1.6982152462005615,0.545071542263031,0.5340419411659241,32,0.9966542720794678
5,0.0005,0.3,1.7007344961166382,0.5455554723739624,0.5371700525283813,33,0.9965716004371643
5,0.0005,0.3,1.7030051946640015,0.5464325547218323,0.5392151474952698,34,0.9964908361434937
5,0.0005,0.3,1.7057883739471436,0.5459432005882263,0.5411524772644043,35,0.9964092373847961
5,0.0005,0.3,1.7105258703231812,0.5449625253677368,0.5425686240196228,36,0.9963152408599854
5,0.0005,0.3,1.7201577425003052,0.5459049344062805,0.5439670085906982,37,0.9962056875228882
5,0.0005,0.3,1.7295817136764526,0.5486083626747131,0.5454628467559814,38,0.9960845112800598
5,0.0005,0.3,1.7381250858306885,0.5530369281768799,0.5469738841056824,39,0.9959588050842285
5,0.0005,0.3,1.7451610565185547,0.5545350909233093,0.5484880208969116,40,0.9958394765853882
5,0.0005,0.3,1.7503082752227783,0.5516268610954285,0.5499923825263977,41,0.9957528114318848
5,0.0005,0.3,1.7538117170333862,0.5487291216850281,0.5515204668045044,42,0.9956991672515869
5,0.0005,0.3,1.7570582628250122,0.5456355214118958,0.5531153678894043,43,0.9956696033477783
5,0.0005,0.3,1.7626235485076904,0.5389866232872009,0.5547928810119629,44,0.9956150650978088
5,0.0005,0.3,1.771803617477417,0.5329652428627014,0.5572757720947266,45,0.9955220818519592
5,0.0005,0.3,1.7830246686935425,0.5277151465415955,0.5602325201034546,46,0.9953935742378235
5,0.0005,0.3,1.7955619096755981,0.52295982837677,0.5633522868156433,47,0.9952419400215149
5,0.0005,0.3,1.8071162700653076,0.5183159708976746,0.5664956569671631,48,0.9951035976409912
5,0.0005,0.3,1.8174376487731934,0.5136448740959167,0.5696904063224792,49,0.994982123374939
5,0.0005,0.3,1.8282541036605835,0.5090730786323547,0.5730575323104858,50,0.9948816299438477
5,0.0005,0.3,1.8398332595825195,0.5046457648277283,0.5776597857475281,51,0.9947988390922546
5,0.0005,0.3,1.8530079126358032,0.5001025795936584,0.5820604562759399,52,0.9947411417961121
5,0.0005,0.3,1.8666857481002808,0.49553364515304565,0.5862786769866943,53,0.9946946501731873
5,0.0005,0.3,1.8797820806503296,0.49095502495765686,0.5905598998069763,54,0.9946451187133789
5,0.0005,0.3,1.894891381263733,0.4860893785953522,0.5947141647338867,55,0.9945817589759827
5,0.0005,0.3,1.9111874103546143,0.480433851480484,0.5986577272415161,56,0.9945178627967834
