num_agents,num_epochs,clip_range,ratios_mean,learning_rate,ratios_min,approx_TV,ratios_max
5,0,0.4,1.0,0.0002,1.0,0.0,1.0
5,1,0.4,0.9998600482940674,0.0002,0.9892117381095886,0.007268227636814117,1.011742353439331
5,2,0.4,0.9997057914733887,0.0002,0.97747403383255,0.015269290655851364,1.024795651435852
5,3,0.4,0.9995435476303101,0.0002,0.965294599533081,0.023680519312620163,1.038661003112793
5,4,0.4,0.9993765354156494,0.0002,0.9528753161430359,0.03239436820149422,1.0530999898910522
5,5,0.4,0.9992052912712097,0.0002,0.9403210282325745,0.04134390503168106,1.0680491924285889
5,6,0.4,0.9990302324295044,0.0002,0.92769855260849,0.050508689135313034,1.083383321762085
5,7,0.4,0.9988524317741394,0.0002,0.9150610566139221,0.05984482914209366,1.0991158485412598
5,8,0.4,0.9986717104911804,0.0002,0.9024374485015869,0.06933765113353729,1.1152570247650146
5,9,0.4,0.9984890222549438,0.0002,0.8898494243621826,0.07897152006626129,1.131781816482544
5,10,0.4,0.9983035922050476,0.0002,0.8773036599159241,0.08873815089464188,1.1486992835998535
5,11,0.4,0.9981158375740051,0.0002,0.8648350238800049,0.09864848852157593,1.1659756898880005
5,12,0.4,0.9979255795478821,0.0002,0.8524156212806702,0.10869597643613815,1.18363618850708
5,13,0.4,0.9977332353591919,0.0002,0.8400578498840332,0.11886607110500336,1.2016624212265015
5,14,0.4,0.9975387454032898,0.0002,0.8277238607406616,0.12915560603141785,1.2200369834899902
5,15,0.4,0.9973422884941101,0.0002,0.8154664635658264,0.13956540822982788,1.238824486732483
5,16,0.4,0.9971439242362976,0.0002,0.8033227920532227,0.15009722113609314,1.2579970359802246
5,17,0.4,0.996943473815918,0.0002,0.791282057762146,0.16074390709400177,1.277472972869873
5,18,0.4,0.9967411756515503,0.0002,0.7793245315551758,0.17150038480758667,1.2973393201828003
5,19,0.4,0.9965370297431946,0.0002,0.7674781084060669,0.18236833810806274,1.3175876140594482
5,20,0.4,0.9963316917419434,0.0002,0.755731463432312,0.19335484504699707,1.338226079940796
5,21,0.4,0.9961239695549011,0.0002,0.744072437286377,0.20453575253486633,1.3592278957366943
5,22,0.4,0.99591463804245,0.0002,0.7325025796890259,0.21589666604995728,1.380649447441101
5,23,0.4,0.9957032203674316,0.0002,0.7210323810577393,0.2273922860622406,1.4025499820709229
5,24,0.4,0.995489239692688,0.0002,0.7096589207649231,0.23905618488788605,1.424945592880249
5,25,0.4,0.9952734112739563,0.0002,0.6982957720756531,0.2508883774280548,1.4477932453155518
5,26,0.4,0.9950548410415649,0.0002,0.6870461106300354,0.26287925243377686,1.4711121320724487
5,27,0.4,0.994833767414093,0.0002,0.6759284734725952,0.27504634857177734,1.4949054718017578
5,28,0.4,0.9946106672286987,0.0002,0.6649302244186401,0.2873989939689636,1.5190463066101074
5,29,0.4,0.9943846464157104,0.0002,0.654045581817627,0.2999410629272461,1.5434596538543701
5,30,0.4,0.9941555857658386,0.0002,0.6432753801345825,0.31268036365509033,1.5681650638580322
5,31,0.4,0.9939247369766235,0.0002,0.6326265335083008,0.32562029361724854,1.5931823253631592
5,32,0.4,0.9936906695365906,0.0002,0.6221082210540771,0.33877307176589966,1.6184790134429932
5,33,0.4,0.9934543371200562,0.0002,0.611725389957428,0.3521365523338318,1.6440349817276
5,34,0.4,0.9932152032852173,0.0002,0.6014685034751892,0.36572015285491943,1.6698458194732666
5,35,0.4,0.9929726719856262,0.0002,0.5913522839546204,0.37952184677124023,1.6959017515182495
5,36,0.4,0.9927294850349426,0.0002,0.5802138447761536,0.3935142755508423,1.722072720527649
5,37,0.4,0.9924872517585754,0.0002,0.5682476162910461,0.40769127011299133,1.7482671737670898
5,38,0.4,0.9922453761100769,0.0002,0.5566685199737549,0.422070175409317,1.7745184898376465
5,39,0.4,0.992004930973053,0.0002,0.5456358194351196,0.4366362690925598,1.800729513168335
5,40,0.4,0.9917653799057007,0.0002,0.5350378751754761,0.45141443610191345,1.8269150257110596
5,41,0.4,0.991527795791626,0.0002,0.5248338580131531,0.4666260778903961,1.8526573181152344
5,42,0.4,0.9912922382354736,0.0002,0.5149908661842346,0.482023149728775,1.8778331279754639
5,43,0.4,0.9910600781440735,0.0002,0.5055053234100342,0.4975954592227936,1.9022892713546753
5,44,0.4,0.99083012342453,0.0002,0.49629920721054077,0.5133606195449829,1.9260786771774292
5,45,0.4,0.9906039834022522,0.0002,0.4874304533004761,0.5292969346046448,1.9490803480148315
5,46,0.4,0.9903745055198669,0.0002,0.4788130819797516,0.5454506874084473,1.9709105491638184
5,47,0.4,0.9901387095451355,0.0002,0.4705390930175781,0.561781644821167,1.991342544555664
5,48,0.4,0.9898992776870728,0.0002,0.46280601620674133,0.5782896876335144,2.010389804840088
5,49,0.4,0.9896566867828369,0.0002,0.4555411636829376,0.5949742197990417,2.033910036087036
5,50,0.4,0.989410936832428,0.0002,0.4486820697784424,0.6118611693382263,2.0589213371276855
5,51,0.4,0.9891635775566101,0.0002,0.4422343373298645,0.6289567351341248,2.0829224586486816
5,52,0.4,0.9889139533042908,0.0002,0.4361366629600525,0.6465425491333008,2.106121063232422
5,53,0.4,0.9886619448661804,0.0002,0.43034061789512634,0.6643402576446533,2.128490924835205
5,54,0.4,0.9884077906608582,0.0002,0.4248020350933075,0.6822500824928284,2.1500608921051025
5,55,0.4,0.988150954246521,0.0002,0.41947874426841736,0.7002395391464233,2.170771360397339
5,56,0.4,0.9878938794136047,0.0002,0.4144947826862335,0.7181448936462402,2.1905291080474854
