learning_rate,num_epochs,clip_range,ratios_mean,approx_TV,ratios_min,num_agents,ratios_max
0.0002,0,0.3,1.0,0.0,1.0,5,1.0
0.0002,1,0.3,0.9999471306800842,0.008586034178733826,0.992461085319519,5,1.00972318649292
0.0002,2,0.3,0.9998891353607178,0.017995387315750122,0.9842654466629028,5,1.0204492807388306
0.0002,3,0.3,0.9998282790184021,0.027842871844768524,0.975756824016571,5,1.0317851305007935
0.0002,4,0.3,0.9997652173042297,0.037984926253557205,0.9670517444610596,5,1.043605923652649
0.0002,5,0.3,0.9997000098228455,0.04833822697401047,0.9582156538963318,5,1.05581796169281
0.0002,6,0.3,0.9996325373649597,0.058872584253549576,0.9492841958999634,5,1.0683846473693848
0.0002,7,0.3,0.999563455581665,0.06957535445690155,0.9402880668640137,5,1.081275224685669
0.0002,8,0.3,0.9994930624961853,0.08042387664318085,0.9312390685081482,5,1.094483494758606
0.0002,9,0.3,0.999420702457428,0.09140481054782867,0.9221416711807251,5,1.1080318689346313
0.0002,10,0.3,0.9993467926979065,0.10250833630561829,0.9129871726036072,5,1.1218938827514648
0.0002,11,0.3,0.9992709159851074,0.11373141407966614,0.9037898778915405,5,1.1361137628555298
0.0002,12,0.3,0.9991929531097412,0.12506084144115448,0.8945191502571106,5,1.1506619453430176
0.0002,13,0.3,0.9991132616996765,0.13650527596473694,0.8851665258407593,5,1.1655830144882202
0.0002,14,0.3,0.9990324974060059,0.14806941151618958,0.8757547736167908,5,1.1809052228927612
0.0002,15,0.3,0.9989495873451233,0.15975189208984375,0.8662996292114258,5,1.196601152420044
0.0002,16,0.3,0.9988647699356079,0.1715591549873352,0.8568017482757568,5,1.2127245664596558
0.0002,17,0.3,0.9987778663635254,0.18350082635879517,0.8472641110420227,5,1.2292664051055908
0.0002,18,0.3,0.9986883997917175,0.19556047022342682,0.8377018570899963,5,1.2462372779846191
0.0002,19,0.3,0.9985964894294739,0.2077787220478058,0.8281115293502808,5,1.263674259185791
0.0002,20,0.3,0.9985019564628601,0.22018687427043915,0.8184927701950073,5,1.2815850973129272
0.0002,21,0.3,0.9984049201011658,0.2327703833580017,0.8088500499725342,5,1.3000085353851318
0.0002,22,0.3,0.9983054399490356,0.24551285803318024,0.7991870641708374,5,1.3189541101455688
0.0002,23,0.3,0.9982032775878906,0.25844427943229675,0.7895076274871826,5,1.3384445905685425
0.0002,24,0.3,0.9980983138084412,0.2715515196323395,0.7798128128051758,5,1.3585292100906372
0.0002,25,0.3,0.9979932904243469,0.2845028340816498,0.7701253890991211,5,1.3784518241882324
0.0002,26,0.3,0.9978898167610168,0.2971981465816498,0.760470449924469,5,1.3978248834609985
0.0002,27,0.3,0.997792661190033,0.3092564642429352,0.7509605288505554,5,1.4154508113861084
0.0002,28,0.3,0.9977020621299744,0.32070761919021606,0.7416430115699768,5,1.4313908815383911
0.0002,29,0.3,0.9976179599761963,0.33154430985450745,0.7325173020362854,5,1.4455429315567017
0.0002,30,0.3,0.9975411295890808,0.3417365849018097,0.723572313785553,5,1.4577339887619019
0.0002,31,0.3,0.9974737763404846,0.35130298137664795,0.7148361206054688,5,1.4673781394958496
0.0002,32,0.3,0.9974151253700256,0.3604251742362976,0.70627361536026,5,1.478490948677063
0.0002,33,0.3,0.9973635077476501,0.36908790469169617,0.6978998184204102,5,1.4892867803573608
0.0002,34,0.3,0.9973177909851074,0.3773497939109802,0.6897020936012268,5,1.4990861415863037
0.0002,35,0.3,0.9972743391990662,0.38549667596817017,0.6816187500953674,5,1.5085883140563965
0.0002,36,0.3,0.9972351789474487,0.393336683511734,0.673888623714447,5,1.5178046226501465
0.0002,37,0.3,0.997200608253479,0.4008420705795288,0.6666769981384277,5,1.5266978740692139
0.0002,38,0.3,0.9971718788146973,0.40798282623291016,0.6601649522781372,5,1.535089373588562
0.0002,39,0.3,0.9971481561660767,0.4146811366081238,0.6543834805488586,5,1.54326331615448
0.0002,40,0.3,0.9971279501914978,0.42103421688079834,0.6494013667106628,5,1.551535964012146
0.0002,41,0.3,0.9971088171005249,0.42710572481155396,0.6453690528869629,5,1.5603318214416504
0.0002,42,0.3,0.9970889687538147,0.43295812606811523,0.6422460079193115,5,1.5699526071548462
0.0002,43,0.3,0.9970653057098389,0.438801646232605,0.6400257349014282,5,1.5810998678207397
0.0002,44,0.3,0.9970333576202393,0.44469141960144043,0.6386023759841919,5,1.5939584970474243
0.0002,45,0.3,0.9969929456710815,0.4507242441177368,0.6378262042999268,5,1.6086351871490479
0.0002,46,0.3,0.9969444274902344,0.456867516040802,0.6376199126243591,5,1.6249263286590576
0.0002,47,0.3,0.9968882203102112,0.46441900730133057,0.6369955539703369,5,1.6427689790725708
0.0002,48,0.3,0.996825098991394,0.47294384241104126,0.6336870193481445,5,1.6618328094482422
0.0002,49,0.3,0.996757447719574,0.4810886085033417,0.6307114362716675,5,1.6814663410186768
0.0002,50,0.3,0.9966854453086853,0.48881226778030396,0.6280656456947327,5,1.7016361951828003
0.0002,51,0.3,0.996610164642334,0.49615779519081116,0.6257262825965881,5,1.7221571207046509
0.0002,52,0.3,0.9965303540229797,0.5032243728637695,0.6236867904663086,5,1.7429286241531372
0.0002,53,0.3,0.9964508414268494,0.5101476907730103,0.6218746900558472,5,1.7635232210159302
