ratios_max,clip_range,num_epochs,num_agents,approx_TV,ratios_min,learning_rate,ratios_mean
1.0,0.1,0,5,0.0,1.0,0.0002,1.0
1.011742353439331,0.1,1,5,0.007268227636814117,0.9892117381095886,0.0002,0.9998600482940674
1.024795651435852,0.1,2,5,0.015269290655851364,0.97747403383255,0.0002,0.9997057914733887
1.038661003112793,0.1,3,5,0.023680519312620163,0.965294599533081,0.0002,0.9995435476303101
1.0530999898910522,0.1,4,5,0.03239436820149422,0.9528753161430359,0.0002,0.9993765354156494
1.0680491924285889,0.1,5,5,0.04134390503168106,0.9403210282325745,0.0002,0.9992052912712097
1.083383321762085,0.1,6,5,0.050508689135313034,0.92769855260849,0.0002,0.9990302324295044
1.0991158485412598,0.1,7,5,0.05984482914209366,0.9150610566139221,0.0002,0.9988524317741394
1.1152570247650146,0.1,8,5,0.06933765113353729,0.9024374485015869,0.0002,0.9986717104911804
1.131781816482544,0.1,9,5,0.07897152006626129,0.8898494243621826,0.0002,0.9984890222549438
1.1484566926956177,0.1,10,5,0.08869695663452148,0.8780136108398438,0.0002,0.9983052611351013
1.164997935295105,0.1,11,5,0.09839656949043274,0.8678960204124451,0.0002,0.998126208782196
1.1811085939407349,0.1,12,5,0.10794182866811752,0.8600816130638123,0.0002,0.9979565143585205
1.1965495347976685,0.1,13,5,0.11716257780790329,0.8548898100852966,0.0002,0.997801661491394
1.2111557722091675,0.1,14,5,0.12611928582191467,0.8523444533348083,0.0002,0.9976608157157898
1.22438383102417,0.1,15,5,0.13499246537685394,0.8520230054855347,0.0002,0.9975255727767944
1.2362241744995117,0.1,16,5,0.14369283616542816,0.8451021313667297,0.0002,0.997398316860199
1.2468388080596924,0.1,17,5,0.15227192640304565,0.8389428853988647,0.0002,0.9972778558731079
1.25625479221344,0.1,18,5,0.16070158779621124,0.8339055180549622,0.0002,0.9971640110015869
1.264503002166748,0.1,19,5,0.1691158413887024,0.8301501870155334,0.0002,0.9970514178276062
1.2715940475463867,0.1,20,5,0.1778182089328766,0.8279374241828918,0.0002,0.9969437718391418
1.2777516841888428,0.1,21,5,0.18652547895908356,0.8271567821502686,0.0002,0.9968373775482178
1.2832095623016357,0.1,22,5,0.19511744379997253,0.8276403546333313,0.0002,0.9967305064201355
1.2880204916000366,0.1,23,5,0.20354217290878296,0.8291099071502686,0.0002,0.9966232180595398
1.2922987937927246,0.1,24,5,0.21194465458393097,0.8310424089431763,0.0002,0.9965143203735352
