num_epochs,approx_TV,num_agents,ratios_min,clip_range,learning_rate,ratios_mean,ratios_max
0,0.0,5,1.0,0.2,0.0001,1.0,1.0
1,0.0032776296138763428,5,0.9953691959381104,0.2,0.0001,0.9999940991401672,1.0053391456604004
2,0.006905399262905121,5,0.9902299046516418,0.2,0.0001,0.9999880194664001,1.0112234354019165
3,0.010713756084442139,5,0.9848264455795288,0.2,0.0001,0.9999815821647644,1.0174235105514526
4,0.014641880989074707,5,0.9792529344558716,0.2,0.0001,0.9999749064445496,1.0238423347473145
5,0.01865536719560623,5,0.973549485206604,0.2,0.0001,0.9999680519104004,1.0304309129714966
6,0.02276218682527542,5,0.967741072177887,0.2,0.0001,0.9999610185623169,1.0371681451797485
7,0.02694457769393921,5,0.9618234038352966,0.2,0.0001,0.9999537467956543,1.0440356731414795
8,0.031174510717391968,5,0.9558440446853638,0.2,0.0001,0.9999462366104126,1.0510227680206299
9,0.035429827868938446,5,0.9498180747032166,0.2,0.0001,0.9999386668205261,1.0581209659576416
10,0.03970275819301605,5,0.9437503814697266,0.2,0.0001,0.9999313354492188,1.0653210878372192
11,0.04402103275060654,5,0.9376627206802368,0.2,0.0001,0.9999238848686218,1.0726178884506226
12,0.04839303344488144,5,0.931561291217804,0.2,0.0001,0.9999163746833801,1.0800069570541382
13,0.052794307470321655,5,0.9254485368728638,0.2,0.0001,0.9999086260795593,1.0875080823898315
14,0.05723132938146591,5,0.9193331003189087,0.2,0.0001,0.999900758266449,1.0951075553894043
15,0.061700157821178436,5,0.9132199287414551,0.2,0.0001,0.9998928308486938,1.102796196937561
16,0.06619645655155182,5,0.9071125984191895,0.2,0.0001,0.9998849630355835,1.1105748414993286
17,0.07072599977254868,5,0.9010159373283386,0.2,0.0001,0.9998770356178284,1.1184422969818115
18,0.0752890408039093,5,0.8949335813522339,0.2,0.0001,0.9998689889907837,1.126400351524353
19,0.0798969641327858,5,0.8888678550720215,0.2,0.0001,0.9998607039451599,1.1344491243362427
20,0.08455202728509903,5,0.8828203082084656,0.2,0.0001,0.9998522400856018,1.1425995826721191
21,0.08924552798271179,5,0.8767932653427124,0.2,0.0001,0.9998435974121094,1.1508923768997192
22,0.094000443816185,5,0.8707888722419739,0.2,0.0001,0.9998347759246826,1.1593295335769653
23,0.09878932684659958,5,0.8648086786270142,0.2,0.0001,0.9998260736465454,1.1678677797317505
24,0.10360259562730789,5,0.8588478565216064,0.2,0.0001,0.9998172521591187,1.1765104532241821
25,0.10845484584569931,5,0.8529109358787537,0.2,0.0001,0.9998082518577576,1.185261845588684
26,0.11334463208913803,5,0.8469968438148499,0.2,0.0001,0.9997990131378174,1.1941184997558594
27,0.11827147752046585,5,0.8411006331443787,0.2,0.0001,0.9997895359992981,1.2030807733535767
28,0.12322761863470078,5,0.8352213501930237,0.2,0.0001,0.9997801780700684,1.212149739265442
29,0.128215953707695,5,0.8293774127960205,0.2,0.0001,0.9997706413269043,1.2213319540023804
30,0.1332424283027649,5,0.8235612511634827,0.2,0.0001,0.9997610449790955,1.2306451797485352
31,0.1383104920387268,5,0.8177765607833862,0.2,0.0001,0.9997514486312866,1.240166187286377
32,0.1434381753206253,5,0.8120236992835999,0.2,0.0001,0.9997416734695435,1.2498644590377808
33,0.14860481023788452,5,0.8063042163848877,0.2,0.0001,0.9997319579124451,1.2597143650054932
34,0.15381979942321777,5,0.800615131855011,0.2,0.0001,0.9997223019599915,1.2696958780288696
35,0.15907728672027588,5,0.7949532866477966,0.2,0.0001,0.9997125864028931,1.2798093557357788
36,0.16436117887496948,5,0.7896192669868469,0.2,0.0001,0.999703049659729,1.290045976638794
