clip_range,approx_TV,ratios_min,num_agents,num_epochs,ratios_max,ratios_mean,learning_rate
0.3,0.0,1.0,5,0,1.0,1.0,0.0005
0.3,0.029519766569137573,0.9585182666778564,5,1,1.042585849761963,0.9991359114646912,0.0005
0.3,0.061475880444049835,0.9150757193565369,5,2,1.0900839567184448,0.9982043504714966,0.0005
0.3,0.0947219654917717,0.8712630867958069,5,3,1.1412146091461182,0.9972363114356995,0.0005
0.3,0.12889724969863892,0.827775239944458,5,4,1.1956851482391357,0.9962466359138489,0.0005
0.3,0.1638663113117218,0.7847844362258911,5,5,1.2538410425186157,0.9952384829521179,0.0005
0.3,0.19952547550201416,0.7425431609153748,5,6,1.315353512763977,0.9942129850387573,0.0005
0.3,0.23583433032035828,0.7011813521385193,5,7,1.3805904388427734,0.993170440196991,0.0005
0.3,0.2728000283241272,0.6607434153556824,5,8,1.4497746229171753,0.9921112656593323,0.0005
0.3,0.30960333347320557,0.6254323720932007,5,9,1.5204741954803467,0.9910616278648376,0.0005
0.3,0.3454137146472931,0.5956690311431885,5,10,1.5908865928649902,0.9900475740432739,0.0005
0.3,0.3800240159034729,0.5707988142967224,5,11,1.6602554321289062,0.9890921115875244,0.0005
0.3,0.4125775396823883,0.5508227348327637,5,12,1.7275141477584839,0.9882188439369202,0.0005
0.3,0.44310787320137024,0.5351647734642029,5,13,1.7918119430541992,0.9874322414398193,0.0005
0.3,0.4720521867275238,0.5237897038459778,5,14,1.8518388271331787,0.9867363572120667,0.0005
0.3,0.49728846549987793,0.5167492032051086,5,15,1.9063600301742554,0.986149251461029,0.0005
0.3,0.518065333366394,0.5138640999794006,5,16,1.954846978187561,0.985675573348999,0.0005
0.3,0.5340396165847778,0.5146141052246094,5,17,1.997615933418274,0.9853017330169678,0.0005
0.3,0.5452144742012024,0.5187777280807495,5,18,2.0343751907348633,0.9850171804428101,0.0005
0.3,0.5521352291107178,0.5260001420974731,5,19,2.0662875175476074,0.9848056435585022,0.0005
0.3,0.5544606447219849,0.5359350442886353,5,20,2.0921778678894043,0.9846542477607727,0.0005
0.3,0.5523614883422852,0.5391966700553894,5,21,2.1116042137145996,0.9845563769340515,0.0005
0.3,0.5471664071083069,0.539628803730011,5,22,2.125900983810425,0.9844878911972046,0.0005
0.3,0.5396689772605896,0.5411041378974915,5,23,2.136141300201416,0.9844390153884888,0.0005
0.3,0.533093273639679,0.543479323387146,5,24,2.141934871673584,0.9844046235084534,0.0005
0.3,0.5252295732498169,0.5465503334999084,5,25,2.1445629596710205,0.9843659996986389,0.0005
0.3,0.517428994178772,0.5501335263252258,5,26,2.143862247467041,0.9843135476112366,0.0005
0.3,0.5107150673866272,0.5539689660072327,5,27,2.1405789852142334,0.9842337965965271,0.0005
0.3,0.5041871070861816,0.5479031801223755,5,28,2.1349239349365234,0.9841251373291016,0.0005
0.3,0.49921727180480957,0.5395883917808533,5,29,2.126009225845337,0.9839971661567688,0.0005
0.3,0.4980214536190033,0.5329192876815796,5,30,2.114603281021118,0.9838501214981079,0.0005
0.3,0.5011208057403564,0.5275825262069702,5,31,2.1182749271392822,0.9836699962615967,0.0005
0.3,0.5063543319702148,0.5236101746559143,5,32,2.141862630844116,0.9834699034690857,0.0005
0.3,0.5129376649856567,0.5206610560417175,5,33,2.167419672012329,0.9832369685173035,0.0005
0.3,0.521467387676239,0.5179658532142639,5,34,2.196737289428711,0.9829629063606262,0.0005
0.3,0.5314498543739319,0.5159250497817993,5,35,2.227489709854126,0.9826548099517822,0.0005
0.3,0.5423649549484253,0.5152187943458557,5,36,2.2587103843688965,0.982322633266449,0.0005
