clip_range,approx_TV,ratios_min,num_agents,num_epochs,ratios_max,ratios_mean,learning_rate
0.3,0.92012619972229,0.3315841555595398,5,66,3.141507148742676,0.9697311520576477,0.0005
0.3,0.9352037906646729,0.3264489471912384,5,67,3.1565849781036377,0.9693112969398499,0.0005
0.3,0.9490476846694946,0.32187286019325256,5,68,3.170536518096924,0.9688915014266968,0.0005
0.3,0.9615793228149414,0.31753942370414734,5,69,3.180100440979004,0.9685243964195251,0.0005
0.3,0.9733177423477173,0.31298211216926575,5,70,3.1808958053588867,0.9682279229164124,0.0005
0.3,0.9838863015174866,0.3089081943035126,5,71,3.1744396686553955,0.9679749608039856,0.0005
0.3,0.9933429956436157,0.3052363991737366,5,72,3.169693946838379,0.9677013754844666,0.0005
0.3,1.0017701387405396,0.3021900951862335,5,73,3.1640756130218506,0.9674072265625,0.0005
0.3,1.0090020895004272,0.29954054951667786,5,74,3.1575820446014404,0.9671328663825989,0.0005
0.3,1.0148406028747559,0.2971440851688385,5,75,3.1518032550811768,0.9669027328491211,0.0005
0.3,1.0197608470916748,0.294961154460907,5,76,3.1494791507720947,0.9666858315467834,0.0005
0.3,1.0238512754440308,0.2931917607784271,5,77,3.1445178985595703,0.966464102268219,0.0005
0.3,1.0290229320526123,0.29134172201156616,5,78,3.1425013542175293,0.9661925435066223,0.0005
0.3,1.0357208251953125,0.28886932134628296,5,79,3.14359974861145,0.9659011363983154,0.0005
0.3,1.0437393188476562,0.2858932912349701,5,80,3.1496949195861816,0.9655853509902954,0.0005
0.3,1.0530023574829102,0.28255534172058105,5,81,3.1620402336120605,0.96523118019104,0.0005
0.3,1.0616354942321777,0.2794462740421295,5,82,3.1769487857818604,0.9648685455322266,0.0005
0.3,1.0674211978912354,0.2770932614803314,5,83,3.185933828353882,0.9645813703536987,0.0005
0.3,1.072218656539917,0.2753336429595947,5,84,3.1915953159332275,0.9643102288246155,0.0005
0.3,1.0776876211166382,0.27357545495033264,5,85,3.1988837718963623,0.9639808535575867,0.0005
0.3,1.0834696292877197,0.2715064287185669,5,86,3.202850103378296,0.9636473655700684,0.0005
0.3,1.0881896018981934,0.26953622698783875,5,87,3.2026050090789795,0.9633594751358032,0.0005
0.3,1.0920182466506958,0.26758334040641785,5,88,3.199479341506958,0.963107168674469,0.0005
0.3,1.0952098369598389,0.2666419446468353,5,89,3.192673444747925,0.9628598093986511,0.0005
0.3,1.098384141921997,0.2665940523147583,5,90,3.187222957611084,0.9625450372695923,0.0005
0.3,1.1030595302581787,0.2665431797504425,5,91,3.18932843208313,0.9621756076812744,0.0005
0.3,1.1097562313079834,0.2665058374404907,5,92,3.190096378326416,0.9618130326271057,0.0005
0.3,1.116050124168396,0.2663457989692688,5,93,3.1937124729156494,0.9614667892456055,0.0005
0.3,1.1210777759552002,0.2662818729877472,5,94,3.1968748569488525,0.9611319899559021,0.0005
0.3,1.125089168548584,0.2668617367744446,5,95,3.19922137260437,0.9607866406440735,0.0005
0.3,1.129734754562378,0.26689693331718445,5,96,3.2023050785064697,0.9604552388191223,0.0005
0.3,1.1364237070083618,0.2662084996700287,5,97,3.2131104469299316,0.9600145816802979,0.0005
0.3,1.141387939453125,0.26657459139823914,5,98,3.217930555343628,0.9596243500709534,0.0005
0.3,1.1450835466384888,0.267609566450119,5,99,3.216728925704956,0.95932936668396,0.0005
