learning_rate,ratios_max,num_agents,ratios_min,num_epochs,approx_TV,clip_range,ratios_mean
0.0004,1.0,5,1.0,0,0.0,0.2,1.0
0.0004,1.0182499885559082,5,0.9827492237091064,1,0.015996985137462616,0.2,0.9998372793197632
0.0004,1.0385035276412964,5,0.9638161659240723,2,0.03330212086439133,0.2,0.999657392501831
0.0004,1.0600234270095825,5,0.9441077709197998,3,0.05125277489423752,0.2,0.9994698762893677
0.0004,1.082566738128662,5,0.9240938425064087,4,0.0695652961730957,0.2,0.9992749691009521
0.0004,1.1062020063400269,5,0.9041722416877747,5,0.08801314979791641,0.2,0.9990733861923218
0.0004,1.1308300495147705,5,0.8842675685882568,6,0.10662999004125595,0.2,0.9988654255867004
0.0004,1.1564514636993408,5,0.8643582463264465,7,0.12525349855422974,0.2,0.9986538290977478
0.0004,1.1829737424850464,5,0.8444976806640625,8,0.14398102462291718,0.2,0.9984383583068848
0.0004,1.210483193397522,5,0.8248206377029419,9,0.1627872884273529,0.2,0.9982203841209412
0.0004,1.2388719320297241,5,0.8051696419715881,10,0.18167981505393982,0.2,0.9979996681213379
0.0004,1.2678302526474,5,0.785512387752533,11,0.20076122879981995,0.2,0.997775673866272
0.0004,1.2968670129776,5,0.7670826315879822,12,0.2198505699634552,0.2,0.9975592494010925
0.0004,1.325803518295288,5,0.752015233039856,13,0.23935966193675995,0.2,0.9973669648170471
0.0004,1.355075716972351,5,0.7400926351547241,14,0.25851500034332275,0.2,0.9971943497657776
0.0004,1.3839588165283203,5,0.7308431267738342,15,0.27656289935112,0.2,0.9970311522483826
0.0004,1.4122999906539917,5,0.7233002185821533,16,0.2931232154369354,0.2,0.9968714714050293
0.0004,1.439232587814331,5,0.7114734053611755,17,0.3080216944217682,0.2,0.996719241142273
0.0004,1.4638482332229614,5,0.7015753388404846,18,0.3216531574726105,0.2,0.9965692162513733
0.0004,1.4861952066421509,5,0.6934919953346252,19,0.33429327607154846,0.2,0.9964267015457153
0.0004,1.5059750080108643,5,0.6869490742683411,20,0.34541064500808716,0.2,0.9962987303733826
0.0004,1.5213935375213623,5,0.6818892359733582,21,0.35512736439704895,0.2,0.9961926341056824
0.0004,1.5323213338851929,5,0.6781762838363647,22,0.36325323581695557,0.2,0.9961016774177551
0.0004,1.5397698879241943,5,0.6755104064941406,23,0.36983656883239746,0.2,0.9960173964500427
0.0004,1.5444386005401611,5,0.6734349131584167,24,0.3752477169036865,0.2,0.9959431886672974
0.0004,1.5478878021240234,5,0.6715530753135681,25,0.3803529143333435,0.2,0.995873212814331
0.0004,1.5512616634368896,5,0.669847309589386,26,0.38543087244033813,0.2,0.9957911372184753
0.0004,1.5552663803100586,5,0.6684655547142029,27,0.3890303075313568,0.2,0.9956806302070618
0.0004,1.559930682182312,5,0.6673144698143005,28,0.39132261276245117,0.2,0.9955427646636963
0.0004,1.5661778450012207,5,0.6661778092384338,29,0.3925415575504303,0.2,0.9953793287277222
0.0004,1.5745795965194702,5,0.6650357246398926,30,0.39227530360221863,0.2,0.995169460773468
0.0004,1.5856165885925293,5,0.6637890338897705,31,0.390697181224823,0.2,0.994918704032898
0.0004,1.59928297996521,5,0.6624751687049866,32,0.3880499303340912,0.2,0.9946357607841492
0.0004,1.6146386861801147,5,0.6609030961990356,33,0.3846917152404785,0.2,0.9943293333053589
0.0004,1.6303281784057617,5,0.658992350101471,34,0.3815467357635498,0.2,0.9940166473388672
0.0004,1.6462757587432861,5,0.6569135189056396,35,0.3795229494571686,0.2,0.9936993718147278
0.0004,1.6621917486190796,5,0.6545493602752686,36,0.37880292534828186,0.2,0.9933848977088928
0.0004,1.676161289215088,5,0.6517252922058105,37,0.37891921401023865,0.2,0.9930796027183533
0.0004,1.689253330230713,5,0.6485760807991028,38,0.38048267364501953,0.2,0.9927800893783569
0.0004,1.701950192451477,5,0.6452476978302002,39,0.3865773677825928,0.2,0.9924904704093933
0.0004,1.7143511772155762,5,0.6419587135314941,40,0.3953714668750763,0.2,0.9922056198120117
0.0004,1.7275208234786987,5,0.6389908790588379,41,0.40284228324890137,0.2,0.9919303059577942
0.0004,1.7412033081054688,5,0.6361767649650574,42,0.40933290123939514,0.2,0.9916623830795288
0.0004,1.7543784379959106,5,0.6332595348358154,43,0.4150235056877136,0.2,0.991404116153717
0.0004,1.76847505569458,5,0.6305763721466064,44,0.41950976848602295,0.2,0.9911465048789978
0.0004,1.7827519178390503,5,0.6279929876327515,45,0.4229496419429779,0.2,0.9908816814422607
0.0004,1.7969651222229004,5,0.6254385113716125,46,0.4257183074951172,0.2,0.9906013607978821
0.0004,1.809353232383728,5,0.6228705644607544,47,0.42832300066947937,0.2,0.9903275370597839
0.0004,1.8197029829025269,5,0.6202864050865173,48,0.43057981133461,0.2,0.9900845885276794
0.0004,1.8287134170532227,5,0.6176100373268127,49,0.43243885040283203,0.2,0.9898579120635986
0.0004,1.8363691568374634,5,0.615270733833313,50,0.433412104845047,0.2,0.9896609783172607
0.0004,1.842624306678772,5,0.6129035949707031,51,0.434653639793396,0.2,0.9894790649414062
0.0004,1.8474377393722534,5,0.6107732653617859,52,0.4352841377258301,0.2,0.9893156290054321
0.0004,1.8509809970855713,5,0.608549952507019,53,0.43574830889701843,0.2,0.9891857504844666
0.0004,1.8545775413513184,5,0.6062847971916199,54,0.4360276162624359,0.2,0.9890830516815186
0.0004,1.8600863218307495,5,0.6039469838142395,55,0.43683165311813354,0.2,0.9889672994613647
0.0004,1.8676317930221558,5,0.6016479730606079,56,0.4382821321487427,0.2,0.9888399839401245
