clip_range,ratios_max,num_epochs,ratios_min,approx_TV,ratios_mean,learning_rate,num_agents
0.3,1.0,0,1.0,0.0,1.0,0.0002,5
0.3,1.0169117450714111,1,0.9833046197891235,0.011803418397903442,0.9996544122695923,0.0002,5
0.3,1.0353888273239136,2,0.9655165076255798,0.024584941565990448,0.9992820024490356,0.0002,5
0.3,1.054850459098816,3,0.9472630023956299,0.03788631036877632,0.9988958835601807,0.0002,5
0.3,1.0751076936721802,4,0.928794801235199,0.051524024456739426,0.9985001087188721,0.0002,5
0.3,1.096052646636963,5,0.91023850440979,0.06540603190660477,0.9980968236923218,0.0002,5
0.3,1.117631196975708,6,0.8916690349578857,0.07948358356952667,0.9976884722709656,0.0002,5
0.3,1.1398062705993652,7,0.873164713382721,0.09372557699680328,0.9972753524780273,0.0002,5
0.3,1.1625632047653198,8,0.8547320365905762,0.1081087738275528,0.9968591928482056,0.0002,5
0.3,1.1860747337341309,9,0.8363929986953735,0.12265201658010483,0.9964393377304077,0.0002,5
0.3,1.2102941274642944,10,0.8181294202804565,0.13732922077178955,0.9960154891014099,0.0002,5
0.3,1.2351539134979248,11,0.7999574542045593,0.1521344929933548,0.9955892562866211,0.0002,5
0.3,1.260552167892456,12,0.7819047570228577,0.16706448793411255,0.9951598048210144,0.0002,5
0.3,1.2866464853286743,13,0.7639893293380737,0.1821240335702896,0.9947266578674316,0.0002,5
0.3,1.3134516477584839,14,0.7462127208709717,0.19731180369853973,0.994290292263031,0.0002,5
0.3,1.3410017490386963,15,0.7285791635513306,0.21262846887111664,0.9938505291938782,0.0002,5
0.3,1.3693294525146484,16,0.7110840678215027,0.228074848651886,0.9934071898460388,0.0002,5
0.3,1.3984630107879639,17,0.693720817565918,0.24365581572055817,0.9929601550102234,0.0002,5
0.3,1.4283370971679688,18,0.6767677068710327,0.25935423374176025,0.992509663105011,0.0002,5
0.3,1.458675503730774,19,0.6608209013938904,0.2750442326068878,0.9920594096183777,0.0002,5
0.3,1.4891688823699951,20,0.6461582183837891,0.29063552618026733,0.9916127920150757,0.0002,5
0.3,1.5194408893585205,21,0.6329191327095032,0.30602794885635376,0.9911724925041199,0.0002,5
0.3,1.5491728782653809,22,0.621213436126709,0.32116222381591797,0.9907442927360535,0.0002,5
0.3,1.578315019607544,23,0.6109216809272766,0.335959255695343,0.9903322458267212,0.0002,5
0.3,1.6067695617675781,24,0.6019335389137268,0.35031479597091675,0.9899381995201111,0.0002,5
0.3,1.6345775127410889,25,0.5941283106803894,0.3641916513442993,0.9895620942115784,0.0002,5
0.3,1.6616687774658203,26,0.5873912572860718,0.37759602069854736,0.9892067909240723,0.0002,5
0.3,1.6880296468734741,27,0.5815607905387878,0.3905283510684967,0.9888713955879211,0.0002,5
0.3,1.7137423753738403,28,0.5765299797058105,0.40330952405929565,0.9885563254356384,0.0002,5
0.3,1.738714575767517,29,0.5722047686576843,0.41560080647468567,0.9882647395133972,0.0002,5
0.3,1.7628726959228516,30,0.5686883330345154,0.4273878335952759,0.9879964590072632,0.0002,5
