learning_rate,approx_TV,num_epochs,ratios_min,ratios_mean,ratios_max,clip_range,num_agents
0.0001,0.0,0,1.0,0.9999999403953552,1.0,0.4,5
0.0001,0.0076308473944664,1,0.9949530363082886,0.9999995231628418,1.0054885149002075,0.4,5
0.0001,0.01589849591255188,2,0.9894684553146362,0.999998927116394,1.011460781097412,0.4,5
0.0001,0.02449515461921692,3,0.9837769865989685,0.9999985098838806,1.0176912546157837,0.4,5
0.0001,0.03330390155315399,4,0.9779598712921143,0.9999979138374329,1.024094581604004,0.4,5
0.0001,0.04225790500640869,5,0.9720708727836609,0.9999972581863403,1.0306262969970703,0.4,5
0.0001,0.05131501704454422,6,0.966139554977417,0.9999962449073792,1.0372689962387085,0.4,5
0.0001,0.0604575052857399,7,0.9601884484291077,0.9999955296516418,1.043990969657898,0.4,5
0.0001,0.06966664642095566,8,0.9542354345321655,0.999994695186615,1.050779938697815,0.4,5
0.0001,0.07892405241727829,9,0.9482923150062561,0.9999938607215881,1.0576298236846924,0.4,5
0.0001,0.08821973204612732,10,0.9423664212226868,0.9999932050704956,1.0645335912704468,0.4,5
0.0001,0.09754637628793716,11,0.9364650249481201,0.9999925494194031,1.0714833736419678,0.4,5
0.0001,0.10689349472522736,12,0.9305940866470337,0.9999921321868896,1.0784754753112793,0.4,5
0.0001,0.11626403778791428,13,0.9247546792030334,0.9999912977218628,1.0855138301849365,0.4,5
0.0001,0.12564989924430847,14,0.9189501404762268,0.9999903440475464,1.09260094165802,0.4,5
0.0001,0.13505089282989502,15,0.9131796360015869,0.9999894499778748,1.0997228622436523,0.4,5
0.0001,0.1444571316242218,16,0.9074499607086182,0.9999881386756897,1.1068774461746216,0.4,5
0.0001,0.1538640260696411,17,0.9017640948295593,0.999987006187439,1.114147424697876,0.4,5
0.0001,0.16327016055583954,18,0.8961241245269775,0.9999857544898987,1.121904969215393,0.4,5
0.0001,0.17267575860023499,19,0.8905458450317383,0.999984622001648,1.1297696828842163,0.4,5
0.0001,0.18207666277885437,20,0.8850293755531311,0.9999836087226868,1.1377440690994263,0.4,5
0.0001,0.19146010279655457,21,0.8795777559280396,0.9999825954437256,1.1458312273025513,0.4,5
0.0001,0.20082801580429077,22,0.874180018901825,0.9999818205833435,1.1540353298187256,0.4,5
0.0001,0.2101897895336151,23,0.8688362836837769,0.9999812245368958,1.1623635292053223,0.4,5
0.0001,0.21954579651355743,24,0.8632926344871521,0.9999807476997375,1.1708252429962158,0.4,5
0.0001,0.22890973091125488,25,0.8575683832168579,0.9999805688858032,1.1794129610061646,0.4,5
0.0001,0.2382703423500061,26,0.8518497943878174,0.9999803900718689,1.1881340742111206,0.4,5
0.0001,0.24762722849845886,27,0.8461029529571533,0.9999801516532898,1.197006344795227,0.4,5
0.0001,0.2569621503353119,28,0.8403517007827759,0.9999799132347107,1.206018328666687,0.4,5
0.0001,0.2662656307220459,29,0.8346054553985596,0.9999796152114868,1.2151694297790527,0.4,5
0.0001,0.2755603790283203,30,0.8288654685020447,0.999979555606842,1.2244678735733032,0.4,5
0.0001,0.2848466634750366,31,0.8231307864189148,0.9999794363975525,1.23391592502594,0.4,5
0.0001,0.2941206693649292,32,0.8173995018005371,0.9999792575836182,1.2435171604156494,0.4,5
0.0001,0.30338793992996216,33,0.8116708397865295,0.9999792575836182,1.253275752067566,0.4,5
0.0001,0.31264859437942505,34,0.8059511780738831,0.9999789595603943,1.263197422027588,0.4,5
0.0001,0.3219032883644104,35,0.8002327084541321,0.9999787211418152,1.2732841968536377,0.4,5
0.0001,0.3311498761177063,36,0.7945155501365662,0.9999784231185913,1.2835402488708496,0.4,5
0.0001,0.3403882682323456,37,0.7887957096099854,0.999978244304657,1.2939724922180176,0.4,5
0.0001,0.3496192693710327,38,0.7830694913864136,0.9999783039093018,1.3045815229415894,0.4,5
0.0001,0.3588441014289856,39,0.7773425579071045,0.9999787211418152,1.315379023551941,0.4,5
0.0001,0.36806508898735046,40,0.7716118693351746,0.9999793171882629,1.3263671398162842,0.4,5
0.0001,0.3772848844528198,41,0.7658761143684387,0.9999797940254211,1.3375457525253296,0.4,5
0.0001,0.3865029215812683,42,0.7601434588432312,0.9999805688858032,1.3489141464233398,0.4,5
0.0001,0.3957132399082184,43,0.7544112205505371,0.9999816417694092,1.3605097532272339,0.4,5
0.0001,0.4049232602119446,44,0.7486781477928162,0.9999826550483704,1.3723093271255493,0.4,5
0.0001,0.4141334891319275,45,0.7429329752922058,0.999984085559845,1.3843169212341309,0.4,5
0.0001,0.42334651947021484,46,0.7371837496757507,0.9999857544898987,1.39653480052948,0.4,5
0.0001,0.4325636625289917,47,0.7314364910125732,0.9999874830245972,1.408967137336731,0.4,5
0.0001,0.44179868698120117,48,0.7257699966430664,0.9999890327453613,1.4208756685256958,0.4,5
0.0001,0.4510675072669983,49,0.7202527523040771,0.9999905228614807,1.4316134452819824,0.4,5
0.0001,0.4603603482246399,50,0.7148787379264832,0.9999914765357971,1.4413232803344727,0.4,5
0.0001,0.46966469287872314,51,0.7096754312515259,0.9999921917915344,1.4499375820159912,0.4,5
0.0001,0.4789883494377136,52,0.7046276926994324,0.9999925494194031,1.457567572593689,0.4,5
0.0001,0.4883309006690979,53,0.6997201442718506,0.9999925494194031,1.4643346071243286,0.4,5
0.0001,0.49763214588165283,54,0.6949989795684814,0.9999903440475464,1.4699816703796387,0.4,5
0.0001,0.5068901777267456,55,0.6904457211494446,0.9999865293502808,1.4746369123458862,0.4,5
0.0001,0.5161168575286865,56,0.6860525608062744,0.9999809861183167,1.4783576726913452,0.4,5
0.0001,0.5252888202667236,57,0.6818974614143372,0.9999725818634033,1.4807440042495728,0.4,5
0.0001,0.5344114303588867,58,0.677958607673645,0.9999613761901855,1.4845103025436401,0.4,5
0.0001,0.5434756278991699,59,0.6742122769355774,0.9999483823776245,1.4944037199020386,0.4,5
0.0001,0.5524520874023438,60,0.6706310510635376,0.9999324679374695,1.5040309429168701,0.4,5
0.0001,0.5612908005714417,61,0.6672161817550659,0.9999125599861145,1.5132218599319458,0.4,5
0.0001,0.5698238611221313,62,0.6639307737350464,0.9998852014541626,1.5211701393127441,0.4,5
0.0001,0.577908456325531,63,0.6607428789138794,0.9998473525047302,1.527329444885254,0.4,5
0.0001,0.5855898857116699,64,0.6576459407806396,0.9998005628585815,1.5319315195083618,0.4,5
0.0001,0.5929000377655029,65,0.654547929763794,0.9997462034225464,1.5351495742797852,0.4,5
0.0001,0.5998775959014893,66,0.6514459848403931,0.9996849894523621,1.5371360778808594,0.4,5
0.0001,0.6065551042556763,67,0.6483433246612549,0.9996179342269897,1.538029670715332,0.4,5
0.0001,0.6129703521728516,68,0.6452412009239197,0.999545156955719,1.5379652976989746,0.4,5
0.0001,0.6191538572311401,69,0.6421385407447815,0.9994677305221558,1.537031888961792,0.4,5
0.0001,0.6251317262649536,70,0.6390317678451538,0.9993860125541687,1.5458197593688965,0.4,5
0.0001,0.6309322714805603,71,0.6359204053878784,0.999300479888916,1.5588730573654175,0.4,5
0.0001,0.636581301689148,72,0.6328067779541016,0.999211311340332,1.572121024131775,0.4,5
0.0001,0.6421204805374146,73,0.6296927332878113,0.9991201162338257,1.585507869720459,0.4,5
0.0001,0.6475716829299927,74,0.6265777945518494,0.9990268349647522,1.5990321636199951,0.4,5
0.0001,0.6530765295028687,75,0.6234756708145142,0.9989345073699951,1.612653374671936,0.4,5
0.0001,0.6586825847625732,76,0.6204167604446411,0.9988440275192261,1.626348853111267,0.4,5
0.0001,0.6643680334091187,77,0.6174072623252869,0.998755156993866,1.6401257514953613,0.4,5
0.0001,0.6701228022575378,78,0.614437997341156,0.9986673593521118,1.6539946794509888,0.4,5
0.0001,0.6760157346725464,79,0.6114464402198792,0.9985835552215576,1.6679469347000122,0.4,5
