learning_rate,ratios_min,approx_TV,ratios_mean,clip_range,ratios_max,num_epochs,num_agents
0.0005,1.0,0.0,0.9999999403953552,0.4,1.0,0,5
0.0005,0.9750160574913025,0.0380798801779747,0.9999976754188538,0.4,1.0275169610977173,1,5
0.0005,0.9485874772071838,0.07904863357543945,0.9999938011169434,0.4,1.0575875043869019,2,5
0.0005,0.9220438003540039,0.12130100280046463,0.9999903440475464,0.4,1.0890384912490845,3,5
0.0005,0.8958256840705872,0.16426026821136475,0.9999849796295166,0.4,1.1215457916259766,4,5
0.0005,0.8703357577323914,0.20751765370368958,0.9999801516532898,0.4,1.1548798084259033,5,5
0.0005,0.8449198007583618,0.25083351135253906,0.9999772310256958,0.4,1.1908026933670044,6,5
0.0005,0.8187121152877808,0.2940613627433777,0.9999744296073914,0.4,1.2296507358551025,7,5
0.0005,0.792689859867096,0.3371928334236145,0.9999696612358093,0.4,1.2705689668655396,8,5
0.0005,0.7668552994728088,0.3802148699760437,0.9999639987945557,0.4,1.3137564659118652,9,5
0.0005,0.7412261366844177,0.4230588376522064,0.9999596476554871,0.4,1.359392523765564,10,5
0.0005,0.7157584428787231,0.4657297730445862,0.9999568462371826,0.4,1.4076969623565674,11,5
0.0005,0.6907817125320435,0.5082971453666687,0.999954104423523,0.4,1.4554193019866943,12,5
0.0005,0.6669325828552246,0.5507029891014099,0.9999496340751648,0.4,1.4984420537948608,13,5
0.0005,0.6449946761131287,0.5927468538284302,0.9999356269836426,0.4,1.5320481061935425,14,5
0.0005,0.6250475645065308,0.6341544389724731,0.9999028444290161,0.4,1.5564680099487305,15,5
0.0005,0.6068095564842224,0.6726613640785217,0.9998112916946411,0.4,1.5906243324279785,16,5
0.0005,0.5900112390518188,0.7079391479492188,0.9996548295021057,0.4,1.614260196685791,17,5
0.0005,0.5745510458946228,0.7398266196250916,0.999437153339386,0.4,1.6274951696395874,18,5
0.0005,0.5604441165924072,0.7685878276824951,0.999161958694458,0.4,1.661906123161316,19,5
0.0005,0.5475373864173889,0.7946266531944275,0.9988281726837158,0.4,1.7166978120803833,20,5
0.0005,0.5359213352203369,0.8181448578834534,0.9984480738639832,0.4,1.773622989654541,21,5
0.0005,0.5261667370796204,0.8386977910995483,0.9980410933494568,0.4,1.8322135210037231,22,5
0.0005,0.5185171365737915,0.8567044734954834,0.9976156949996948,0.4,1.891573190689087,23,5
0.0005,0.5100884437561035,0.8722547292709351,0.9971954822540283,0.4,1.9493361711502075,24,5
0.0005,0.49144428968429565,0.8850531578063965,0.9968017935752869,0.4,2.0030462741851807,25,5
0.0005,0.4755857586860657,0.8954932689666748,0.9964557886123657,0.4,2.050487995147705,26,5
0.0005,0.46273380517959595,0.9039770364761353,0.9961721301078796,0.4,2.0909459590911865,27,5
0.0005,0.45274120569229126,0.9107905030250549,0.9959561228752136,0.4,2.124542474746704,28,5
0.0005,0.44499772787094116,0.9161107540130615,0.9957932829856873,0.4,2.1524908542633057,29,5
0.0005,0.4393027722835541,0.9203875660896301,0.9956779479980469,0.4,2.175130844116211,30,5
0.0005,0.43556350469589233,0.9238108396530151,0.9955996870994568,0.4,2.1929025650024414,31,5
0.0005,0.43320563435554504,0.9269101619720459,0.9955394268035889,0.4,2.207127094268799,32,5
0.0005,0.4320274591445923,0.9295042753219604,0.9954798817634583,0.4,2.2192270755767822,33,5
0.0005,0.4283084571361542,0.9318051338195801,0.995406448841095,0.4,2.230147123336792,34,5
0.0005,0.4195252060890198,0.9336783289909363,0.9953135848045349,0.4,2.239980936050415,35,5
0.0005,0.41159766912460327,0.9352104663848877,0.9952005743980408,0.4,2.2483222484588623,36,5
0.0005,0.4044977128505707,0.9365065693855286,0.9950662851333618,0.4,2.255390167236328,37,5
0.0005,0.3981876075267792,0.9374808073043823,0.994916558265686,0.4,2.2611119747161865,38,5
0.0005,0.3925440311431885,0.938248872756958,0.9947622418403625,0.4,2.2655186653137207,39,5
0.0005,0.3872871398925781,0.9398821592330933,0.9946045279502869,0.4,2.2692599296569824,40,5
0.0005,0.38281500339508057,0.9406824111938477,0.9944523572921753,0.4,2.271348714828491,41,5
0.0005,0.3790365755558014,0.9405626654624939,0.9943311214447021,0.4,2.2716662883758545,42,5
0.0005,0.37581387162208557,0.9397054314613342,0.9942378997802734,0.4,2.2703537940979004,43,5
0.0005,0.3725862205028534,0.9379657506942749,0.9941713213920593,0.4,2.2850372791290283,44,5
0.0005,0.3689556121826172,0.9345256686210632,0.994113028049469,0.4,2.305466890335083,45,5
0.0005,0.36511892080307007,0.9297382831573486,0.9940523505210876,0.4,2.326310634613037,46,5
0.0005,0.361037015914917,0.9260199069976807,0.9939789175987244,0.4,2.3478341102600098,47,5
0.0005,0.3566909730434418,0.9219306707382202,0.9938791394233704,0.4,2.3701634407043457,48,5
0.0005,0.3521953225135803,0.9180185794830322,0.9937553405761719,0.4,2.392936944961548,49,5
0.0005,0.34804731607437134,0.9147306084632874,0.993622362613678,0.4,2.415144443511963,50,5
0.0005,0.3445570170879364,0.913456916809082,0.9935095906257629,0.4,2.434936761856079,51,5
0.0005,0.3413996398448944,0.9140214920043945,0.9934152960777283,0.4,2.4527058601379395,52,5
0.0005,0.33870649337768555,0.9158251881599426,0.9933430552482605,0.4,2.4693892002105713,53,5
0.0005,0.3362370431423187,0.9178786873817444,0.9932796359062195,0.4,2.486515522003174,54,5
0.0005,0.33353516459465027,0.9202077388763428,0.9932075142860413,0.4,2.5068655014038086,55,5
0.0005,0.33031904697418213,0.9222122430801392,0.9931135177612305,0.4,2.5311782360076904,56,5
