ratios_min,clip_range,num_epochs,ratios_mean,ratios_max,num_agents,learning_rate,approx_TV
1.0,0.3,0,1.0,1.0,5,0.0002,0.0
0.9881307482719421,0.3,1,0.9998210072517395,1.0131385326385498,5,0.0002,0.009560443460941315
0.9751690030097961,0.3,2,0.9996253848075867,1.0276175737380981,5,0.0002,0.020003274083137512
0.9616138339042664,0.3,3,0.9994206428527832,1.042877197265625,5,0.0002,0.030935116112232208
0.9477665424346924,0.3,4,0.9992093443870544,1.058756947517395,5,0.0002,0.04220741614699364
0.9337443709373474,0.3,5,0.9989932179450989,1.0751899480819702,5,0.0002,0.05374019965529442
0.9196663498878479,0.3,6,0.9987730979919434,1.092100977897644,5,0.0002,0.06548621505498886
0.9055777192115784,0.3,7,0.9985487461090088,1.1094332933425903,5,0.0002,0.07744693756103516
0.891483724117279,0.3,8,0.9983206391334534,1.1272059679031372,5,0.0002,0.08959434926509857
0.87740159034729,0.3,9,0.9980894923210144,1.1454330682754517,5,0.0002,0.10191258043050766
0.8633553981781006,0.3,10,0.9978553652763367,1.1641138792037964,5,0.0002,0.11438810080289841
0.8493644595146179,0.3,11,0.9976191520690918,1.1833515167236328,5,0.0002,0.12702156603336334
0.8354858160018921,0.3,12,0.9973806738853455,1.2031689882278442,5,0.0002,0.13980771601200104
0.8216888308525085,0.3,13,0.9971392750740051,1.2234560251235962,5,0.0002,0.1527479588985443
0.8079637885093689,0.3,14,0.9968944191932678,1.244227647781372,5,0.0002,0.1659090220928192
0.7943028807640076,0.3,15,0.9966465830802917,1.2653647661209106,5,0.0002,0.17924055457115173
0.7807155847549438,0.3,16,0.996396541595459,1.2869915962219238,5,0.0002,0.19275030493736267
0.767201840877533,0.3,17,0.9961435794830322,1.3091533184051514,5,0.0002,0.20643672347068787
0.7532756924629211,0.3,18,0.9958886504173279,1.3318753242492676,5,0.0002,0.22031472623348236
0.7389772534370422,0.3,19,0.9956308603286743,1.3551629781723022,5,0.0002,0.23439665138721466
0.724678099155426,0.3,20,0.9953704476356506,1.3790217638015747,5,0.0002,0.24869465827941895
0.7103822231292725,0.3,21,0.9951080679893494,1.403457760810852,5,0.0002,0.26320546865463257
0.6960894465446472,0.3,22,0.9948434233665466,1.4285227060317993,5,0.0002,0.2779361605644226
0.6821224093437195,0.3,23,0.9945763945579529,1.4542686939239502,5,0.0002,0.29286420345306396
0.6684218049049377,0.3,24,0.9943087100982666,1.4805821180343628,5,0.0002,0.3078919053077698
0.6550082564353943,0.3,25,0.9940447807312012,1.507107138633728,5,0.0002,0.3228462338447571
0.6424339413642883,0.3,26,0.99378901720047,1.533418893814087,5,0.0002,0.3373616337776184
0.6307701468467712,0.3,27,0.993546187877655,1.559001088142395,5,0.0002,0.3511238694190979
0.6202449202537537,0.3,28,0.9933200478553772,1.58328378200531,5,0.0002,0.36388835310935974
0.6106938123703003,0.3,29,0.9931076169013977,1.60634446144104,5,0.0002,0.3757401704788208
0.6019470691680908,0.3,30,0.9929097890853882,1.628113865852356,5,0.0002,0.3867289125919342
0.5941250920295715,0.3,31,0.9927272200584412,1.6484729051589966,5,0.0002,0.39695799350738525
0.5872645974159241,0.3,32,0.9925615191459656,1.6671868562698364,5,0.0002,0.4061027467250824
0.5816296339035034,0.3,33,0.9924158453941345,1.6841347217559814,5,0.0002,0.4140230715274811
0.5771818161010742,0.3,34,0.9922877550125122,1.6994407176971436,5,0.0002,0.42073965072631836
0.5739579200744629,0.3,35,0.9921783208847046,1.71309494972229,5,0.0002,0.42619287967681885
0.5718871355056763,0.3,36,0.9920860528945923,1.7255150079727173,5,0.0002,0.43037527799606323
0.5707314014434814,0.3,37,0.992012619972229,1.736599326133728,5,0.0002,0.4335818886756897
0.5703494548797607,0.3,38,0.9919553399085999,1.746460199356079,5,0.0002,0.4356195330619812
0.5706965923309326,0.3,39,0.9919169545173645,1.754974365234375,5,0.0002,0.4364768862724304
0.571729302406311,0.3,40,0.9918952584266663,1.7622774839401245,5,0.0002,0.4361090362071991
0.5734537839889526,0.3,41,0.9918874502182007,1.768552303314209,5,0.0002,0.43464016914367676
0.5757465362548828,0.3,42,0.9918907284736633,1.7743629217147827,5,0.0002,0.432343065738678
0.5784547328948975,0.3,43,0.9918999075889587,1.7802308797836304,5,0.0002,0.42942914366722107
0.5815171599388123,0.3,44,0.9919127225875854,1.7867414951324463,5,0.0002,0.42668336629867554
0.5847694277763367,0.3,45,0.9919261336326599,1.7937995195388794,5,0.0002,0.423850953578949
0.5880232453346252,0.3,46,0.9919379353523254,1.8014687299728394,5,0.0002,0.4211937189102173
0.591276228427887,0.3,47,0.9919491410255432,1.809622049331665,5,0.0002,0.41851890087127686
0.5943489670753479,0.3,48,0.9919588565826416,1.8181666135787964,5,0.0002,0.4188578128814697
0.5972132682800293,0.3,49,0.9919657707214355,1.8270989656448364,5,0.0002,0.4196198880672455
0.5997678637504578,0.3,50,0.9919692873954773,1.8366154432296753,5,0.0002,0.42038482427597046
0.600382924079895,0.3,51,0.9919673800468445,1.847289800643921,5,0.0002,0.42126914858818054
0.5995615124702454,0.3,52,0.9919573664665222,1.8585797548294067,5,0.0002,0.4223056435585022
0.5994254350662231,0.3,53,0.9919389486312866,1.8703274726867676,5,0.0002,0.4235698878765106
0.5998801589012146,0.3,54,0.9919135570526123,1.882286548614502,5,0.0002,0.4252331554889679
0.6008885502815247,0.3,55,0.9918825030326843,1.8944065570831299,5,0.0002,0.42770376801490784
0.6004378795623779,0.3,56,0.9918453097343445,1.9066871404647827,5,0.0002,0.43037980794906616
