learning_rate,num_agents,ratios_min,clip_range,num_epochs,approx_TV,ratios_mean,ratios_max
0.0001,5,1.0,0.1,0,0.0,0.9999999403953552,1.0
0.0001,5,0.9949530363082886,0.1,1,0.0076308473944664,0.9999995231628418,1.0054885149002075
0.0001,5,0.9894684553146362,0.1,2,0.01589849591255188,0.999998927116394,1.011460781097412
0.0001,5,0.9837769865989685,0.1,3,0.02449515461921692,0.9999985098838806,1.0176912546157837
0.0001,5,0.9779598712921143,0.1,4,0.03330390155315399,0.9999979138374329,1.024094581604004
0.0001,5,0.9720708727836609,0.1,5,0.04225790500640869,0.9999972581863403,1.0306262969970703
0.0001,5,0.966139554977417,0.1,6,0.05131501704454422,0.9999962449073792,1.0372689962387085
0.0001,5,0.9601884484291077,0.1,7,0.0604575052857399,0.9999955296516418,1.043990969657898
0.0001,5,0.9542354345321655,0.1,8,0.06966664642095566,0.999994695186615,1.050779938697815
0.0001,5,0.9482923150062561,0.1,9,0.07892405241727829,0.9999938607215881,1.0576298236846924
0.0001,5,0.9423664212226868,0.1,10,0.08821973204612732,0.9999932050704956,1.0645335912704468
0.0001,5,0.9364650249481201,0.1,11,0.09754637628793716,0.9999925494194031,1.0714833736419678
0.0001,5,0.9305940866470337,0.1,12,0.10689349472522736,0.9999921321868896,1.0784754753112793
0.0001,5,0.9247546792030334,0.1,13,0.11626403778791428,0.9999912977218628,1.0855138301849365
0.0001,5,0.9189501404762268,0.1,14,0.12564989924430847,0.9999903440475464,1.09260094165802
0.0001,5,0.9131796360015869,0.1,15,0.13505089282989502,0.9999894499778748,1.0997228622436523
0.0001,5,0.9074499607086182,0.1,16,0.1444571316242218,0.9999881386756897,1.1068774461746216
0.0001,5,0.9017691612243652,0.1,17,0.15384319424629211,0.9999868273735046,1.113712191581726
0.0001,5,0.8961347937583923,0.1,18,0.16316133737564087,0.9999843239784241,1.120327115058899
0.0001,5,0.8906703591346741,0.1,19,0.17238736152648926,0.9999799132347107,1.126783847808838
0.0001,5,0.8854437470436096,0.1,20,0.18149618804454803,0.9999735951423645,1.133709192276001
0.0001,5,0.8806483149528503,0.1,21,0.1902732253074646,0.9999622106552124,1.139943242073059
0.0001,5,0.876318633556366,0.1,22,0.1985349804162979,0.9999439120292664,1.145052194595337
0.0001,5,0.8724125623703003,0.1,23,0.2062423676252365,0.9999187588691711,1.1507843732833862
0.0001,5,0.8689779043197632,0.1,24,0.21330812573432922,0.9998858571052551,1.156785249710083
0.0001,5,0.8660512566566467,0.1,25,0.2197704017162323,0.9998466372489929,1.1628119945526123
0.0001,5,0.8636138439178467,0.1,26,0.22561892867088318,0.999801516532898,1.168874740600586
0.0001,5,0.8617621660232544,0.1,27,0.23065483570098877,0.9997516870498657,1.1747528314590454
0.0001,5,0.8595053553581238,0.1,28,0.2348768413066864,0.9996975660324097,1.1803040504455566
0.0001,5,0.8575931787490845,0.1,29,0.23829105496406555,0.9996410608291626,1.1854732036590576
0.0001,5,0.8560436367988586,0.1,30,0.24097499251365662,0.9995837211608887,1.1902419328689575
0.0001,5,0.8548272252082825,0.1,31,0.24297982454299927,0.9995259046554565,1.1946594715118408
0.0001,5,0.8538660407066345,0.1,32,0.24430209398269653,0.9994688034057617,1.1986819505691528
0.0001,5,0.8531286120414734,0.1,33,0.24496540427207947,0.9994137287139893,1.2022944688796997
0.0001,5,0.852541983127594,0.1,34,0.2450692504644394,0.9993615746498108,1.205503225326538
0.0001,5,0.8520821332931519,0.1,35,0.24481254816055298,0.9993147850036621,1.2081279754638672
0.0001,5,0.8517543077468872,0.1,36,0.24426445364952087,0.9992749691009521,1.2101351022720337
0.0001,5,0.85155189037323,0.1,37,0.24349258840084076,0.9992409348487854,1.2115684747695923
0.0001,5,0.8514619469642639,0.1,38,0.24262744188308716,0.9992126226425171,1.212834358215332
0.0001,5,0.8506039977073669,0.1,39,0.24171721935272217,0.9991881251335144,1.215729832649231
0.0001,5,0.8496442437171936,0.1,40,0.24085012078285217,0.99916672706604,1.2184221744537354
0.0001,5,0.8490511178970337,0.1,41,0.2400323450565338,0.9991472959518433,1.2209866046905518
0.0001,5,0.8487609624862671,0.1,42,0.2392054796218872,0.9991284608840942,1.223347544670105
0.0001,5,0.8486303687095642,0.1,43,0.23838448524475098,0.9991098642349243,1.2254408597946167
0.0001,5,0.8486126661300659,0.1,44,0.23759178817272186,0.9990915656089783,1.2272300720214844
0.0001,5,0.8478075861930847,0.1,45,0.23680247366428375,0.9990729689598083,1.2287458181381226
0.0001,5,0.8463974595069885,0.1,46,0.23606730997562408,0.9990541934967041,1.2299919128417969
0.0001,5,0.8447959423065186,0.1,47,0.2354162633419037,0.9990367293357849,1.2310044765472412
0.0001,5,0.8430317640304565,0.1,48,0.23487260937690735,0.9990215301513672,1.2318460941314697
0.0001,5,0.8411780595779419,0.1,49,0.23448994755744934,0.9990073442459106,1.232670783996582
0.0001,5,0.8392905592918396,0.1,50,0.234241783618927,0.9989923238754272,1.2336106300354004
0.0001,5,0.8373990654945374,0.1,51,0.23422127962112427,0.9989780187606812,1.2347663640975952
0.0001,5,0.8357059359550476,0.1,52,0.23442813754081726,0.9989640116691589,1.2362066507339478
0.0001,5,0.8341912627220154,0.1,53,0.2348598837852478,0.998950719833374,1.2379150390625
0.0001,5,0.8328840136528015,0.1,54,0.2353975921869278,0.9989385008811951,1.2397526502609253
0.0001,5,0.8317021727561951,0.1,55,0.23595233261585236,0.9989266991615295,1.241614818572998
0.0001,5,0.8306063413619995,0.1,56,0.23643606901168823,0.9989148378372192,1.243447184562683
0.0001,5,0.8295866847038269,0.1,57,0.23678231239318848,0.9989029765129089,1.2451666593551636
0.0001,5,0.8285864591598511,0.1,58,0.23696494102478027,0.9988910555839539,1.2467336654663086
0.0001,5,0.8276638388633728,0.1,59,0.2369207888841629,0.998879611492157,1.248152256011963
0.0001,5,0.8268492817878723,0.1,60,0.2369239330291748,0.998869776725769,1.249405026435852
