learning_rate,num_agents,ratios_min,clip_range,num_epochs,approx_TV,ratios_mean,ratios_max
0.0001,5,0.8261725902557373,0.1,61,0.23689112067222595,0.998859703540802,1.250510811805725
0.0001,5,0.8256151080131531,0.1,62,0.2367049902677536,0.9988483190536499,1.251564621925354
0.0001,5,0.8252097368240356,0.1,63,0.23641780018806458,0.9988363981246948,1.2524179220199585
0.0001,5,0.8248918056488037,0.1,64,0.23616546392440796,0.998824417591095,1.2530657052993774
0.0001,5,0.8246434926986694,0.1,65,0.23588423430919647,0.9988128542900085,1.2535271644592285
0.0001,5,0.8244577050209045,0.1,66,0.23553147912025452,0.9988006949424744,1.2538329362869263
0.0001,5,0.8244030475616455,0.1,67,0.23518192768096924,0.9987894296646118,1.2539265155792236
0.0001,5,0.8244174122810364,0.1,68,0.2348969578742981,0.9987790584564209,1.2538795471191406
0.0001,5,0.8245996832847595,0.1,69,0.23459166288375854,0.9987679719924927,1.2537893056869507
0.0001,5,0.8248333930969238,0.1,70,0.23429054021835327,0.9987565875053406,1.2536401748657227
0.0001,5,0.8251475095748901,0.1,71,0.23406918346881866,0.9987476468086243,1.2534279823303223
0.0001,5,0.824320912361145,0.1,72,0.23393183946609497,0.9987415075302124,1.253114938735962
0.0001,5,0.8233309984207153,0.1,73,0.2338656634092331,0.9987374544143677,1.2527583837509155
0.0001,5,0.8225206732749939,0.1,74,0.23396383225917816,0.9987364411354065,1.2524009943008423
0.0001,5,0.8216475248336792,0.1,75,0.23411794006824493,0.9987354278564453,1.252119779586792
0.0001,5,0.8207374811172485,0.1,76,0.23431040346622467,0.9987351298332214,1.2518080472946167
0.0001,5,0.8198046088218689,0.1,77,0.23454608023166656,0.9987354278564453,1.2514616250991821
0.0001,5,0.8188008069992065,0.1,78,0.23476968705654144,0.9987354278564453,1.2510849237442017
0.0001,5,0.8178799152374268,0.1,79,0.23487040400505066,0.9987341165542603,1.25066077709198
0.0001,5,0.8172266483306885,0.1,80,0.23492790758609772,0.9987311959266663,1.2502566576004028
0.0001,5,0.8168259859085083,0.1,81,0.23484691977500916,0.9987257122993469,1.2499414682388306
0.0001,5,0.8165926933288574,0.1,82,0.23463717103004456,0.9987180233001709,1.2497737407684326
0.0001,5,0.8161268830299377,0.1,83,0.2342415750026703,0.9987069368362427,1.249753475189209
0.0001,5,0.8154557943344116,0.1,84,0.23376981914043427,0.9986938238143921,1.2497999668121338
0.0001,5,0.8146632313728333,0.1,85,0.23337069153785706,0.9986788630485535,1.250129222869873
0.0001,5,0.8139055967330933,0.1,86,0.2330847680568695,0.9986644983291626,1.2505947351455688
0.0001,5,0.8132835030555725,0.1,87,0.2328321635723114,0.9986529350280762,1.2511475086212158
0.0001,5,0.8126166462898254,0.1,88,0.23259593546390533,0.9986430406570435,1.2517695426940918
0.0001,5,0.811798095703125,0.1,89,0.2323950231075287,0.9986322522163391,1.2525714635849
0.0001,5,0.8109682202339172,0.1,90,0.2321767508983612,0.9986212253570557,1.253415584564209
0.0001,5,0.8102137446403503,0.1,91,0.23182879388332367,0.9986109733581543,1.2542051076889038
0.0001,5,0.8093153834342957,0.1,92,0.23132488131523132,0.9985998868942261,1.2550561428070068
0.0001,5,0.8085010051727295,0.1,93,0.2306591272354126,0.9985887408256531,1.255849003791809
0.0001,5,0.8075899481773376,0.1,94,0.2299528568983078,0.998576819896698,1.2567379474639893
0.0001,5,0.8065855503082275,0.1,95,0.22933480143547058,0.9985644221305847,1.2577464580535889
0.0001,5,0.805939257144928,0.1,96,0.22887219488620758,0.9985556602478027,1.2586092948913574
0.0001,5,0.8050999045372009,0.1,97,0.22853496670722961,0.9985474944114685,1.2594025135040283
0.0001,5,0.8041031956672668,0.1,98,0.2283724546432495,0.9985372424125671,1.2601686716079712
0.0001,5,0.803278923034668,0.1,99,0.22814702987670898,0.9985271692276001,1.2605692148208618
