clip_range,ratios_max,learning_rate,approx_TV,num_agents,ratios_mean,ratios_min,num_epochs
0.2,1.0,0.0004,0.0,5,0.9999999403953552,1.0,0
0.2,1.0219993591308594,0.0004,0.03047836571931839,5,0.9999982118606567,0.9799638390541077,1
0.2,1.046004056930542,0.0004,0.06333254277706146,5,0.999995231628418,0.9586217999458313,2
0.2,1.0711209774017334,0.0004,0.09730793535709381,5,0.9999926686286926,0.9369990229606628,3
0.2,1.0970032215118408,0.0004,0.13190177083015442,5,0.9999896287918091,0.9154903292655945,4
0.2,1.1235084533691406,0.0004,0.16683775186538696,5,0.9999849796295166,0.8942688703536987,5
0.2,1.150547742843628,0.0004,0.2019258737564087,5,0.9999807476997375,0.873575747013092,6
0.2,1.179607629776001,0.0004,0.23703844845294952,5,0.9999779462814331,0.8532320857048035,7
0.2,1.2106934785842896,0.0004,0.2721449136734009,5,0.9999757409095764,0.8319476842880249,8
0.2,1.238861322402954,0.0004,0.30709588527679443,5,0.999971866607666,0.811288595199585,9
0.2,1.2655062675476074,0.0004,0.3416367769241333,5,0.9999566674232483,0.791917085647583,10
0.2,1.2930673360824585,0.0004,0.37525269389152527,5,0.9999209046363831,0.7740411162376404,11
0.2,1.3135319948196411,0.0004,0.40585824847221375,5,0.9998367428779602,0.7576571702957153,12
0.2,1.3359594345092773,0.0004,0.4331246316432953,5,0.9997043013572693,0.7429028749465942,13
0.2,1.361441969871521,0.0004,0.45664823055267334,5,0.999526858329773,0.7304257154464722,14
0.2,1.3861658573150635,0.0004,0.4757234454154968,5,0.9993159770965576,0.720373272895813,15
0.2,1.4092857837677002,0.0004,0.4904281497001648,5,0.999089241027832,0.7126225829124451,16
0.2,1.4308325052261353,0.0004,0.5008035898208618,5,0.9988469481468201,0.7069126963615417,17
0.2,1.4524983167648315,0.0004,0.5075554251670837,5,0.9986084699630737,0.7027484178543091,18
0.2,1.4758148193359375,0.0004,0.5110933780670166,5,0.9983981847763062,0.700314998626709,19
0.2,1.4948378801345825,0.0004,0.5116045475006104,5,0.9982292056083679,0.6943291425704956,20
0.2,1.509784460067749,0.0004,0.5092324018478394,5,0.9981052875518799,0.6847792267799377,21
0.2,1.5209258794784546,0.0004,0.5051218271255493,5,0.9980263113975525,0.678335964679718,22
0.2,1.5285567045211792,0.0004,0.4999742805957794,5,0.9979830384254456,0.6756772398948669,23
0.2,1.5338349342346191,0.0004,0.49419277906417847,5,0.9979556798934937,0.6762175559997559,24
0.2,1.538008689880371,0.0004,0.48845741152763367,5,0.9979334473609924,0.6792915463447571,25
0.2,1.5421165227890015,0.0004,0.48301172256469727,5,0.9979010820388794,0.6840267777442932,26
0.2,1.546440839767456,0.0004,0.47787976264953613,5,0.9978541135787964,0.6896970868110657,27
0.2,1.5505309104919434,0.0004,0.47299081087112427,5,0.997791051864624,0.6885091662406921,28
0.2,1.554707407951355,0.0004,0.46840715408325195,5,0.9977120757102966,0.6853676438331604,29
0.2,1.5589267015457153,0.0004,0.4641401767730713,5,0.9976183176040649,0.6806626915931702,30
0.2,1.5628290176391602,0.0004,0.46071895956993103,5,0.9975197911262512,0.674945056438446,31
0.2,1.5660566091537476,0.0004,0.4584433138370514,5,0.997427225112915,0.6688872575759888,32
0.2,1.5685720443725586,0.0004,0.4570608139038086,5,0.9973477125167847,0.6629906892776489,33
0.2,1.570615291595459,0.0004,0.45667946338653564,5,0.997290849685669,0.6579480767250061,34
0.2,1.572365641593933,0.0004,0.4570886790752411,5,0.9972583651542664,0.6538218259811401,35
0.2,1.5732872486114502,0.0004,0.4577425718307495,5,0.9972496628761292,0.6505768299102783,36
0.2,1.573428988456726,0.0004,0.45846766233444214,5,0.9972544312477112,0.6476782560348511,37
0.2,1.5731847286224365,0.0004,0.45996445417404175,5,0.9972584843635559,0.6445232033729553,38
0.2,1.5726224184036255,0.0004,0.46068957448005676,5,0.9972550272941589,0.6407269239425659,39
0.2,1.57179594039917,0.0004,0.46047699451446533,5,0.9972444176673889,0.6363179683685303,40
0.2,1.5698415040969849,0.0004,0.45932185649871826,5,0.9972273111343384,0.6319990754127502,41
0.2,1.5659637451171875,0.0004,0.4577205777168274,5,0.9972055554389954,0.6287288069725037,42
0.2,1.5603399276733398,0.0004,0.45604264736175537,5,0.9971762895584106,0.626889169216156,43
0.2,1.5533355474472046,0.0004,0.4551734924316406,5,0.997149646282196,0.6264390349388123,44
0.2,1.5460476875305176,0.0004,0.45546555519104004,5,0.9971294403076172,0.6269118785858154,45
0.2,1.5488938093185425,0.0004,0.45641273260116577,5,0.9971168637275696,0.6279726624488831,46
0.2,1.551651120185852,0.0004,0.4575355648994446,5,0.9971020817756653,0.6284960508346558,47
0.2,1.5547114610671997,0.0004,0.45863020420074463,5,0.9970815777778625,0.6283856630325317,48
0.2,1.558887243270874,0.0004,0.4594728946685791,5,0.9970507621765137,0.6276481747627258,49
0.2,1.565496802330017,0.0004,0.45869722962379456,5,0.9969953894615173,0.62595534324646,50
0.2,1.5750232934951782,0.0004,0.4555359482765198,5,0.9969103932380676,0.6223679184913635,51
0.2,1.5860892534255981,0.0004,0.4514866769313812,5,0.9968141913414001,0.6172429323196411,52
0.2,1.596167802810669,0.0004,0.44812607765197754,5,0.996737003326416,0.612719714641571,53
0.2,1.6057440042495728,0.0004,0.4449036717414856,5,0.9966760277748108,0.6086199283599854,54
0.2,1.6144897937774658,0.0004,0.44224607944488525,5,0.9966248869895935,0.6055890321731567,55
0.2,1.6217000484466553,0.0004,0.44036608934402466,5,0.996584951877594,0.6039084792137146,56
