ratios_mean,num_epochs,approx_TV,clip_range,ratios_max,num_agents,learning_rate,ratios_min
1.0,0,0.0,0.3,1.0,5,0.0005,1.0
0.9997968077659607,1,0.019977934658527374,0.3,1.0228403806686401,5,0.0005,0.9784448742866516
0.9995734095573425,2,0.041552506387233734,0.3,1.0483044385910034,5,0.0005,0.9548153877258301
0.9993395805358887,3,0.06388996541500092,0.3,1.0754666328430176,5,0.0005,0.9303939342498779
0.9990944266319275,4,0.08653635531663895,0.3,1.1041710376739502,5,0.0005,0.9059232473373413
0.99884033203125,5,0.10943061858415604,0.3,1.1344245672225952,5,0.0005,0.8814599514007568
0.9985799193382263,6,0.13236606121063232,0.3,1.1661460399627686,5,0.0005,0.8570204377174377
0.9983147978782654,7,0.15546244382858276,0.3,1.1992428302764893,5,0.0005,0.8327094912528992
0.9980456233024597,8,0.17868466675281525,0.3,1.2336857318878174,5,0.0005,0.8085696697235107
0.9977715015411377,9,0.20206567645072937,0.3,1.2691956758499146,5,0.0005,0.7844033241271973
0.997492253780365,10,0.22571410238742828,0.3,1.3059285879135132,5,0.0005,0.7602920532226562
0.9972093105316162,11,0.24952729046344757,0.3,1.3449369668960571,5,0.0005,0.7362577319145203
0.9969245791435242,12,0.2739514112472534,0.3,1.386154055595398,5,0.0005,0.7124165296554565
0.9966364502906799,13,0.29880639910697937,0.3,1.4291590452194214,5,0.0005,0.688862144947052
0.9963449835777283,14,0.3237511217594147,0.3,1.4737322330474854,5,0.0005,0.6664826273918152
0.9960708618164062,15,0.34878233075141907,0.3,1.5187797546386719,5,0.0005,0.6475386619567871
0.9958091378211975,16,0.3732437491416931,0.3,1.5642591714859009,5,0.0005,0.6321812868118286
0.9955640435218811,17,0.39684849977493286,0.3,1.609786033630371,5,0.0005,0.619966983795166
0.9953336119651794,18,0.41966795921325684,0.3,1.655305027961731,5,0.0005,0.6064081788063049
0.9951103329658508,19,0.4419718384742737,0.3,1.6988816261291504,5,0.0005,0.594513475894928
0.9948903322219849,20,0.4631215035915375,0.3,1.7392513751983643,5,0.0005,0.5849242210388184
0.9946752786636353,21,0.4827512204647064,0.3,1.7762278318405151,5,0.0005,0.5773046016693115
0.9944831132888794,22,0.501023530960083,0.3,1.8062959909439087,5,0.0005,0.5722423195838928
0.9943001866340637,23,0.5172790884971619,0.3,1.8302408456802368,5,0.0005,0.5649262070655823
0.9941402077674866,24,0.5311893224716187,0.3,1.8469963073730469,5,0.0005,0.5564637780189514
0.9939943552017212,25,0.5430457592010498,0.3,1.85762357711792,5,0.0005,0.5493821501731873
0.9938575029373169,26,0.5531470775604248,0.3,1.8630496263504028,5,0.0005,0.5433676838874817
0.9937061071395874,27,0.5613588094711304,0.3,1.866961121559143,5,0.0005,0.5385068655014038
0.9935333132743835,28,0.5698961019515991,0.3,1.8712687492370605,5,0.0005,0.5345873236656189
0.9933281540870667,29,0.5762659311294556,0.3,1.8766413927078247,5,0.0005,0.5314058661460876
0.9930856823921204,30,0.580727756023407,0.3,1.884982943534851,5,0.0005,0.5286543965339661
0.9927827715873718,31,0.5822101831436157,0.3,1.897481083869934,5,0.0005,0.5265784859657288
0.992415726184845,32,0.5808284282684326,0.3,1.9143844842910767,5,0.0005,0.5248122215270996
0.9919984340667725,33,0.5771132111549377,0.3,1.9352160692214966,5,0.0005,0.5233150124549866
0.9915544390678406,34,0.5735858678817749,0.3,1.9593619108200073,5,0.0005,0.5216012597084045
0.9910929799079895,35,0.5713971853256226,0.3,1.9863780736923218,5,0.0005,0.5195379853248596
0.990623950958252,36,0.5695347785949707,0.3,2.014420509338379,5,0.0005,0.5169689059257507
0.9901491403579712,37,0.5681352615356445,0.3,2.0426836013793945,5,0.0005,0.5138681530952454
0.9896928071975708,38,0.5686373710632324,0.3,2.0677053928375244,5,0.0005,0.5100088715553284
0.9892603158950806,39,0.5827999114990234,0.3,2.0897104740142822,5,0.0005,0.5055533647537231
0.9888604879379272,40,0.5964089632034302,0.3,2.1103289127349854,5,0.0005,0.5010654926300049
0.9884992837905884,41,0.6079854965209961,0.3,2.130251169204712,5,0.0005,0.4967916011810303
0.9881557822227478,42,0.6174842119216919,0.3,2.1521048545837402,5,0.0005,0.49300384521484375
0.9878265261650085,43,0.6243571043014526,0.3,2.1768925189971924,5,0.0005,0.4898766279220581
0.9874563217163086,44,0.6294596791267395,0.3,2.2071120738983154,5,0.0005,0.4876464605331421
0.9870372414588928,45,0.6330268383026123,0.3,2.2398362159729004,5,0.0005,0.48618003726005554
0.9865661859512329,46,0.6356832385063171,0.3,2.2725675106048584,5,0.0005,0.4853474497795105
0.9860616326332092,47,0.6385674476623535,0.3,2.3036298751831055,5,0.0005,0.4845834970474243
0.9855612516403198,48,0.6405770778656006,0.3,2.3282647132873535,5,0.0005,0.48387452960014343
0.9850850701332092,49,0.6422687768936157,0.3,2.3444671630859375,5,0.0005,0.48291507363319397
0.9846511483192444,50,0.6439782381057739,0.3,2.353929042816162,5,0.0005,0.48151063919067383
0.9842543601989746,51,0.6449036002159119,0.3,2.3594560623168945,5,0.0005,0.48013418912887573
0.9838857650756836,52,0.644708514213562,0.3,2.3631298542022705,5,0.0005,0.4789423942565918
0.9835214018821716,53,0.6436683535575867,0.3,2.3669440746307373,5,0.0005,0.47792091965675354
0.9831620454788208,54,0.6425625085830688,0.3,2.3705902099609375,5,0.0005,0.476591557264328
0.9828418493270874,55,0.6411911249160767,0.3,2.3753719329833984,5,0.0005,0.47474604845046997
0.9825518727302551,56,0.6395914554595947,0.3,2.3820114135742188,5,0.0005,0.47234082221984863
