num_epochs,ratios_max,ratios_mean,learning_rate,num_agents,approx_TV,clip_range,ratios_min
0,1.0,1.0,0.0002,5,0.0,0.1,1.0
1,1.0131385326385498,0.9998210072517395,0.0002,5,0.009560443460941315,0.1,0.9881307482719421
2,1.0276175737380981,0.9996253848075867,0.0002,5,0.020003274083137512,0.1,0.9751690030097961
3,1.042877197265625,0.9994206428527832,0.0002,5,0.030935116112232208,0.1,0.9616138339042664
4,1.058756947517395,0.9992093443870544,0.0002,5,0.04220741614699364,0.1,0.9477665424346924
5,1.0751899480819702,0.9989932179450989,0.0002,5,0.05374019965529442,0.1,0.9337443709373474
6,1.092100977897644,0.9987730979919434,0.0002,5,0.06548621505498886,0.1,0.9196663498878479
7,1.1094332933425903,0.9985487461090088,0.0002,5,0.07744693756103516,0.1,0.9055777192115784
8,1.1272059679031372,0.9983206391334534,0.0002,5,0.08959434926509857,0.1,0.891483724117279
9,1.1452425718307495,0.9980955123901367,0.0002,5,0.10171535611152649,0.1,0.878838837146759
10,1.1634178161621094,0.9978823661804199,0.0002,5,0.1133648157119751,0.1,0.8682704567909241
11,1.18108332157135,0.9976914525032043,0.0002,5,0.1241292953491211,0.1,0.8581141829490662
12,1.1974472999572754,0.9975267648696899,0.0002,5,0.13357506692409515,0.1,0.8497516512870789
13,1.2120662927627563,0.9973918795585632,0.0002,5,0.14159619808197021,0.1,0.8436015844345093
14,1.2249668836593628,0.9972844123840332,0.0002,5,0.14811165630817413,0.1,0.8394282460212708
15,1.2358280420303345,0.9972051978111267,0.0002,5,0.1529172956943512,0.1,0.8372032642364502
16,1.244856834411621,0.9971521496772766,0.0002,5,0.15610747039318085,0.1,0.8367172479629517
17,1.2522661685943604,0.9971227645874023,0.0002,5,0.15774182975292206,0.1,0.8378716111183167
18,1.2582045793533325,0.9971104264259338,0.0002,5,0.15802842378616333,0.1,0.8404324054718018
19,1.262704849243164,0.9971136450767517,0.0002,5,0.15782977640628815,0.1,0.8403246998786926
20,1.2660865783691406,0.9971283674240112,0.0002,5,0.15767115354537964,0.1,0.8353651165962219
21,1.2686861753463745,0.9971492886543274,0.0002,5,0.1570177674293518,0.1,0.8313774466514587
22,1.2706561088562012,0.997172474861145,0.0002,5,0.15627460181713104,0.1,0.8287382125854492
23,1.2722257375717163,0.9971954822540283,0.0002,5,0.15511777997016907,0.1,0.8273069262504578
24,1.2739198207855225,0.9972105026245117,0.0002,5,0.15390101075172424,0.1,0.8273586630821228
25,1.2760326862335205,0.9972190856933594,0.0002,5,0.1531592607498169,0.1,0.8289593458175659
26,1.278687834739685,0.9972224831581116,0.0002,5,0.15287736058235168,0.1,0.8320500254631042
27,1.2819780111312866,0.997221827507019,0.0002,5,0.154039666056633,0.1,0.8363804817199707
28,1.2858490943908691,0.9972171187400818,0.0002,5,0.15564516186714172,0.1,0.8417797088623047
29,1.2902040481567383,0.9972096681594849,0.0002,5,0.15819406509399414,0.1,0.8475379943847656
30,1.2948362827301025,0.9972043633460999,0.0002,5,0.16044169664382935,0.1,0.8488792777061462
31,1.2994794845581055,0.99720698595047,0.0002,5,0.1623249650001526,0.1,0.8502702116966248
32,1.3041696548461914,0.9972169995307922,0.0002,5,0.16407178342342377,0.1,0.8488077521324158
33,1.3090027570724487,0.9972316026687622,0.0002,5,0.1657010018825531,0.1,0.8447051048278809
34,1.3142138719558716,0.9972479939460754,0.0002,5,0.16737696528434753,0.1,0.8413762450218201
35,1.319808006286621,0.9972638487815857,0.0002,5,0.1691211313009262,0.1,0.8389596343040466
36,1.3259375095367432,0.9972748160362244,0.0002,5,0.17090901732444763,0.1,0.8373597860336304
37,1.3323240280151367,0.9972795248031616,0.0002,5,0.17266231775283813,0.1,0.8364885449409485
38,1.338596224784851,0.9972788095474243,0.0002,5,0.1744416356086731,0.1,0.8359113931655884
39,1.3445640802383423,0.9972729086875916,0.0002,5,0.17639487981796265,0.1,0.8352149724960327
40,1.3499867916107178,0.9972630143165588,0.0002,5,0.1784416139125824,0.1,0.8340663313865662
41,1.3548550605773926,0.9972464442253113,0.0002,5,0.18054910004138947,0.1,0.8326098322868347
